id,specified,relevant,category_2,measure_1,measure_2
0,1,1,,Absolute Mobility Measure,
5,1,1,,Transition Matrix,
6,1,1,,Rank‐Rank Slope,
7,1,1,,Regression‐based Measure,
8,1,1,,Absolute Mobility Measure,
9,1,1,,Transition Matrix,
11,1,1,,Absolute Mobility Measure,
14,1,1,,Absolute Mobility Measure,
16,1,1,"1,4",Intergenerational Elasticity,Absolute Mobility Measure
18,0,1,,,
19,1,1,"1,3",Intergenerational Elasticity,Transition Matrix
21,1,1,,Absolute Mobility Measure,
22,1,1,,Intergenerational Elasticity,
26,1,1,,Regression‐based Measure,
27,1,1,,Absolute Mobility Measure,
28,1,1,,Extended Atkinson Index,
29,1,1,,Regression‐based Measure,
30,1,1,,Subjective Mobility Measure,
31,1,1,,Intergenerational Elasticity,
33,1,1,,Regression‐based Measure,
35,1,1,,Regression‐based Measure,
37,1,1,"1,4",Intergenerational Elasticity,Absolute Mobility Measure
38,1,1,,Regression‐based Measure,
39,1,1,,Absolute Mobility Measure,
40,1,1,"1,6",Intergenerational Elasticity,Structural Analysis
41,1,1,,Regression‐based Measure,
42,1,1,,Transition Matrix,
43,1,1,,Absolute Mobility Measure,
44,1,1,,Transition Matrix,
45,1,1,8,Causal Impact Estimate,
49,1,1,,Absolute Mobility Measure,
51,1,1,,Incidence Rate Ratio,
52,0,1,,,
53,1,1,,Intergenerational Elasticity,
54,1,1,,Regression‐based Measure,
55,1,1,,Regression‐based Measure,
56,0,1,,,
57,1,1,,Social Gradient Measure,
59,1,1,,Latent Class Analysis,
60,1,1,,Absolute Mobility Indicator,
61,1,1,1,Intergenerational Elasticity,
62,1,1,,Intergenerational Elasticity,
64,1,1,,Intergenerational Elasticity,
65,1,1,6,Structural Model,
66,1,1,,Transition Matrix,
67,1,1,,Intergenerational Elasticity,
68,1,1,5,Multigenerational Measure,
70,1,1,,Absolute Mobility Measure,
71,1,1,,Odds Ratio (Regression),
72,1,1,8,Electoral District‐Level Mobility,
73,0,1,,,
74,1,1,,Relative Risk (Regression),
