id,specified,relevant,category_2,measure_1,measure_2
1,1,1,,Intergenerational Elasticity,
2,1,1,,Intergenerational Elasticity,
3,0,1,,,
4,0,1,,,
10,1,1,,Structural Decomposition,
12,1,1,,OLG Model,
13,1,1,,OLG Model,
15,1,1,,Intergenerational Elasticity,
20,1,1,,Regression Estimate,
23,1,1,,Economic Connectedness,
24,1,1,,Quantile Growth Rates,
25,1,1,,Transition Matrices,
32,1,1,,Class‐Origin Pay Gap,
34,1,1,,Descriptive Mobility,
36,1,1,,Absolute Mobility,
46,1,1,,Median Voter Model,
47,1,1,,Qualitative,
48,1,1,,Intergenerational Elasticity,
50,1,1,,Absolute Mobility,
58,1,1,,Intergenerational Elasticity,
63,1,1,,Intergenerational Elasticity,
69,1,1,,Wage Gap Estimate,
75,1,1,,Pseudo‐panel Mobility,
87,1,1,,Intergenerational Elasticity,
88,1,1,,Inequality Decomposition,
89,1,1,"3,1",Transition Matrix,Regression‐based
93,1,0,,,
94,1,1,,Structural Model,
100,0,1,,,
102,1,1,,Structural Parameter,
103,1,1,,Absolute Mobility,
107,0,1,,,
108,1,1,,Regression‐based Estimate,
109,1,1,,Income Elasticity,
110,1,1,,Structural Measure,
114,1,1,,Regression Coefficient,
115,0,1,,,
119,0,1,,,
120,1,1,,Qualitative,
121,0,1,,,
123,1,1,,Bourdieusian Analysis,
126,0,1,,Income Ratios,
132,1,0,,Laeken Poverty Indicators,
134,1,1,,Regression‐based Estimate,
135,1,1,,Intergenerational Elasticity,
138,1,1,6,Structural Mobility,Circular Mobility
139,0,1,,,
141,1,1,,Structural Equation Modeling,
142,1,1,,Educational Mobility,
143,1,1,,Regression‐based Estimate,
146,1,1,,Structural Model,
147,1,1,,Structural Model,
150,1,1,,Regression‐based Estimate,
151,1,1,,Regression Residuals,
155,1,1,,Transition Probability,
157,0,1,,,
162,0,1,,,
164,0,1,,,
165,1,1,,Decomposition,
167,1,1,,Regression‐based,
168,1,1,"5,2",Multigenerational Measure,Gini Coefficient
169,1,1,,Non‐parametric Regression,
172,0,1,,,
173,0,1,,,
177,1,1,,Structural Equilibrium,
180,1,1,,Regression‐based,
183,0,1,,,
185,1,0,,TFP Elasticity,
191,1,1,,Parental Monetary Transfers,
196,1,1,,Inherited Income Pattern,
206,1,1,,Structural Model,
207,1,1,,Regression‐based,
209,1,1,,Structural Model,
217,1,1,,Intergenerational Elasticity,
228,1,1,,Regression‐based Estimate,
229,0,1,,,
232,1,0,,Inequality Measures,
235,1,1,,Qualitative,
236,1,1,,Theoretical Measure,
237,1,1,,Structural Model,
239,0,1,,,
247,1,1,,Transition Probabilities,
249,1,1,,Model‐based Transition,
252,1,1,,Family Transfer,
256,1,1,,Structural Model,
273,1,1,,Poverty‐risk Measure,
282,1,1,,Intergenerational Elasticity,
283,0,0,,,
287,0,1,,,
288,1,1,,General Equilibrium Model,
293,1,1,,Structural Measure,
300,0,1,,,
302,1,1,,Dynamic Model Parameter,
305,1,1,,Regression‐based Estimate,
307,1,1,,Intergenerational Elasticity,
308,1,1,,Intergenerational Elasticity,
309,1,1,,Dynamic Structural Model,
310,1,1,,Structural Model,
314,0,1,,,
316,1,1,,Net Wealth Flow,
320,1,1,,Regression Coefficient,
324,1,1,,Structural Decomposition,
333,1,1,,Regression Coefficient,
341,0,1,,,
342,0,1,,,
351,1,1,,Structural Model,
359,1,0,,Regression Coefficient,
361,0,1,,,
364,0,1,,,
365,1,1,"1,3",Intergenerational Elasticity,Transition Matrix
368,1,1,,Regression Coefficient,
372,1,1,,Structural Model,
376,0,1,,,
377,0,1,,,
380,1,1,,Model‐based Transitional Measure,
387,1,1,,Network Equilibrium,
