id,specified,relevant,category_2,measure_1,measure_2
574,1,1,,Intergenerational Elasticity,
748,1,1,6,Intergenerational Elasticity,Decomposition
755,1,1,6,Sibling Correlation,Decomposition
756,1,1,,Intergenerational Elasticity,
758,1,1,,Rank-based,
760,1,1,,Decomposition,
761,1,1,4,Relative Mobility,Absolute Mobility
762,1,1,,Transition Probabilities,
763,1,1,,Rank-based,
764,1,1,,Intergenerational Elasticity,
765,1,1,1,Absolute Mobility,Intergenerational Elasticity
766,1,1,,Intergenerational Elasticity,
767,1,1,,Intergenerational Elasticity,
769,1,1,,Regression-based,
770,1,1,,Transition Matrix,
771,1,1,,Transition Probabilities,
772,1,1,,Transition Matrix,
773,1,1,3,Intergenerational Elasticity,Transition Probabilities
774,1,1,,Intergenerational Elasticity,
775,1,1,,Intergenerational Elasticity,
776,1,1,,Intergenerational Elasticity,
777,1,1,,Intergenerational Elasticity,
778,1,1,,Rank-based,
780,1,1,,Intergenerational Elasticity,
781,1,1,,Decomposition,
784,1,1,,Decomposition,
785,1,1,6,Rank-based,Decomposition
786,1,1,,Transition Probabilities,
787,1,1,,Transition Probabilities,
788,1,1,,Others,
789,1,1,,Intergenerational Elasticity,
791,1,1,1,Rank-based,Intergenerational Elasticity
792,1,1,,Intergenerational Elasticity,
794,1,1,,Transition Matrix,
795,1,1,,Intergenerational Elasticity,
796,1,1,,Multigenerational,
799,1,1,,Intergenerational Elasticity,
801,1,1,,Absolute Mobility,
802,1,1,3,Intergenerational Elasticity,Transition Matrix
803,1,1,,Decomposition,
804,1,1,,Rank-based,
805,1,1,3,Intergenerational Elasticity,Transition Matrix
807,1,1,,Absolute Mobility,
809,1,1,3,Rank-based,Transition Probabilities
810,1,1,,Regression-based,
812,1,1,,Decomposition,
813,1,1,,Intergenerational Elasticity,
814,1,1,,Transition Probabilities,
815,1,1,2,Transition Probabilities,Rank-based
817,1,1,,Transition Probabilities,
818,1,1,,Intergenerational Elasticity,
823,1,1,,Intergenerational Elasticity,
824,1,1,,Intergenerational Elasticity,
825,1,1,,Intergenerational Elasticity,
828,1,1,,Intergenerational Elasticity,
829,1,1,5,Intergenerational Elasticity,Multigenerational
830,1,1,,Intergenerational Elasticity,
832,1,1,,Transition Matrix,
833,1,1,,Regression-based,
834,1,1,,Absolute Mobility,
835,1,1,,Intergenerational Elasticity,
836,1,1,,Absolute Mobility,
837,1,1,,Decomposition,
839,1,1,,Transition Matrix,
840,1,1,,Rank-based,
841,1,1,1,Absolute Mobility,Relative Mobility
842,1,1,,Intergenerational Elasticity,
843,1,1,,Regression-based,
844,0,0,,,
845,1,1,,Regression-based,
848,1,1,,Decomposition,
849,1,1,,Decomposition,
850,1,1,,Intergenerational Elasticity,
851,1,1,3,Intergenerational Elasticity,Transition Probabilities
852,1,1,2,Intergenerational Elasticity,Rank-based
853,1,1,,Intergenerational Elasticity,
854,1,1,,Decomposition,
856,1,1,,Intergenerational Elasticity,
857,1,1,2,Intergenerational Elasticity,Rank-based
858,0,1,,,
859,1,1,,Intergenerational Elasticity,
860,1,1,,Regression-based,
861,1,1,,Multigenerational,
862,1,1,,Intergenerational Elasticity,
863,1,1,,Intergenerational Elasticity,
864,1,1,,Transition Probabilities,
866,1,1,6,Absolute Mobility,Decomposition
867,1,1,3,Rank-based,Transition Probabilities
870,1,1,,Intergenerational Elasticity,
871,1,1,,Rank-based,
872,1,1,,Intergenerational Elasticity,
873,1,1,3,Rank-based,Transition Probabilities
874,1,1,,Decomposition,
875,1,1,,Absolute Mobility,
876,1,1,,Transition Matrix,
877,0,1,,,
879,1,1,,Intergenerational Elasticity,
880,1,1,,Rank-based,
881,1,1,,Intergenerational Elasticity,
882,1,1,,Intergenerational Elasticity,
883,1,1,,Decomposition,
884,1,1,,Intergenerational Elasticity,
885,1,1,,Intergenerational Elasticity,
886,1,1,,Intergenerational Elasticity,
887,1,1,,Intergenerational Elasticity,
888,1,1,,Transition Probabilities,
889,1,1,,Intergenerational Elasticity,
890,1,1,,Intergenerational Elasticity,
891,1,1,,Rank-based,
893,1,1,6,Intergenerational Elasticity,Decomposition
894,1,1,6,Intergenerational Elasticity,Decomposition
895,1,1,,Regression-based,
896,1,1,,Multigenerational,
898,1,1,3,Intergenerational Elasticity,Transition Matrix
899,1,1,5,Intergenerational Elasticity,Multigenerational
900,1,1,,Regression-based,
901,1,1,2,Intergenerational Elasticity,Rank-based
902,1,1,,Others,
903,1,1,,Decomposition,
904,1,1,,Intergenerational Elasticity,
905,1,1,,Absolute Mobility,
907,1,1,,Intergenerational Elasticity,
908,1,1,,Others,
909,1,1,,Rank-based,
910,1,1,,Intergenerational Elasticity,
911,1,1,,Intergenerational Elasticity,
912,1,1,,Intergenerational Elasticity,
913,1,1,,Others,
914,1,1,2,Intergenerational Elasticity,Rank-based
915,1,1,,Others,
916,1,1,4,Rank-based,Absolute Mobility
917,1,1,,Rank-based,
918,1,1,,Rank-based,
919,1,1,,Rank-based,
920,1,1,,Intergenerational Elasticity,
921,1,1,4,Rank-based,Absolute Mobility
922,1,1,,Rank-based,
923,1,1,,Regression-based,
924,1,1,,Regression-based,
925,1,1,,Intergenerational Elasticity,
926,1,1,,Rank-based,
930,1,1,,Transition Probabilities,
931,1,1,4,Intergenerational Elasticity,Absolute Mobility
933,1,1,,Intergenerational Elasticity,
934,1,1,,Intergenerational Elasticity,
935,1,1,,Intergenerational Elasticity,
936,1,1,,Transition Matrix,
937,1,1,,Intergenerational Elasticity,
938,1,1,,Multigenerational,
939,1,1,,Intergenerational Elasticity,
940,1,1,,Intergenerational Elasticity,
941,1,1,,Intergenerational Elasticity,
942,1,1,,Others,
943,1,1,,Rank-based,
944,1,1,,Transition Matrix,
945,1,1,6,Intergenerational Elasticity,Decomposition
946,1,1,,Others,
948,1,1,,Intergenerational Elasticity,
949,1,1,,Intergenerational Elasticity,
951,1,1,,Rank-based,
952,1,1,,Regression-based,
954,1,1,,Regression-based,
956,1,1,2,Intergenerational Elasticity,Rank-based
957,1,1,,Intergenerational Elasticity,
960,1,1,,Absolute Mobility,
961,1,1,,Intergenerational Elasticity,
962,1,1,4,Rank-based,Absolute Mobility
965,1,1,,Regression-based,
966,1,1,,Regression-based,
968,1,1,,Rank-based,
969,1,1,,Rank-based,
970,1,1,,Intergenerational Elasticity,
971,1,1,,Rank-based,
972,1,1,,Intergenerational Elasticity,
973,1,1,,Intergenerational Elasticity,
974,1,1,,Transition Probabilities,
975,1,1,,Regression-based,
978,1,1,,Intergenerational Elasticity,
979,1,1,,Others,
980,1,1,2,Intergenerational Elasticity,Rank-based
981,1,1,,Intergenerational Elasticity,
982,1,1,,Intergenerational Elasticity,
983,0,1,,,
984,1,1,,Decomposition,
986,1,1,,Intergenerational Elasticity,
987,1,1,,Rank-based,
988,1,1,,Others,
989,1,1,,Transition Matrix,
990,1,1,,Rank-based,
991,1,1,1,Absolute Mobility,Intergenerational Elasticity
992,1,1,,Rank-based,
993,0,1,,,
995,1,1,,Rank-based,
996,1,1,,Intergenerational Elasticity,
997,1,1,,Intergenerational Elasticity,
998,1,1,,Regression-based,
999,1,1,,Others,
1001,1,1,6,Intergenerational Elasticity,Decomposition
1002,1,1,,Intergenerational Elasticity,
1003,1,1,,Intergenerational Elasticity,
1004,1,1,,Non-parametric,
1005,1,1,,Regression-based,
