id,category,RQ
0,4,"Do children, across different generational cohorts (mid-20th century vs. 1984 cohorts), achieve better economic outcomes than their parents, and what would be required (e.g., a more even distribution of economic growth) for more children to fulfill the American Dream?"
1,2,How Much Income Mobility is There in Britain?
2,2,What is the extent and nature of intergenerational income mobility in Britain?
3,1,"How can square contingency tables, serving as empirical transition matrices, be used to measure intergenerational mobility by assessing the association between parental and child socio‐economic positions? How do differences in construction (social class vs. income mobility tables from the same individuals) affect the measurement, and how can these methods be extended to compare mobility over time?"
4,6,"Does higher social mobility at the county level associate with smaller income-related gaps in life expectancy in the United States, thus suggesting that increased mobility can reduce health disparities between income groups?"
5,6,"Does income-related social mobility from age 13 to 30 affect health-related quality of life outcomes (oral health impact, perceived health state, and life satisfaction), and how do upwardly or downwardly mobile individuals compare to their stable advantaged or disadvantaged counterparts?"
6,2,"The paper empirically asks: What are the absolute upward income mobility rates across eight countries for the 1960–1987 birth cohorts, and to what extent do variations in marginal income distributions and cross‐cohort income inequality explain differences in these mobility rates? It also explores a methodological question—whether mobility rates can be accurately estimated without using linked parent–child data."
7,4,"How has intergenerational income mobility evolved over the past 40 years, and to what extent does the parental income quintile influence the income distribution of the next generation?"
8,8,"How do individuals’ dynastic income mobility experiences shape their perceptions of the relative importance of effort versus predetermined factors in generating income inequality, and how do these perceptions influence their political attitudes and support for redistributive taxation?"
9,1,"The study aimed to answer questions related to methodological challenges in the estimation of absolute income mobility. In particular, it examined the performance of commonly used methods (e.g., copula and marginals approximations) and investigated how issues like nonrepresentative marginal income distributions and specification decisions (age of income measurement, income concept, family structure, price index) affect the accuracy of mobility estimates across countries."
10,7,"How do income inequality and mobility influence the formation of political coalitions, the bidimensional voting on tax rates, and ultimately, the demand for redistribution and social insurance as modeled in a three‐period stochastic overlapping-generations framework?"
11,7,"How do income inequality and mobility affect the demand for redistribution and social insurance in a three-period stochastic overlapping generations model, specifically through the formation of coalitions, resulting political equilibria, and bidimensional voting on tax rates that determine the allocation of government revenues among transfer payments and old-age pensions?"
12,2,"What are the empirical estimates of absolute income mobility in Australia over time, and to what extent do factors such as lower income growth and rising inequality explain the decline in mobility, considering adjustments such as income equivalisation for family size?"
13,2,"Does a higher standard of living during youth lead to higher income in adulthood, and is the strength of this relationship—and thereby the degree of income mobility—different between the 1979 and 1997 NLSY cohorts?"
14,4,"What is the extent of intergenerational persistence in income and education in Chile and Peru, and how have structural expansions in education and changes in income inequality impacted mobility patterns (both absolute and relative) across different parental education groups over multiple cohorts?"
15,2,"How do empirical estimates of intergenerational earnings mobility compare across countries (U.S., U.K., and Nordic countries), particularly with respect to differences between father‐son and father‐daughter mobility and persistence within different parts of the earnings distribution?"
16,2,"What is the relationship between innovation, top income inequality, and social mobility? Specifically, how does innovation (especially by new entrants) causally affect the concentration of income at the top, and how is this association moderated by local lobbying activities?"
17,2,"What are the empirical estimates of absolute income mobility in Australia from 1950 to 2019, and what are the determinants (e.g., lower income growth, rising inequality, family size adjustments) that explain variations in intergenerational income mobility?"
18,2,"How have trends in economic growth, income inequality, and the distribution of economic gains affected intergenerational mobility in the United States (in terms of both income and occupational status), and how does U.S. mobility compare with that in other countries?"
19,2,How are various dimensions of social capital—especially economic connectedness measured as the share of high-SES friends among low-SES individuals—associated with upward income mobility across different geographic areas?
20,7,"How do aspirations interact with investment decisions to shape income distribution and economic mobility, and what are the dynamic implications of this relationship on growth rates and polarization across income quantiles?"
21,2,"Does higher economic inequality result in lower intergenerational income mobility? Specifically, the study asks whether Chile’s high inequality leads to lower mobility compared to industrialized nations and how class-specific mobility flows (e.g., barriers to long-range downward mobility from the elite) explain this relationship."
22,3,"How do policy and institutional factors, such as redistributional tax, transfer, and wage compression policies (as well as social policies for children), influence the differences in income and educational mobility between the U.S. and Denmark?"
23,4,"How does an exogenous geographic shock (the lava-induced relocation) affect intergenerational income mobility, particularly lifetime earnings and education outcomes for children relative to their parents?"
24,1,"How can 'reversal' and 'origin independence'—as separate aspects of economic mobility—be measured formally (using extended Atkinson indices) to quantify their impacts on welfare, and how do these metrics compare when applied to income mobility in Germany and the U.S.?"
25,6,To what extent does upward socioeconomic mobility limit the probability that Black and White women who spent their childhoods in or near poverty will give birth to a low-birthweight baby?
26,8,"How do beliefs about generational mobility, procedural justice, and the existence of a middle-class society relate to the acceptance of current income differences across different countries?"
27,2,"What is the trend in the elasticity of a son’s income with respect to his parental income across different birth cohorts, and how can conflicting results in previous studies be reconciled?"
28,2,"How does class origin shape earnings among individuals in high-status occupations? Specifically, what are the differences in access to various professional fields (e.g., law, medicine, finance versus technical occupations) and how do these differences (including factors like firm size and geographic location) contribute to the earnings gap between individuals from working-class versus privileged backgrounds within the upwardly mobile population?"
29,2,"How do exclusive social groups and peer interactions at elite institutions (e.g., Harvard’s old boys clubs) determine upward mobility in terms of social club membership, career trajectories (e.g., finance careers), and long-run earnings outcomes?"
30,2,"The paper asks: What are the nature, determinants, and consequences of the social transformation in Latin America and the Caribbean, particularly regarding the substantial 'middle class' expansion and shifts in poverty levels? It empirically documents mobility over the past two decades (both within and between generations) and explores how the rise of the middle class might reshape the social contract."
31,4,"How do patterns of intergenerational mobility into elite occupations differ between traditional professions (e.g. law, medicine, finance) and emerging high-status occupations (e.g. IT), and to what extent does inheritance and associated economic, cultural, and social capital explain why upwardly mobile individuals still face disadvantages – such as lower incomes – compared to their higher-origin colleagues, even after controlling for variables like education, location, and age?"
32,2,"The research asks: How have the career outcomes of two generations of young, white men—entering the labor market under very different economic conditions—differed in terms of upward mobility versus being trapped in low-wage, dead‐end jobs, and what factors and trends underlie these differences?"
33,2,"What are the empirical estimates of intergenerational occupational mobility, and what roles do factors such as family structure (two-earner, father-breadwinner, mother-only), gender, and birth cohort differences play in determining the persistence of occupational status from parents to children?"
34,2,"Does cultural consumption predict future earnings, upward social mobility, and promotions, thereby functioning as cultural capital in labor market settings and contributing to the reproduction of income inequality?"
35,3,"How can we restore the American Dream of upward mobility for our children? Specifically, how and why do children's chances of climbing the income ladder vary across neighborhoods, and in what ways does race continue to influence economic mobility in the U.S.?"
36,4,"How do nonlinearities in the parent‐child income transmission process and socioeconomic segregation shape the intertemporal Gatsby Curve observed in the United States—that is, how do these mechanisms influence intergenerational income mobility?"
37,3,"How do improvements in institutional quality—specifically, secure property rights and reduced corruption—affect income mobility by promoting entrepreneurship, independent of the Great Gatsby effect?"
38,3,"Does the transition from a selective (grammar and secondary modern) to a comprehensive school system affect social mobility in Great Britain? More specifically, what are the impacts of attending different types of schools (grammar vs comprehensive, as well as secondary modern) on class and income mobility across children from various social origins?"
39,3,"Do regional differences exist in the class-origin pay gap in high-status occupations within the UK, and is this gap especially pronounced in areas like Central London and specific sectors (e.g., banking and finance) that challenge conventional notions of social mobility?"
40,6,How are parental income level and income mobility during childhood associated with subsequent schizophrenia risk?
41,2,"RQ1: What are the causal effects of pneumonia in infancy (and its treatment with the first antibiotics) on long‐term adult outcomes including education, employment, disability, income, and income mobility?  

RQ2: How did pre–Civil Rights Era racial segregation moderate these long‐run benefits of early life health interventions among blacks?"
42,7,"How do income inequality and mobility affect income redistribution within a modified median voter model that considers differences between educational and age groups, electoral period lengths, and demographic transitions (e.g., retirement and baby booms)?"
43,4,"How do middle‐income families’ strategies for managing economic downturns affect their adolescent children’s educational futures and, by extension, intergenerational mobility through educational attainment?"
44,3,"How effective are Danish universal social policies in mitigating the strong influence of family advantage on important child outcomes compared to the United States, and what mechanisms allow more advantaged families to access, utilize, and influence these programs?"
45,4,"Does extreme poverty and chaotic family life produce a self-perpetuating underclass, and to what extent does the opportunity for steady employment and occupational mobility mitigate the intergenerational transmission of disadvantage?"
46,2,How do the social origins of college football players (and differences by performance level such as first team vs. second team/reserve) relate to their career and income mobility outcomes compared to regular students at Notre Dame?
47,6,"How are parental income trajectories during childhood associated with subsequent risks for self-harm and violent criminality in young adulthood, and does upward (versus downward) mobility in parental income mitigate these risks?"
48,4,"Does the relationship between parental income and children’s income in Britain suggest that social mobility is declining over cohorts, and how does Britain compare with other countries (e.g., Norway) in terms of intergenerational income mobility? An additional, implicit question is whether research influence on policy is always beneficial."
49,4,"How do earnings positions change across three generations of immigrants in Sweden, and do immigrants’ earnings converge toward those of natives over successive generations (i.e., exhibiting upward or downward mobility across generations)?"
50,4,"Does immigrant entrepreneurship serve as a springboard to upward mobility for the second generation, and how do the educational and occupational achievements of children of immigrant entrepreneurs compare to those of children of professionals?"
51,2,"How does exposure to immigration affect social mobility, as measured by natives’ prime age labor market outcomes across parental social class backgrounds, and what are the differential effects of immigrants from low-income versus high-income countries?"
52,7,"How do theoretical models—especially those based on family investments, skills, social influences, political economy, and aspirations—mechanically account for the relationship between cross-sectional income inequality and intergenerational income persistence (the Great Gatsby Curve), and what empirical evidence supports these behavioral mechanisms?"
53,6,"How do long-term trajectories of economic hardship and mobility—specifically, the timing (early versus later mobility out of hardship)—relate to subsequent patterns of midlife health, and what does this imply for understanding health inequality?"
54,6,"How does upward income mobility influence health outcomes, specifically perceived stress, depressive symptoms, and metabolic syndrome, and how does downward mobility affect these outcomes? Additionally, to what extent do these mobility-health associations differ by birth cohort?"
55,2,"What is the degree of income mobility in India, and what factors (such as the income gap among Scheduled Tribe children and the education gap between fathers and children) determine the level of mobility as measured using IHDS data?"
56,4,"How does ability inheritance—through genetic inheritability and parental educational investment—affect income distribution and social mobility, and how can progressive income tax serve as a policy tool to enhance welfare and mobility?"
57,2,"How does educational assortative mating affect overall income mobility—both intergenerationally and intragenerationally—and what are its implications for upward mobility, particularly for low-income groups?"
58,4,"How strong is the intergenerational transmission of earnings (and hence poverty) in rural China, and to what extent does human capital investment in children (e.g., education and skills acquisition) mediate this transmission compared to urban areas?"
59,7,"How do models that differentiate cognitive from non-cognitive skills and incorporate multistage human capital development explain the relationship between parental characteristics (including parenting skills) and children’s human capital, and what implications does this have for inter-generational income mobility and the potential poverty trap?"
60,7,"Can social mobility explain political income redistributions, and are the actual intergenerational income transition probabilities consistent with order-preserving redistributions?"
61,2,What is the impact of imputed rents on intergenerational income mobility in three countries?
62,4,"The paper’s research question asks: What is the pattern of intergenerational (earnings) mobility among three generations of migrants, particularly in comparison with the native population? Specifically, how do the economic achievements of first, second, and third generation immigrants compare, revealing an inversely U-shaped mobility pattern?"
63,2,"How do differences in occupational sorting—specifically, the tendency for individuals from upper‐class backgrounds to work in occupations with greater autonomy (and fewer in prosocial occupations)—explain the persistent class pay gap, even controlling for education, occupational prestige, and other confounds?"
64,2,How are different forms of social capital – particularly the economic connectedness between low- and high-SES individuals – associated with upward income mobility across geographic areas?
65,6,"How are educational and income mobility associated with self-rated health among Canadian adults, and do these associations differ by gender?"
66,2,How does district-level upward mobility affect legislators’ voting behavior on redistributive education policies?
67,6,How do historical redlining designations and current income mobility (with a focus on racially stratified differences) affect rates of firearm violence?
68,2,"How does income mobility affect consuming welfare among urban male heads of household in Iran, and what are the determinants (or differences between generational cohorts) of opportunity inequality?"
