id,data_cat,data_type
0,6,"Linked IRS administrative data (e.g., tax records used to track parent‐child income mobility)"
1,13,N/A
2,13,N/A
3,1,UK longitudinal survey data (exact name not provided)
4,2,US county-level administrative data derived from tax records to measure intergenerational income mobility along with aggregated county-level life expectancy data
5,1,South Australian school children cohort study
6,14,Aggregated cross‐sectional income distribution data for 1960–1987 birth cohorts in eight countries (non–linked parent-child data)
7,1,N/A
8,13,N/A
9,6,Linked parent-child administrative data (for five countries); Detailed survey data (for two additional countries)
10,13,N/A
11,13,N/A
12,6,"Australian linked administrative data (e.g., tax records used to link parent and child incomes)"
13,1,National Longitudinal Survey of Youth (NLSY)
14,3,"Repeated cross-sectional national survey data with retrospective questions (e.g., household surveys in Chile and Peru)"
15,6,"Linked Administrative Data (using linked tax/earnings records across generations, specific dataset name not provided)"
16,1,cross‐state panel data; cross‐U.S. commuting‐zone data
17,6,Linked Administrative Data (using Australia’s administrative income records to link parent–child earnings over time)
18,13,N/A
19,12,Facebook friendship network data
20,13,N/A
21,13,N/A
22,2,"The study appears to use administrative/registry data (e.g., Danish administrative registers and comparable U.S. administrative datasets), though no specific dataset names are provided."
23,5,Volcanic experiment (Natural/Experimental Data)
24,13,N/A
25,1,National Longitudinal Survey of Youth 1979; 1970 US Census (the latter functioning as a national survey dataset)
26,3,International Social Survey Program (ISSP) 2009 module
27,1,Panel Study of Income Dynamics
28,3,Britain's Labour Force Survey
29,11,Harvard archival records; U.S. Census records (the latter aligning with Administrative/Registry Data)
30,3,"Latin American and Caribbean national household survey data (aggregated)
"
31,12,Great British Class Survey
32,1,Longitudinal survey data on career outcomes of two generations of young white men (exact dataset name not specified)
33,1,"The abstract indicates a longitudinal panel study (tracking intergenerational data over 1994–2016), but does not specify the exact dataset name."
34,1,Understanding Society
35,4,Opportunity Atlas
36,6,"Linked Administrative Data (e.g., IRS tax records)"
37,7,N/A
38,1,National Child Development Study
39,3,Labour Force Survey (2014-2015)
40,6,"Danish linked administrative registry data (e.g., civil registration, income, and health records)"
41,5,Natural/Experimental Data (leveraging the natural experiment of the 1937 introduction of antibiotics and historical state-level segregation information)
42,13,N/A
43,1,"longitudinal subset of a larger two-country, multicity, mixed-methods study (surveys and semi-structured interviews)"
44,13,N/A
45,1,Longitudinal prospective study of 456 inner-city men
46,9,Notre Dame alumni records
47,2,Danish National Registers
48,1,1958 National Child Development Study and 1970 British Cohort Study
49,2,Swedish administrative/registry data
50,13,N/A
51,2,Norwegian administrative data
52,13,N/A
53,1,Panel Study of Income Dynamics
54,1,Add Health (National Longitudinal Study of Adolescent Health) and MIDUS (Midlife in the United States Study)
55,3,India Human Development Survey (IHDS)
56,13,N/A
57,13,N/A
58,1,"Longitudinal household survey data from 2,000 households in rural China collected in 2005, 2008, 2012, 2016, and 2019"
59,13,N/A
60,13,N/A
61,13,N/A
62,3,1995 Israeli Census
63,3,N/A
64,12,Facebook friendship data (21 billion friendships)
65,6,2012 Longitudinal and International Study of Adults linked to historical income data from the Canada Revenue Agency
66,2,"Newly compiled administrative dataset of roll call votes on California education legislation, matched with electoral district‐level upward mobility measures"
67,2,"The study uses multiple datasets: (a) Boston shooting incident records—which are Administrative/Registry Data (Category 2), (b) historic HOLC redlining maps—an Archival/Historical Data source (Category 11), and (c) income mobility data that aligns with the Opportunity Atlas (Category 4)"
68,10,Household Budget Survey (Pseudo-Panel constructed from cross-sectional data 1988-2011)
69,3,General Social Survey
70,1,"Finnish Census Panel, Panel Study for Income Dynamics (PSID)"
71,6,Swedish income tax records
72,3,Nationwide Survey Experiment (exact dataset name not specified)
73,1,PSID
74,1,Panel Study of Income 1981
75,3,"American Community Survey (1980–2015) and other national‐level data; additionally, a 20‐year qualitative fieldwork dataset (classified as 14: Others)"
76,1,Panel Study of Income Dynamics
77,6,"Swedish Linked Administrative Data (e.g., Swedish Population Registers)"
78,13,N/A
79,13,N/A
80,1,"For the US application (1969–2014) the paper appears to use panel/longitudinal survey data (e.g. the Panel Study of Income Dynamics), while for the international comparison (US and 31 European countries in 2010) it likely relies on comparable national survey data (e.g. from the Luxembourg Income Study)"
81,2,Swedish administrative register data (1975-1995)
82,3,Britain's Labour Force Survey
83,3,I972 General Household Survey in the U.K.
84,13,N/A
85,4,Opportunity Atlas
86,6,N/A
87,7,Andersens education mobility measure panel over sixteen Latin American economies
88,1,Japan Child Panel Survey (JCPS)
89,1,National Educational Longitudinal Study of 1988 (NELS 88)
90,1,"Ongoing longitudinal, representative cohort study of families in 11 predominately rural counties of the Southeastern U.S."
91,13,N/A
92,11,Chicago business elite archival records (1830-1930)
93,11,"Historical Sample of the Netherlands, Heights and Life Courses Database, Male Kin Height Database"
94,1,The Life Chances Study
95,14,"urban household survey carried out in six Chinese provinces (Shaanxi, Jilin, Hubei, Sichuan, Guangdong, and Shandong)"
96,6,Finnish population register data linking individuals and parents
97,3,National Baseline Household Survey (NBHS)
98,13,N/A
99,11,Historical assignment records (normal schools and insane asylums); Opportunity Atlas (from Opportunity Insights)
100,11,"Newly digitized archival/historical industrial and regional development data (Finland and comparable Norwegian data); also, Finnish administrative data tracking individuals over 30 years (Administrative/Registry Data, category 2)"
101,6,Finnish linked administrative/register data on 1.45M individuals and their parents
102,1,National Longitudinal Survey of Youth (NLSY79)
103,3,Philippines National Survey Data (rural household survey collecting intergenerational information)
104,14,various micro data sources (exact names not specified)
105,10,Family Income and Expenditure Survey
106,14,Primary mixed-methods field data collected from Filipino nurse migrants in Ireland
107,13,N/A
108,1,National Longitudinal Survey of Youth (NLSY)
109,11,Japanese American Research Project
110,2,"U.S. county-level administrative data (e.g., Census/County statistics on household income, poverty rates, educational attainment, etc.)"
111,1,cohort study of Norwegian males
112,2,Swedish registry data
113,1,Wisconsin Longitudinal Study (WLS)
114,13,N/A
115,13,N/A
116,1,Panel Study of Income Dynamics
117,13,N/A
118,2,"U.S. administrative data (e.g., aggregated IRS/Census records on intergenerational mobility measured at the commuting zone level)"
119,3,Custom National Survey Data on Malaysian socioeconomic mobility
120,13,N/A
121,3,2005 EUSILC inter-generational module
122,13,N/A
123,3,Indian National Survey Data – a rich income and consumption survey (likely akin to the NSS Consumer Expenditure Survey)
124,11,Census statistics of 1950 and 1960 for the New York metropolis concerning Puerto Ricans
125,13,N/A
126,6,Finnish administrative registry data linking individuals to their parents
127,3,ISSP 2009 module
128,5,N/A
129,12,Facebook friendship network data and community‐level average credit scores (the former from a Big Data source; the latter from credit bureau administrative records)
130,13,N/A
131,3,Labour Force Survey (2014-2023)
132,3,EU-SILC 2011 microdata
133,3,National Survey Data (exact dataset not specified)
134,1,National Child Development Survey
135,7,Luxembourg Wealth Study (2002-2018)
