id,category,measure,measure_1,measure_2
0,4,"Absolute Mobility Measure – specifically, the percentage of children earning more than their parents",,
5,3,Empirical transition matrices derived from square contingency tables,,
6,1,County-level intergenerational income rank association (rank-rank slope),,
7,1,"Multivariate regression coefficients estimating differences across mobility categories (upward, stable disadvantage, downward)",,
8,4,Absolute upward income mobility rates (with supplemental decomposition analysis),,
9,3,Income quintile transition probabilities (transition matrix) measure,,
11,4,Absolute income mobility (estimated using copula and marginals approximation methods),,
14,4,Absolute Mobility Measure (Percentage of children earning higher real income than their parents at the same age),,
16,1,"The paper employs a regression‐based measure—namely, the Intergenerational Elasticity (IGE) for income persistence (with coefficients between 0.63–0.76)—as well as an absolute mobility measure that reports upward mobility probabilities (e.g. the chances of moving from no formal education to higher education, 46% in Peru vs. 20% in Chile).",,
18,8,Not specified; insufficient detail in the abstract to determine the exact measure used,,
19,1,"Regression and correlation coefficients (e.g., an elasticity‐type measure of persistence) and Mobility Matrices (transition probability measures)",,
21,4,Absolute income mobility estimate (percentage of individuals with higher income than their parents),,
22,1,Intergenerational Elasticity (IGE) for income and the intergenerational occupational correlation for occupation,,
26,1,It appears the paper uses regression‐based estimates of intergenerational mobility – essentially intergenerational elasticities (IGE) for income and for education – to capture the mobility measures.,,
27,4,"The paper reports experimental estimates of the absolute differences in lifetime earnings and education between generations as a result of a mobility shock (i.e. absolute mobility effects using an exogenous, volcanic shock).",,
28,8,extended Atkinson indices,,
29,1,Coefficient estimate from a logistic regression model assessing the effect of a one unit increase in the natural logarithm of adult family income on the probability of low birthweight.,,
30,8,"The paper uses subjective measures derived from survey responses capturing beliefs in generational mobility (the tunnel effect), procedural fairness in economic success, and the existence of a middle‐class society. These are not standard mobility indices such as IGE or transition matrices.",,
31,1,Intergenerational Elasticity (IGE),,
33,1,Earnings premium estimated via regression analysis (e.g. difference in earnings between club members and non-members using random assignment variation),,
35,1,Regression‐based Estimates (using controlled regressions to assess differences in occupational outcomes and incomes),,
37,1,"The paper uses a regression‐based measure – essentially the intergenerational regression slope (akin to an intergenerational elasticity, here estimated at 0.5 per one‐point increase on a socioeconomic index) – along with an absolute mobility measure (the percentage of individuals upwardly mobile by cohort).",,
38,1,"Regression estimates capturing the effect of cultural consumption on future earnings, upward social mobility, and promotions",,
39,4,Absolute Mobility Measure (the probability that a child earns more than his/her parents),,
40,1,"The paper reports both reduced‐form estimates of intergenerational income transmission—akin to computing an intergenerational elasticity (as captured by the Gatsby Curve)—and complements these with structural decomposition evidence. In effect, the mobility estimates are obtained via regression‐based methods (category 1) with additional structural (category 6) model analysis.",,
41,1,"The abstract indicates a regression‐based measure of income mobility, most likely the estimation of intergenerational elasticity or income persistence.",,
42,3,Transition probabilities (mobility chances),,
43,4,Class pay gap measured as the absolute difference in annual earnings between individuals from different parental class backgrounds,,
44,3,"Income mobility defined as transitions in parental income quintiles (from birth to age 15) assessed via the differences in quintile membership, with associated hazard ratios from Cox regression.",,
45,8,The study does not extract a traditional intergenerational mobility measure (e.g. IGE or rank‐based indicators) but rather reports causal impact estimates—using a quasi‐experimental approach of early life pneumonia exposure—on adult outcomes including income mobility. Hence it is best categorized as ‘Others’ with the measure being the causal effect estimate on economic mobility.,,
49,4,"Absolute Mobility Measures – the study uses average outcome differences (mean income, years of employment, criminality, and mental health) to assess intergenerational mobility",,
51,1,Incidence Rate Ratios (IRRs) estimated via conditional logistic regression.,,
52,8,Not explicitly specified in the abstract,,
53,1,Intergenerational Elasticity (IGE),,
54,1,"Regression‐based Measures (analyzing intergenerational earnings via regression – for instance, comparisons akin to an extended intergenerational elasticity framework across three generations)",,
55,1,"Multiple regression analyses estimating the impact of entrepreneurship on college selectivity, professional occupation attainment, and earnings.",,
56,8,The abstract does not specify a particular measure; it is a literature survey that reviews multiple measurement methods related to intergenerational income mobility.,,
57,2,Social gradient in labor market outcomes based on parents' earnings rank,,
59,8,Repeated‐measures latent class analysis of economic hardship trajectories,,
60,8,"The study operationalizes mobility as upward and downward income mobility indicators (i.e. whether an individual’s income is higher or lower relative to their parents’), without specifying a conventional model‐based measure such as an IGE or transition matrix.",,
61,1,The paper employs an OLS‐based approach to quantify the degree of association between parental and offspring income (akin to an Intergenerational Income Elasticity measure) and also reports an Average Absolute Income Gap for Scheduled Tribe children (an Absolute Mobility Measure),,
62,1,Intergenerational Elasticity (IGE) – the elasticity of a child's income with respect to parent's educational investment,,
64,1,Intergenerational Elasticity (IGE),,
65,6,"A structural model of intergenerational income mobility that explicitly incorporates multistage human capital development, differentiating cognitive and non‐cognitive skills, as well as factors like parenting skills and public education quality.",,
66,3,"Transition Matrix / Probability Measures (i.e., Transition Probabilities)",,
67,1,Intergenerational Elasticity (IGE),,
68,5,Three‐generation immigrant earnings mobility curve,,
70,4,"Upward income mobility measured in absolute terms – for example, the estimated 20% increase in adult earnings for children from low‐SES families if they experienced economic connectedness (defined as the fraction of high‐SES friends among low‐SES individuals) comparable to that of high‐SES children",,
71,1,Odds Ratios estimated via logistic regression,,
72,8,Electoral District‐Level Upward Mobility,,
73,8,No identifiable measure mentioned (insufficient abstract content),,
74,1,Relative risk estimates from regression models linking unit increases in income mobility (Black and White income mobility) to changes in firearm incident rates.,,
76,4,Subjective absolute mobility measure (self-reported standard of living relative to one's parents),,
77,1,"Regression coefficients (e.g., estimates from logistic or linear regression models) that quantify the influence of extended family resources (grandparents, aunts, and uncles) on outcomes such as completing upper secondary education and avoiding low pay.",,
78,1,Estimated grandparent coefficient (a regression‐based measure of three‐generation association),,
79,8,"The paper uses two types of measures. First, a relative economic mobility measure—where respondents estimate the probabilities of moving upward or downward along the income distribution (which fits the Transition Matrix / Probability Measures, category 3). Second, an absolute mobility measure—that is, whether children out‐earn their parents for each parental income quintile (which fits Absolute Mobility Measures, category 4).",,
80,8,"The study does not specify a formal mobility measure (e.g., an intergenerational elasticity or transition matrix) but instead uses data from the Great British Class Survey to explore associations between nurses’ social origins, their accumulation of economic, social, and cultural capital, and income outcomes. This falls outside the predefined categories.",,
81,1,Threshold regression models detecting nonlinear threshold effects and status traps in intergenerational mobility,,
82,1,"The paper uses regression‐based measures, estimating the relationship (regression coefficients) between parental socioeconomic status/education and offspring earnings and occupational status (a form of intergenerational elasticity measure).",,
83,8,"The study does not specify a standard intergenerational mobility measure (e.g., IGE, rank‐based measures). Instead, it uses key socioeconomic indicators (education, occupation, income, poverty rates) in a descriptive quantitative analysis.",,
84,1,"Class-origin pay penalty estimated via regression coefficients (earnings difference controlling for education, race, etc.)",,
85,1,Regression-based coefficient estimating the association between mothers' income and children's upward mobility (with differentiated effects by gender).,,
86,4,Absolute Mobility Measures (with a discussion contrasting them with relative mobility measures),,
90,1,Class‐origin earnings differential (regression-based estimation of the pay gap),,
91,6,Path model estimating the variance decomposition of earnings (including direct and indirect effects via education and occupation) and social distance (the occupational gap between father and son),,
92,1,Intergenerational Elasticity (IGE) estimated via regression models,,
95,8,Clusters of Opportunity Atlas outcomes via a k‐means clustering algorithm (a composite index of social mobility opportunity),,
96,1,Intergenerational Elasticity (IGE) – a regression‐based estimate of the association between parental background (or educational achievement) and child income mobility,,
97,1,Andersens education mobility measure,,
98,1,"The paper appears to use regression‐based measures—assessing relationships between parental education/income and children’s cognitive outcomes (for example, through a correlation or slope akin to an intergenerational elasticity estimate).",,
99,3,"Transition probabilities – specifically, the paper estimates the probability of moving from one SES quartile (e.g., from the lowest to the highest) and examines differences in baccalaureate attainment rates by academic ability and family SES",,
101,1,"The paper uses regression‐based measures, specifically the regression coefficient estimating the effect (difference of approximately $14,000/year) of parental supervision on later household income.",,
104,4,Intergenerational occupational mobility measured as the difference between the research person’s HISCAM score and the father’s HISCAM score,,
105,3,"The measure is based on transition probabilities – specifically, the paper uses a transition matrix or probability measure to assess the persistence of low-income status from one generation (or early childhood) to later childhood.",,
106,1,"The paper appears to estimate mobility using regression‐based methods (i.e. estimating the relation between parental and child outcomes, often interpreted as an intergenerational elasticity type measure) while also comparing the proportion of children below fixed income (median‐based) poverty thresholds.",,
111,1,Regression‐based Estimates (causal effect estimates using historical assignment as an instrumental variable),,
112,1,"The paper employs regression‐based estimates—in particular, difference‐in‐differences (and triple‐difference) coefficients that capture the effect of exposure on long‐term incomes and upward mobility outcomes.",,
113,3,Shorrocks (1978a) mobility index,,
116,1,"Regression estimates of outcomes such as average annual income‐to‐poverty ratios, economic mobility, duration in poverty, and receipt of social safety net benefits (Food Stamps, TANF/AFDC)",,
117,1,"The study appears to use regression‐based measures—estimating the transmission of poverty (a type of intergenerational elasticity in income or poverty status) using predictors such as education, nonfarm income, and migration status.",,
118,4,Absolute Income Mobility Estimates,,
122,8,Human Development Index (HDI) used as a comprehensive indicator of individual social status (dynamic mobility measured using changes in HDI),,
124,1,Intergenerational Elasticity (IGE),,
125,1,Regression‐based estimates (cousin fixed effects regression coefficient capturing the association between multi-generational neighborhood disadvantage and income),,
127,5,"Multigenerational mobility estimates using regression‐based coefficients on socioeconomic and cultural proxies (e.g., education, occupation, samurai ancestry)",,
128,8,"The paper does not report a canonical mobility measure like the intergenerational elasticity, rank‐based mobility, or a transition matrix. Instead, it uses a set of county‐level indicators—such as household income, college graduation, incarceration, and marriage outcomes for men from low‐income families—along with county measures of concentrated disadvantage (e.g., poverty rate, racial segregation, job growth rate, etc.) to assess upward mobility. This collection of indicators does not neatly fall into one of the standard categories, so it is best classified as ‘Others.’",,
129,1,Status Attainment Model (regression‐based approach),,
130,1,Estimates from discrete time event history models (hazard/odds ratios for elite entry),,
131,8,Gini coefficient,,
133,4,"The study employs an absolute mobility measure by reporting the percentage (63%) of sons earning higher wages than their fathers, while also referring to relative income mobility (though the exact measure for this is not further specified).",,
136,3,Transition probabilities (intergenerational transition matrices),,
137,6,Intergenerational Income Elasticity (IGE) decomposed into human capital and financial components via a structural model,,
140,1,"Intergenerational Income Elasticity (IGE), capturing the regression‐based persistence of income across generations",,
144,7,Generalized concentration curve (dynamic fairness measure),,
145,1,"The study uses regression‐based measures, likely estimating intergenerational elasticities in both education attainment (as a proxy via social origin effects) and adult income, including non-linear specifications.",,
148,4,"Absolute Mobility Measures (e.g., comparisons in education attainment, occupational status, and income between generations)",,
149,8,A theoretical structural model of intergenerational inequality via reference group dynamics (no standard mobility measure like IGE or transition matrices),,
152,3,Estimated probability of educational transition (i.e. the likelihood of rural youths gaining admission to college and senior high school),,
153,8,Qualitative narrative-based alternative definitions of social mobility rather than a formal quantitative measure.,,
154,8,"Economic Connectedness (EC), Average Credit Score, and Friending Bias Measure",,
156,1,"Adjusted differences from regression-based models (examining net and gross effects of parental class, ethno‐gender combinations, and confounding factors)",,
158,1,Regression‐based estimate of the diminishing education effect on income attainments across generations,,
159,8,"Educational attainment, salary income, employment status, and occupation comparisons (descriptive absolute measures of socioeconomic status)",,
160,4,"Absolute Mobility Measure, based on income/employability gains relative to parental status",,
161,8,"The abstract does not specify a particular mobility measure (e.g., IGE, transition matrices, or rank‐based statistics); it employs unspecified empirical methods to assess how educational attainment within family structures affects socioeconomic mobility, earning potential, and overall financial well-being.",,
163,3,"Transition Matrix / Probability Measures – specifically, the probabilities of being in a given income quintile conditional on parental income quintile membership.",,
166,1,Regression-based measures (regression analysis of wage returns linking current outcomes with past occupational and intergenerational data),,
170,5,"Multigenerational measures (tracking estates, marital alliances, and symbolic capital across multiple generations)",,
171,3,Transition Matrix / Probability Measures (using social probabilities for college entry and labor market entry),,
174,1,"The studies rely on regression‐based estimates—for instance, instrumental variable/regression discontinuity estimates that quantify causal effects such as the roughly 12‐percentage point increase in children’s DI participation when parents receive a more lenient judge. Similar regression‐based approaches are used to estimate life‐cycle returns to schooling and peer effects on program participation.",,
175,8,"The paper does not report a canonical intergenerational mobility measure such as an intergenerational elasticity or a rank‐based mobility rate. Instead, it uses naturally occurring quasi‐experiments—a set of counterfactual simulations on firm entry and productivity in the cartel chapters and, crucially, a causal displacement design based on forced relocation—to estimate treatment effects on long‐term and intergenerational outcomes (education, mortality, income, and crime).",,
176,1,Intergenerational Income Elasticity (IGE) and Quantile Regressions,,
178,1,Intergenerational Earnings Elasticity (IGE) estimated via regression models,,
179,1,"The paper uses two distinct mobility measures: one is the father–son income correlation (a regression‐based measure, akin to the intergenerational elasticity approach) and the other is a transition matrix that tracks children born in the bottom income quintile to their adult quintile positions (a probability/transition matrix measure).",,
181,4,"Absolute Mobility Measures – using indicators of upward mobility, incidences of upward wealth and income mobility, and dispersion measures of accumulated wealth and income levels.",,
182,6,Intergenerational Mobility Index (IMI) and its decomposition,,
184,3,"Quartile father‐child earnings transition matrices; non‐parametric regressions (i.e., measures that fall under Transition Matrix / Probability Measures and Non‐parametric Approaches)",,
186,3,Intergenerational Transition Matrix,,
187,4,"The study reports an Absolute Mobility Measure (e.g. the share of individuals whose family income exceeds that of their parents, as indicated by the 84% figure) and also reports results akin to a Transition Matrix / Probability Measure (evidenced by the persistence rates in income quintiles, such as over 40% remaining in the bottom quintile).",,
188,1,"Regression‐based estimates – specifically, the mean effect of entrepreneurial activity on individual income and upward intergenerational wealth mobility",,
189,1,Intergenerational Elasticity (IGE) estimated via regression (with decomposition of mediating factors),,
190,6,Steady State Effects from a Structural Quantitative Model of Intergenerational Earnings Mobility,,
192,1,Intergenerational Elasticity (IGE),,
193,8,Informative Content of Surnames,,
194,3,Transition probabilities measuring the likelihood that children remain in the same education category as their parents,,
197,3,Transition probability measure (the probability of upward mobility from various points in the income distribution),,
198,1,Intergenerational Elasticity (IGE) estimated via a generalized errors‐in‐variables model,,
199,1,Intergenerational Earnings Elasticity (IGE),,
200,1,Intergenerational Elasticity (IGE),,
201,1,Intergenerational Income Elasticity (IGE),,
202,1,Intergenerational Elasticity (IGE) estimated using regression methods (including quantile regression),,
203,1,"Intergenerational association typically estimated via regression-based approaches (e.g., intergenerational elasticity)",,
204,3,"Transition probability measure – e.g., the persistence rate of bottom quartile status; and an absolute mobility measure – the income gap (≈40%) between offspring with fathers in the top versus bottom deciles",,
205,8,"Model‐based characterization of the wealth distribution dynamics—including the Pareto tail properties, the effects of capital income and estate taxes on wealth inequality, and the impact of exogenously varied social mobility—without explicit use of conventional mobility measures.",,
208,1,Intergenerational Elasticity (estimated via OLS/IV regressions) and an Inequality of Opportunity Index computed for mandatory/non‐mandatory education,,
210,1,Intergenerational Income Elasticity (IGE),,
211,1,Intergenerational Earnings Elasticity (IGE),,
212,3,Intergenerational mobility probabilities – the upward and downward mobility probabilities that determine children’s ability to attain sufficient entrepreneurial wealth as derived from the structural model,,
213,1,Intergenerational Elasticity (IGE) estimated via regression analysis,,
214,6,"Decomposition / Structural Approaches, using channel decomposition to identify the contributions of human capital, social capital, and wealth.",,
215,1,"The paper employs regression‐based measures, primarily estimating the impact of family‐background characteristics on intergenerational transmission (often captured as regression coefficients such as an intergenerational elasticity type measure) within a static labor supply model.",,
216,1,Regression‐based estimates of the effect of parental income at different childhood periods on individual outcomes (a period-specific intergenerational elasticity or timing elasticity),,
218,1,Residual effects captured via regression analysis (akin to estimating intergenerational elasticity or regression‐based returns to education),,
219,1,"Econometric regression estimates that capture the relationship between current asset positions, credit receipt probabilities, and the effects of inherited wealth on intergenerational mobility",,
220,1,Intergenerational Income Elasticity (IGE) and Relative Risk of Poverty,,
221,8,"novel intergenerational mobility measure developed by Guell, Rodriguez Mora, and collaborators",,
222,1,Intergenerational Income Elasticity (IGE),,
223,2,"The study employs two measures. One is the traditional transition probability of movement across income quantiles—which falls under Transition Matrix/Probability Measures (Category 3)—and the other is a direct upward mobility measure defined as the probability that an adult child’s relative rank exceeds that of the parents, a Rank‐based Measure (Category 2).",,
224,1,Regression‐based measures (i.e. model estimates such as regression coefficients estimating the association between parental wealth/home equity and the likelihood of upward or downward mobility),,
225,1,"Intergenerational Elasticity (IGE) estimated via OLS, panel Fixed Effects and First Differences, along with rank‐order IV and conditional second moments estimators",,
226,1,"Income‐persistence coefficients, asset persistence estimates, and income differential estimates",,
227,1,"The paper uses regression‐based measures, likely estimating intergenerational elasticities in education and income (and assessing differential returns to education) to quantify mobility.",,
230,6,"social mobility analysis focusing on structural processes such as residential segregation, educational segmentation, and labour market segmentation",,
231,1,Intergenerational Income Elasticity (IGE),,
233,1,R² from intergenerational earnings/income regressions (indicative of Intergenerational Elasticity),,
234,1,Intergenerational Elasticity (IGE) and Relative Mobility estimated via Structural Quantile Regression (the IGE is a regression‐based measure [Category 1] while the relative mobility measure is estimated using a structural approach [Category 6]),,
238,1,Regression coefficients estimating the effect of parental wealth on outcomes (with mediation analysis distinguishing direct vs. indirect effects),,
240,1,"Regression‐based Measures (e.g., intergenerational elasticity estimated via regression to the mean models and quantile regression)",,
241,1,Regression‐based measure (likely Intergenerational Elasticity estimated via regression analysis),,
