id,result,category,measure
1,"{
  ""category"": 1,
  ""measure"": ""Intergenerational Elasticity (IGE)""
}",1,Intergenerational Elasticity (IGE)
2,"{""category"": 1, ""measure"": ""Intergenerational Elasticity (IGE)""}",1,Intergenerational Elasticity (IGE)
3,"{
  ""category"": 8,
  ""measure"": ""The abstract does not specify a precise mobility measure (e.g. intergenerational elasticity, transition matrices, etc.)""
}",8,"The abstract does not specify a precise mobility measure (e.g. intergenerational elasticity, transition matrices, etc.)"
4,"{
  ""category"": 8,
  ""measure"": ""The abstracts do not specify any particular quantitative measure from a model or equation (e.g., IGE, rank‐based measures, transition matrices, etc.).""
}",8,"The abstracts do not specify any particular quantitative measure from a model or equation (e.g., IGE, rank‐based measures, transition matrices, etc.)."
10,"{
  ""category"": 6,
  ""measure"": ""A structural decomposition measure that estimates the relative importance of predetermined factors versus individual effort in generating dynastic income mobility and, by extension, income inequality/incentive costs.""
}",6,"A structural decomposition measure that estimates the relative importance of predetermined factors versus individual effort in generating dynastic income mobility and, by extension, income inequality/incentive costs."
12,"{
  ""category"": 8,
  ""measure"": ""A theoretically derived measure from a three‐period stochastic overlapping‐generations model""
}",8,A theoretically derived measure from a three‐period stochastic overlapping‐generations model
13,"{
  ""category"": 8,
  ""measure"": ""No standard empirical measure is used; rather, the paper employs a three‐period stochastic overlapping generations model to structurally analyze mobility and its political equilibrium implications.""
}",8,"No standard empirical measure is used; rather, the paper employs a three‐period stochastic overlapping generations model to structurally analyze mobility and its political equilibrium implications."
15,"{""category"": 1, ""measure"": ""Intergenerational Elasticity (IGE) or a similar regression‐based coefficient capturing the association between youth standard of living and adult income""}",1,Intergenerational Elasticity (IGE) or a similar regression‐based coefficient capturing the association between youth standard of living and adult income
20,"{
  ""category"": 1,
  ""measure"": ""Estimated association from regression/IV analysis capturing social mobility (i.e., the causal effect of innovation on social mobility)""
}",1,"Estimated association from regression/IV analysis capturing social mobility (i.e., the causal effect of innovation on social mobility)"
23,"{
  ""category"": 4,
  ""measure"": ""Economic connectedness – defined as the share of high‐SES friends among low‐SES individuals – used to simulate an absolute mobility effect (a 20% average income increase) when raised to high‐SES levels.""
}",4,Economic connectedness – defined as the share of high‐SES friends among low‐SES individuals – used to simulate an absolute mobility effect (a 20% average income increase) when raised to high‐SES levels.
24,"{
  ""category"": 8,
  ""measure"": ""Model‐implied quantile growth rates derived from an aspirations‐based framework (i.e., a theoretical measure of how income distribution dynamics, via aspirations, produce an inverted U‐shaped profile across quantiles)""
}",8,"Model‐implied quantile growth rates derived from an aspirations‐based framework (i.e., a theoretical measure of how income distribution dynamics, via aspirations, produce an inverted U‐shaped profile across quantiles)"
25,"{""category"": 3, ""measure"": ""Transition matrices measuring flows across social classes (e.g., downward mobility barriers)""}",3,"Transition matrices measuring flows across social classes (e.g., downward mobility barriers)"
32,"{
  ""category"": 4,
  ""measure"": ""class‐origin pay gap measured as a 17% lower average earnings (or $7,350 lower annual earnings) for upwardly mobile individuals from working‐class backgrounds""
}",4,"class‐origin pay gap measured as a 17% lower average earnings (or $7,350 lower annual earnings) for upwardly mobile individuals from working‐class backgrounds"
