,id,domain_id,domain_name
0,https://openalex.org/W327884818,https://openalex.org/domains/3,Physical Sciences
1,https://openalex.org/W2074286877,https://openalex.org/domains/4,Health Sciences
2,https://openalex.org/W2253738696,https://openalex.org/domains/1,Life Sciences
3,https://openalex.org/W3158714437,https://openalex.org/domains/3,Physical Sciences
4,https://openalex.org/W2045092391,https://openalex.org/domains/1,Life Sciences
5,https://openalex.org/W3094684458,https://openalex.org/domains/3,Physical Sciences
6,https://openalex.org/W2157946021,https://openalex.org/domains/4,Health Sciences
7,https://openalex.org/W3132196641,https://openalex.org/domains/3,Physical Sciences
8,https://openalex.org/W2884795035,https://openalex.org/domains/1,Life Sciences
9,https://openalex.org/W3089281953,https://openalex.org/domains/3,Physical Sciences
10,https://openalex.org/W2922249408,https://openalex.org/domains/4,Health Sciences
11,https://openalex.org/W2944780237,https://openalex.org/domains/4,Health Sciences
12,https://openalex.org/W3128768507,https://openalex.org/domains/3,Physical Sciences
13,https://openalex.org/W2341663146,https://openalex.org/domains/4,Health Sciences
14,https://openalex.org/W1989968173,https://openalex.org/domains/3,Physical Sciences
15,https://openalex.org/W3023863810,https://openalex.org/domains/3,Physical Sciences
16,https://openalex.org/W4308113109,https://openalex.org/domains/4,Health Sciences
17,https://openalex.org/W4205865056,https://openalex.org/domains/4,Health Sciences
18,https://openalex.org/W2082999380,https://openalex.org/domains/1,Life Sciences
19,https://openalex.org/W4221038560,https://openalex.org/domains/3,Physical Sciences
20,https://openalex.org/W2280847375,https://openalex.org/domains/4,Health Sciences
21,https://openalex.org/W4282599306,https://openalex.org/domains/4,Health Sciences
22,https://openalex.org/W4280583318,https://openalex.org/domains/3,Physical Sciences
23,https://openalex.org/W4384922540,https://openalex.org/domains/4,Health Sciences
24,https://openalex.org/W2106866030,https://openalex.org/domains/3,Physical Sciences
25,https://openalex.org/W4386924162,https://openalex.org/domains/1,Life Sciences
26,https://openalex.org/W2755688344,https://openalex.org/domains/1,Life Sciences
27,https://openalex.org/W3045752894,https://openalex.org/domains/3,Physical Sciences
28,https://openalex.org/W2099629135,https://openalex.org/domains/4,Health Sciences
29,https://openalex.org/W2356069667,https://openalex.org/domains/3,Physical Sciences
30,https://openalex.org/W4307189202,https://openalex.org/domains/4,Health Sciences
31,https://openalex.org/W2160984653,https://openalex.org/domains/4,Health Sciences
32,https://openalex.org/W2201140352,https://openalex.org/domains/3,Physical Sciences
33,https://openalex.org/W3081710107,https://openalex.org/domains/3,Physical Sciences
34,https://openalex.org/W3096036142,https://openalex.org/domains/3,Physical Sciences
35,https://openalex.org/W4400803296,https://openalex.org/domains/3,Physical Sciences
37,https://openalex.org/W2512479688,https://openalex.org/domains/3,Physical Sciences
38,https://openalex.org/W2150306327,https://openalex.org/domains/4,Health Sciences
39,https://openalex.org/W3095866569,https://openalex.org/domains/3,Physical Sciences
40,https://openalex.org/W2326916632,https://openalex.org/domains/3,Physical Sciences
41,https://openalex.org/W1965387020,https://openalex.org/domains/4,Health Sciences
42,https://openalex.org/W3157070895,https://openalex.org/domains/3,Physical Sciences
43,https://openalex.org/W2043124788,https://openalex.org/domains/4,Health Sciences
44,https://openalex.org/W2156665585,https://openalex.org/domains/4,Health Sciences
45,https://openalex.org/W2914509255,https://openalex.org/domains/3,Physical Sciences
46,https://openalex.org/W1965975586,https://openalex.org/domains/4,Health Sciences
47,https://openalex.org/W2810932621,https://openalex.org/domains/3,Physical Sciences
48,https://openalex.org/W2145427653,https://openalex.org/domains/4,Health Sciences
49,https://openalex.org/W2582702315,https://openalex.org/domains/4,Health Sciences
50,https://openalex.org/W1983912814,https://openalex.org/domains/4,Health Sciences
51,https://openalex.org/W3132461991,https://openalex.org/domains/3,Physical Sciences
52,https://openalex.org/W2025073079,https://openalex.org/domains/4,Health Sciences
53,https://openalex.org/W1976245268,https://openalex.org/domains/3,Physical Sciences
54,https://openalex.org/W2163801252,https://openalex.org/domains/4,Health Sciences
55,https://openalex.org/W2782865957,https://openalex.org/domains/3,Physical Sciences
56,https://openalex.org/W3022841838,https://openalex.org/domains/3,Physical Sciences
57,https://openalex.org/W2110997890,https://openalex.org/domains/4,Health Sciences
58,https://openalex.org/W4307112113,https://openalex.org/domains/4,Health Sciences
59,https://openalex.org/W2943664771,https://openalex.org/domains/4,Health Sciences
60,https://openalex.org/W3122044785,https://openalex.org/domains/4,Health Sciences
61,https://openalex.org/W2126960369,https://openalex.org/domains/3,Physical Sciences
62,https://openalex.org/W1570702160,https://openalex.org/domains/3,Physical Sciences
63,https://openalex.org/W2884505377,https://openalex.org/domains/3,Physical Sciences
64,https://openalex.org/W2103933409,https://openalex.org/domains/4,Health Sciences
65,https://openalex.org/W2179616198,https://openalex.org/domains/3,Physical Sciences
66,https://openalex.org/W2153100594,https://openalex.org/domains/4,Health Sciences
67,https://openalex.org/W1998678880,https://openalex.org/domains/4,Health Sciences
68,https://openalex.org/W2787470981,https://openalex.org/domains/3,Physical Sciences
69,https://openalex.org/W649552100,https://openalex.org/domains/3,Physical Sciences
70,https://openalex.org/W2111362090,https://openalex.org/domains/4,Health Sciences
71,https://openalex.org/W2094569470,https://openalex.org/domains/1,Life Sciences
72,https://openalex.org/W2015451572,https://openalex.org/domains/4,Health Sciences
73,https://openalex.org/W2185095936,https://openalex.org/domains/4,Health Sciences
74,https://openalex.org/W3122932608,https://openalex.org/domains/4,Health Sciences
75,https://openalex.org/W2775887019,https://openalex.org/domains/3,Physical Sciences
76,https://openalex.org/W2316683241,https://openalex.org/domains/3,Physical Sciences
77,https://openalex.org/W1979487514,https://openalex.org/domains/4,Health Sciences
78,https://openalex.org/W2889678988,https://openalex.org/domains/3,Physical Sciences
79,https://openalex.org/W2146631998,https://openalex.org/domains/4,Health Sciences
80,https://openalex.org/W2529329558,https://openalex.org/domains/4,Health Sciences
81,https://openalex.org/W2156272574,https://openalex.org/domains/4,Health Sciences
