id,Q1,Q1_1,Q2,Q2_1,Q2_2,Q3,Q4
https://openalex.org/W2021744740,No,"The main focus of the paper is on income mobility in rural India, examining how a section of the cultivating poor experienced upward mobility and the factors that enabled them to overcome poverty.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2027230797,No,"The paper primarily focuses on analyzing changes in family income mobility patterns over time, specifically by examining movements across income quintiles and exploring how factors such as family composition and labor market events influence these dynamics.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2119779933,No,"The paper primarily focuses on assessing the economic performance and occupational mobility of early 20th-century immigrants compared to native-born Americans, rather than on inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1919273765,No,The paper is a review of Stephen Jenkins' book and its primary focus is on income mobility and poverty dynamics in Britain.,N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1512287801,No,"The paper primarily focuses on examining income mobility and its impact on income inequality in the 1980s and 1990s in the US, rather than on inter/multigenerational wealth, income, or earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2038178793,No,"The paper focuses on analyzing the relationship between residential mobility and job mobility among Danish dual-earner couples, rather than addressing inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2071650748,No,"The paper focuses on the relationship between a country's total income (GDP) and its overall physical mobility (measured in passenger and tonne miles), rather than inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2030076687,No,"The paper mainly focuses on how the mobility of factors of production—capital and labor—across jurisdictions in a federation influences income redistribution policies, rather than discussing inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2027978922,No,"The paper focuses on the internal divisions within the working-class group, examining how family background, standard of living, and schooling jointly affect the social mobility prospects of young males.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2912277864,Yes,"The paper examines intergenerational mobility by analyzing income persistence using imputed parental income, finding persistence estimates ranging from 0.63 to 0.67 in Peru and 0.66 to 0.76 in Chile. It also evaluates educational mobility, noting that while absolute mobility has increased among younger generations due to educational expansion, relative mobility remains strongly linked to parental education levels.",Yes,"The study employs measures such as intergenerational income persistence coefficients and upward mobility probabilities – for instance, the likelihood of moving from no formal education to higher education, as well as persistence in the top educational group across generations.",N/A,Yes,N/A
https://openalex.org/W2236064074,No,"The paper focuses on intra-generational income mobility, specifically on how the equivalizing transformation affects the definition of complete mobility orderings and its implications for heterogeneous societies.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2809679881,No,"The paper focuses on educational mobility, specifically the experiences of low-income Chicanos in achieving educational success, rather than on inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1575856855,No,"The paper's main focus is on measuring household-level wealth mobility over an eight-year period in a South Indian village, using matrix-based measures and a supplementary distance measure.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1763036350,Yes,"The paper studies intergenerational income mobility by examining how family-background characteristics influence labor supply decisions, occupational segregation, and the transmission of social and economic status across generations in the United States and Germany.",Yes,"The study uses a static labor supply model applied to data from the Cross-National Equivalent File (PSIDGSOEP) to measure how aspects such as gender, education, and occupational segregation contribute to the intergenerational transmission of status.",N/A,Yes,N/A
https://openalex.org/W1856135383,No,"The paper focuses on comparing income and wealth mobility within a single generation of U.S. households over time, rather than inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W1997733137,No,"The paper's main focus is on household wealth mobility over time during the 1960s and 1970s, investigating changes in net family assets and factors affecting upward or downward mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2009388710,Yes,"The paper focuses on intergenerational income mobility, revisiting the topic through the use of an income dynamic model that accounts for heterogeneous age profiles.",Yes,The measure mentioned is the income dynamic model with a heterogeneous age profile designed to capture intergenerational income mobility.,N/A,Yes,N/A
https://openalex.org/W2009897266,Yes,"The title indicates that the paper examines intergenerational earnings mobility, with a focus on how the mobility estimates change when different income measures are used.",Yes,The specific income measures are not detailed in the provided information.,N/A,Yes,N/A
https://openalex.org/W2010545686,Yes,"The paper examines intergenerational income mobility in China and links it to public education spending, discussing how such spending might influence income mobility across generations.",Yes,"The brief information does not specify the precise measures, but by being an empirical study on intergenerational income mobility it is implied that standard statistical measures (such as intergenerational elasticity or correlation coefficients) are used.",N/A,Yes,N/A
https://openalex.org/W2011405670,Yes,The paper examines how human capital is transferred across generations and investigates its effect on income mobility within the Chinese context.,Yes,The paper refers to measures of parental human capital (such as education and possibly income measures) to quantify intergenerational transmission and its impact on income mobility.,N/A,Yes,N/A
https://openalex.org/W2018079782,Yes,"Based solely on its title, the paper appears to investigate the relationship between education and intergenerational income mobility in urban China.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2030719283,Yes,"Based solely on the title, the paper discusses intergenerational income mobility and focuses on methodological challenges in estimating it—highlighting an additional problem in the standard approaches.",Yes,N/A (The provided information does not specify which measures are discussed.),N/A,N/A,N/A
https://openalex.org/W2034417760,Yes,"The paper examines the transmission of socio-economic status across generations in Spain, thus focusing on intergenerational income mobility.",Yes,The specific measures used to assess mobility (such as intergenerational elasticity or related metrics) are not detailed in the provided information.,N/A,Yes,N/A
https://openalex.org/W2049536020,No,The paper primarily focuses on occupational mobility and wealth evolution in the context of educational investments and credit market imperfections.,N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2049773875,Yes,"The paper, as indicated by its title, examines intergenerational income mobility by comparing the outcomes in permanent versus separated families. However, no further details are available from the abstract or provided information.",Yes,N/A,N/A,Yes,N/A
https://openalex.org/W2056823769,Yes,The title indicates that the paper examines wealth transmission over time in France – an analysis that inherently involves studying intergenerational (or multigenerational) wealth mobility and its implications for inequality.,Yes,N/A,N/A,Yes,N/A
https://openalex.org/W2164163219,Yes,"The title suggests that the paper discusses mobility in wealth distribution – a topic that is often linked to intergenerational dynamics. However, no further details are available from the provided information.",No,N/A,The available details do not mention any specific measures for studying intergenerational wealth or income mobility.,N/A,N/A
https://openalex.org/W2210747677,Yes,"The paper examines intergenerational income mobility, focusing on how mobility varies across different parts of the income distribution in the U.S. over the period 1980–2010.",Yes,It employs quantile regression methods to analyze and measure differences in income mobility along various quantiles of the income distribution.,N/A,Yes,N/A
https://openalex.org/W2229381819,Yes,"The paper examines how education affects income inequality and intergenerational mobility, suggesting that educational attainment plays a role in the transmission of economic status from one generation to the next.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2274159753,Yes,"Based solely on the title, the paper appears to examine how families’ wealth changes as they raise children—an analysis that potentially touches on intergenerational aspects. However, without access to the full abstract or text, it is unclear how explicitly it discusses inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2595264819,Yes,The title indicates that the paper examines intergenerational income mobility by analyzing how childhood family structure in the United States is linked with economic outcomes across generations.,N/A,N/A,"The available information (title, year, DOI, and an error message for the abstract) does not provide details on the specific measures used to study income mobility.",N/A,N/A
https://openalex.org/W2619151633,Yes,"The title indicates that the paper is focused on intergenerational income mobility in India. However, since the abstract could not be retrieved, detailed descriptions of the findings or discussion are not available.",N/A,N/A,The provided information does not include details on the measures used to study mobility.,N/A,N/A
https://openalex.org/W2838878667,Yes,"The paper examines the role of perceived intergenerational mobility – that is, how individuals view their social or economic movement relative to their parents – as a moderating factor in the effects of income inequality on outcomes such as educational expenses, consumer happiness, and the meaningfulness of life through anxiety.",Yes,"The paper refers to 'perceived intergenerational mobility' as a construct, implying the use of self-reported measures or survey items to capture individuals’ perceptions of their mobility relative to their parents. However, specific operational details or measurement instruments are not provided in the available information.",N/A,Yes,N/A
https://openalex.org/W2883024550,Yes,The paper examines intergenerational income mobility by analyzing how veteran status influences income outcomes across three cohorts of American men.,Yes,"The provided information does not specify the exact measures; the paper likely uses standard mobility metrics, but exact details (e.g., intergenerational elasticity or rank-based mobility measures) cannot be confirmed without accessing the full text.",N/A,Yes,N/A
https://openalex.org/W2887716603,No,"The paper does not discuss inter/multigenerational wealth/income/earning mobility. Instead, it focuses on why Americans believe in economic mobility by examining the influences of economic inequality and external attributions of wealth and poverty on these beliefs.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2899670512,No,"The paper focuses on understanding why Americans overestimate economic mobility by examining economic inequality and external attributions of wealth and poverty, rather than discussing inter/multigenerational wealth or income mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2922039017,Yes,The paper focuses on how government spending during childhood relates to intergenerational income mobility in the United States.,N/A,N/A,N/A,N/A,N/A
https://openalex.org/W2933369931,Yes,"The paper examines the relationship between intergenerational income mobility and health outcomes in Japan, using a quasi‐experimental approach to determine how variations in income across generations influence health.",Yes,"The paper employs a quasi‐experimental design to study intergenerational income mobility, although specific measurement details are not available in the provided information.",N/A,Yes,N/A
https://openalex.org/W2963339544,No,"The paper’s primary focus is on wealth, prestige, and social mobility in the Colonial Chesapeake, rather than on inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W3039577330,Yes,The paper examines how imputed rents affect intergenerational income mobility by analyzing income transfer across generations in three countries.,Yes,The paper uses imputed rents as a key measure to study intergenerational income mobility.,N/A,Yes,N/A
https://openalex.org/W3119532619,Yes,"Based on the paper's title, the study appears to address intergenerational mobility by examining how economic inequality and income taxes relate to mobility across generations. However, without access to the full text, further details cannot be confirmed.",N/A,N/A,There is insufficient information (the abstract is unavailable and no further details are provided) to determine if specific measures are mentioned.,N/A,N/A
https://openalex.org/W3119775080,Yes,"The paper investigates how economic inequality during childhood is linked with intergenerational income persistence, essentially discussing mobility between generations.",Yes,The paper uses measures such as intergenerational income persistence (often quantified via intergenerational income elasticity) to assess mobility.,N/A,Yes,N/A
https://openalex.org/W3121545129,Yes,"The paper examines the connection between a father's income and his children’s economic outcomes in rural India, exploring whether parental wealth is essential for upward mobility.",Yes,"While the provided information does not detail the specific measures, studies on intergenerational income mobility typically use metrics such as intergenerational income elasticity and rank correlations.",N/A,Yes,N/A
https://openalex.org/W3123793936,Yes,"Based on the title, the paper presents a model linking economic mobility to the distribution of wealth, which implies consideration of inter/multigenerational mobility. However, with the abstract unavailable, the precise treatment of intergenerational aspects remains unclear.",No,N/A,The available information (title and citation details) does not provide specific mentions of measures used to study inter/multigenerational mobility.,N/A,N/A
https://openalex.org/W3129579937,Yes,The paper examines how childhood exposure to polluted neighborhood environments is related to intergenerational income mobility in the USA.,Yes,N/A – The available information does not provide specific details on the measures used to study intergenerational mobility.,N/A,Yes,N/A
https://openalex.org/W3202616165,Yes,The paper examines intergenerational income mobility by investigating how government spending affects the transmission of income from one generation to the next in China.,Yes,"The provided information does not specify the exact measures; however, as an empirical study on intergenerational income mobility, it likely discusses standard measures used in the literature.",N/A,Yes,N/A
https://openalex.org/W3204672706,Yes,"The title makes it clear that the paper examines intergenerational income mobility in Japan and its relationship with regular employment. Because the abstract could not be retrieved, further details are not available.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W4220653739,No,"The paper focuses on examining the mobility of top earnings, income, and wealth in China based on household finance data rather than studying inter/multigenerational mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W4224001564,Yes,The paper discusses intergenerational income mobility by examining how thinning intervals affect Bayesian variance component estimation in a simulation study.,Yes,"The measure mentioned is Bayesian variance component estimation, used to assess intergenerational income mobility.",N/A,No,Yes
https://openalex.org/W4234961936,No,"The paper is a collection of book reviews addressing a wide range of social science topics—such as human origins, wealth, social mobility, poverty, and socio-economic development—rather than focusing specifically on inter/multigenerational wealth/income/earning mobility.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W4256469099,No,"The paper focuses on critiquing the egalitarian myth in America by examining wealth distribution, social mobility, and overall equality during the Era of the Common Man, rather than addressing inter/multigenerational wealth, income, or earning mobility specifically.",N/A,N/A,N/A,N/A,N/A
https://openalex.org/W4307723330,Yes,The paper examines intergenerational income mobility by studying whether intergovernmental transfers in China help boost mobility between generations.,Yes,"The provided information does not specify which empirical measures (eg, intergenerational income elasticity, rank‐rank slopes, etc.) are used.",N/A,Yes,N/A
https://openalex.org/W4381736130,Yes,The paper examines intergenerational income mobility in the UK by analyzing how income is transferred across generations using new empirical evidence.,Yes,"The provided information does not specify the exact measures, but studies of this kind typically include indicators such as intergenerational elasticity or rank–rank slopes.",N/A,Yes,N/A
https://openalex.org/W4385501294,No,"The main focus of the paper is on the distribution and mobility of wealth at the national level rather than on inter/multigenerational wealth, income, or earning mobility.",N/A,N/A,N/A,N/A,N/A
