id,category,measure,specified,relevant,category_2,measure_1,measure_2,category_3
1,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
2,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
3,8,"The abstract does not specify a precise mobility measure (e.g. intergenerational elasticity, transition matrices, etc.)",0,1,,,,
4,8,"The abstracts do not specify any particular quantitative measure from a model or equation (e.g., IGE, rank‐based measures, transition matrices, etc.).",0,1,,,,
10,6,"A structural decomposition measure that estimates the relative importance of predetermined factors versus individual effort in generating dynastic income mobility and, by extension, income inequality/incentive costs.",1,1,,Structural Decomposition,,
12,8,A theoretically derived measure from a three‐period stochastic overlapping‐generations model,1,1,,OLG Model,,
13,8,"No standard empirical measure is used; rather, the paper employs a three‐period stochastic overlapping generations model to structurally analyze mobility and its political equilibrium implications.",1,1,,OLG Model,,
15,1,Intergenerational Elasticity (IGE) or a similar regression‐based coefficient capturing the association between youth standard of living and adult income,1,1,,Intergenerational Elasticity,,
20,1,"Estimated association from regression/IV analysis capturing social mobility (i.e., the causal effect of innovation on social mobility)",1,1,,Regression Estimate,,
23,4,Economic connectedness – defined as the share of high‐SES friends among low‐SES individuals – used to simulate an absolute mobility effect (a 20% average income increase) when raised to high‐SES levels.,1,1,,Economic Connectedness,,
24,8,"Model‐implied quantile growth rates derived from an aspirations‐based framework (i.e., a theoretical measure of how income distribution dynamics, via aspirations, produce an inverted U‐shaped profile across quantiles)",1,1,,Quantile Growth Rates,,
25,3,"Transition matrices measuring flows across social classes (e.g., downward mobility barriers)",1,1,,Transition Matrices,,
32,4,"class‐origin pay gap measured as a 17% lower average earnings (or $7,350 lower annual earnings) for upwardly mobile individuals from working‐class backgrounds",1,1,,Class‐Origin Pay Gap,,
34,8,Descriptive mobility measures based on observed changes in the size and composition of the middle class and poverty reduction,1,1,,Descriptive Mobility,,
36,4,"Absolute Mobility Measures (e.g., comparing career earnings outcomes as an upward mobility gap)",1,1,,Absolute Mobility,,
46,8,Modified median voter model–based measure of income mobility and redistribution,1,1,,Median Voter Model,,
47,8,Qualitative measures based on surveys and semi‐structured interviews (no explicit quantitative mobility measure such as IGE or transition matrix),1,1,,Qualitative,,
48,1,Intergenerational Elasticity (IGE) – a regression‐based estimate of the influence of family background on child outcomes,1,1,,Intergenerational Elasticity,,
50,4,"Absolute mobility measures – comparing individuals’ attained positions (e.g., income levels and executive roles) relative to their low socioeconomic origins",1,1,,Absolute Mobility,,
58,1,Intergenerational Income Elasticity (IGE),1,1,,Intergenerational Elasticity,,
63,1,The paper appears to rely on regression‐based estimates of intergenerational (and intragenerational) income mobility—typically captured by measures such as intergenerational elasticity—which quantify how parental (or earlier life) incomes relate to later outcomes.,1,1,,Intergenerational Elasticity,,
69,1,Wage gap estimates derived from regression analyses (assessing the role of occupational sorting via autonomy and prosocial characteristics),1,1,,Wage Gap Estimate,,
75,8,Pseudo‐panel based income mobility measure constructed from pattern data,1,1,,Pseudo‐panel Mobility,,
87,1,Intergenerational Elasticity (IGE),1,1,,Intergenerational Elasticity,,
88,6,unfair inequality measure (decomposing overall inequality into fair and unfair components based on equality of opportunity and freedom from poverty),1,1,,Inequality Decomposition,,
89,3,The paper uses a transition‐matrix approach to assess intergenerational class mobility – evidenced by the analysis of how many individuals end up in a different class from their father – alongside regression‐based findings (e.g. declining explained variance in wage income by class position),1,1,1,Transition Matrix,Regression‐based,
93,8,Descriptive analysis of utilization rates of the GI Bill transfer provision,1,0,,,,
94,6,Structural model that links parental value transmission (obedience vs. independence) to labor market outcomes and steady‐state social mobility patterns,1,1,,Structural Model,,
100,8,No explicit measure provided,0,1,,,,
102,6,"A structural parameter capturing the differential cost of human capital accumulation between children of educated and non‐educated families, which operationalizes the degree of social mobility.",1,1,,Structural Parameter,,
103,4,Share of self-made fortunes (absolute mobility measure),1,1,,Absolute Mobility,,
107,8,"Vertical socioeconomic mobility based on the disproportionate representation of entrepreneurs from higher-status castes and high economic status families (no specific standardized quantitative measure such as IGE, transition matrix, etc. is provided)",0,1,,,,
108,1,Instrumental Variables estimates (regression-based measures of the causal effect of parental education on offspring inventing probability),1,1,,Regression‐based Estimate,,
109,1,Income Elasticity (as estimated via the Tobit regression model),1,1,,Income Elasticity,,
