article_id,embedding,cluster
https://openalex.org/W1020822704,"[-0.11972518 -0.10026626  0.09503528 -0.13937737 -0.05851167  0.065128
 -0.06705653 -0.03279072 -0.01523454  0.01590249 -0.00487733  0.06851855
  0.08572605  0.16116113  0.01066016  0.13414229  0.19167014  0.03334472
 -0.12100785 -0.02341027  0.06029069  0.11508185 -0.01549579 -0.00619862
  0.15293659  0.00519571  0.04479185  0.04847161  0.04647222 -0.04766719
  0.05552329 -0.05320482  0.14331022 -0.00075784  0.05245352 -0.03184798
  0.01942551  0.04824017  0.00963553 -0.08988197 -0.03245946  0.03263643
 -0.11362835  0.0470459   0.02855647  0.04066358 -0.01806925  0.11692254
 -0.02065343  0.0139585  -0.17264242 -0.1808604   0.0374919   0.062918
  0.11399109 -0.01540755  0.03806888  0.04920183  0.01627986 -0.0115324
 -0.10369197 -0.14789025 -0.09027352 -0.1464545   0.00027784  0.07876832
  0.02449134 -0.00523444  0.04348524  0.09154505 -0.09119876 -0.03683866
  0.00153726 -0.13994865  0.03433013  0.10445623  0.10700198 -0.04260441
 -0.09572122  0.0008602   0.18140513  0.03249936 -0.03541972 -0.03286316
  0.12338931  0.00843027  0.08142159 -0.070661   -0.08227941 -0.11169471
  0.08943041 -0.0605865  -0.18392507 -0.00112725 -0.10370778  0.07174922
  0.09574639 -0.04628118  0.01348539  0.03532412  0.0064707  -0.05765805
  0.03181905  0.05292729 -0.0525445  -0.01283402  0.07712414  0.01418237
  0.054891    0.11974446  0.07825999  0.00172277 -0.02045767  0.00668936
 -0.04822377 -0.03233625 -0.2000292   0.13050325  0.12960968  0.04869634
  0.01165541  0.07693827  0.0692415  -0.10970669  0.14552185  0.05073403
 -0.03712016  0.01542744]",1
https://openalex.org/W115198923,"[-0.12046552 -0.08210444  0.08291581 -0.14603179 -0.0801972   0.06949716
 -0.05405842 -0.04187752 -0.02405579  0.03740148 -0.00584638  0.06436588
  0.06819004  0.16367949  0.0030741   0.11459803  0.17715328  0.02552108
 -0.12457334 -0.00205162  0.037586    0.13690337 -0.00278756  0.00515181
  0.1575025   0.02455742  0.01381541  0.05114448  0.04944127 -0.02885482
  0.04205113 -0.06681096  0.13674435 -0.00439982  0.05745457 -0.04651197
  0.0262085   0.03361798  0.00281934 -0.07824023 -0.03028309  0.02377863
 -0.11498194  0.04380724  0.02077598  0.05288866 -0.02221394  0.11892458
 -0.0355528   0.02108278 -0.16721467 -0.18064827  0.04144951  0.07814309
  0.09862609 -0.01367784  0.047811    0.04907394  0.02357689 -0.03734277
 -0.09562152 -0.13372054 -0.10386084 -0.14770771 -0.01025708  0.06481661
  0.02670751  0.00191021  0.03132171  0.08860343 -0.10286853 -0.03007507
 -0.02022999 -0.13316656  0.03177288  0.10635944  0.10848432 -0.02844165
 -0.08087768  0.00681447  0.19768141  0.01037956 -0.03448774 -0.04645323
  0.14772201  0.02180706  0.07060947 -0.05008653 -0.05269623 -0.09893061
  0.102637   -0.0615043  -0.20243567 -0.02486238 -0.09814263  0.09277792
  0.0850242  -0.0228068   0.01016626  0.03366954  0.02581043 -0.05262695
  0.04755573  0.0397017  -0.06699844 -0.01497168  0.11491331  0.01647826
  0.05629951  0.11489995  0.07300461  0.03503269 -0.01556654  0.02384266
 -0.04753081 -0.04511512 -0.20699864  0.12220276  0.15849319  0.05433731
  0.00159332  0.10703252  0.07033315 -0.10002716  0.15823676  0.03612023
 -0.03806751  0.01973393]",3
https://openalex.org/W1444704346,"[-0.11972518 -0.10026626  0.09503528 -0.13937737 -0.05851167  0.065128
 -0.06705653 -0.03279072 -0.01523454  0.01590249 -0.00487733  0.06851855
  0.08572605  0.16116113  0.01066016  0.13414229  0.19167014  0.03334472
 -0.12100785 -0.02341027  0.06029069  0.11508185 -0.01549579 -0.00619862
  0.15293659  0.00519571  0.04479185  0.04847161  0.04647222 -0.04766719
  0.05552329 -0.05320482  0.14331022 -0.00075784  0.05245352 -0.03184798
  0.01942551  0.04824017  0.00963553 -0.08988197 -0.03245946  0.03263643
 -0.11362835  0.0470459   0.02855647  0.04066358 -0.01806925  0.11692254
 -0.02065343  0.0139585  -0.17264242 -0.1808604   0.0374919   0.062918
  0.11399109 -0.01540755  0.03806888  0.04920183  0.01627986 -0.0115324
 -0.10369197 -0.14789025 -0.09027352 -0.1464545   0.00027784  0.07876832
  0.02449134 -0.00523444  0.04348524  0.09154505 -0.09119876 -0.03683866
  0.00153726 -0.13994865  0.03433013  0.10445623  0.10700198 -0.04260441
 -0.09572122  0.0008602   0.18140513  0.03249936 -0.03541972 -0.03286316
  0.12338931  0.00843027  0.08142159 -0.070661   -0.08227941 -0.11169471
  0.08943041 -0.0605865  -0.18392507 -0.00112725 -0.10370778  0.07174922
  0.09574639 -0.04628118  0.01348539  0.03532412  0.0064707  -0.05765805
  0.03181905  0.05292729 -0.0525445  -0.01283402  0.07712414  0.01418237
  0.054891    0.11974446  0.07825999  0.00172277 -0.02045767  0.00668936
 -0.04822377 -0.03233625 -0.2000292   0.13050325  0.12960968  0.04869634
  0.01165541  0.07693827  0.0692415  -0.10970669  0.14552185  0.05073403
 -0.03712016  0.01542744]",1
https://openalex.org/W146920992,"[-0.11447846 -0.06122061  0.1209428  -0.11898632 -0.04612391  0.05400078
 -0.06905658 -0.00578326  0.00233246  0.02078858 -0.02755215  0.06424798
  0.06504085  0.18491166  0.00821796  0.11722008  0.20189853  0.00263925
 -0.10987878 -0.0409055   0.08187706  0.13362857 -0.0148534  -0.0480479
  0.14099059  0.02843935  0.03160377  0.02721694  0.05013071 -0.02042598
  0.04391128 -0.05311765  0.17047986  0.05861188  0.06399503 -0.05680397
  0.05354519  0.08019294 -0.03147188 -0.08544738  0.00629745  0.03521844
 -0.15236499  0.04598319  0.05211929  0.04268268  0.0029335   0.06721633
 -0.00681176 -0.00497111 -0.12879253 -0.20836925  0.07772006  0.08401801
  0.14469462 -0.00233074  0.02530605  0.02793946  0.01866613  0.0198118
 -0.11863065 -0.17054665 -0.07258349 -0.1129485  -0.02609794  0.09081642
  0.03406922  0.02030954  0.01995084  0.10786289 -0.08644497 -0.01391567
 -0.03022656 -0.14448695  0.02572475  0.13010177  0.09840606 -0.05909627
 -0.13418878  0.00502077  0.22717016  0.02593671 -0.0159771  -0.0358515
  0.12620335 -0.02488903  0.05273377 -0.08147694 -0.07148063 -0.07946987
  0.06283089 -0.0619322  -0.17915976 -0.00771525 -0.09849015  0.0808361
  0.13833512 -0.04434706 -0.00083547  0.02045424  0.00621471 -0.0646461
  0.01979607  0.05818395 -0.07806848 -0.00698532  0.11687188  0.00810623
  0.03438001  0.1271795   0.09076385  0.00804093 -0.03910932 -0.00696206
 -0.06124859 -0.02431845 -0.23763894  0.13096934  0.11815509  0.08576898
  0.00518855  0.05720753  0.07468977 -0.11212686  0.17559862  0.08687877
 -0.02692731  0.01890162]",2
https://openalex.org/W1502476793,"[-0.11886387 -0.10489165  0.09516615 -0.14004405 -0.06017932  0.06507162
 -0.06846743 -0.0313727  -0.01795991  0.0095279  -0.00509133  0.06869753
  0.08734901  0.15744518  0.01012906  0.13513427  0.19189095  0.03861354
 -0.12398949 -0.02064178  0.06517574  0.10924691 -0.01283565 -0.00934202
  0.15052499  0.0048615   0.05174617  0.05150816  0.04406857 -0.05351252
  0.05985364 -0.04990318  0.14444251 -0.003495    0.0497621  -0.03569042
  0.01795377  0.04489485  0.01027522 -0.09137254 -0.03218797  0.03280202
 -0.11366967  0.05077799  0.02886129  0.03633181 -0.01701517  0.11634403
 -0.01776646  0.0131829  -0.17247547 -0.1815966   0.03514335  0.06195585
  0.12062091 -0.01452667  0.04150939  0.04932605  0.01762885 -0.00509559
 -0.10374566 -0.15113094 -0.09108332 -0.14905216  0.00339497  0.07596922
  0.0223404  -0.00901353  0.04469868  0.08916524 -0.08853917 -0.03536724
  0.00392559 -0.13837055  0.03463984  0.10203989  0.10491137 -0.04243252
 -0.09457754  0.00377372  0.17646987  0.03600281 -0.04221288 -0.02953686
  0.12122111  0.00408769  0.07999251 -0.06773707 -0.08452794 -0.10880529
  0.08618084 -0.06294119 -0.18512109  0.00037227 -0.10498235  0.07088674
  0.09351864 -0.0522818   0.01371191  0.03663113  0.00491133 -0.05498534
  0.02975641  0.05579562 -0.04885493 -0.00980327  0.07276166  0.01563519
  0.05578622  0.12197384  0.08162653 -0.00301338 -0.01274172  0.0042539
 -0.05257527 -0.03266189 -0.198435    0.1309413   0.12780335  0.0470684
  0.01626061  0.07285341  0.06758709 -0.1094811   0.14594851  0.05387561
 -0.03463603  0.01609151]",1
https://openalex.org/W1504828284,"[-0.11782163 -0.10136306  0.0896124  -0.13835502 -0.06525072  0.07167554
 -0.06330113 -0.03248773 -0.02055169  0.01866197  0.00310808  0.06478505
  0.08405532  0.16117993  0.00549764  0.12983475  0.18912357  0.03344838
 -0.1314022  -0.02112291  0.05711037  0.11872613 -0.01446846 -0.0076343
  0.1526841   0.01016297  0.04637441  0.05130465  0.04280017 -0.05242177
  0.05548595 -0.05729995  0.14368125 -0.0021915   0.04829664 -0.04191443
  0.01775754  0.04018597  0.00849685 -0.08833442 -0.03227824  0.02576121
 -0.11653799  0.04640253  0.03525106  0.03083858 -0.0170429   0.11421531
 -0.02598105  0.01319332 -0.17234741 -0.18311357  0.03555805  0.06532476
  0.11853254 -0.01462168  0.04951147  0.04866568  0.01500535 -0.01358929
 -0.09902639 -0.15119521 -0.08985431 -0.15406003  0.00345921  0.07347429
  0.02846465 -0.00337601  0.03529271  0.08473789 -0.09173136 -0.03526153
 -0.00901729 -0.13761713  0.03117702  0.09944847  0.10710161 -0.04105215
 -0.09126328  0.00398728  0.17867135  0.03107868 -0.04142727 -0.03042422
  0.1247448   0.00616811  0.07913053 -0.05466413 -0.08320064 -0.10954044
  0.09393414 -0.06315405 -0.18774949 -0.0026107  -0.11032816  0.07567217
  0.09317121 -0.04539678  0.01636803  0.03500566  0.00404744 -0.05019362
  0.04071707  0.05364526 -0.05543278 -0.0054405   0.08020093  0.01495513
  0.05544422  0.11452744  0.07798854  0.00606104 -0.01504305  0.01143375
 -0.0550823  -0.04026097 -0.2007218   0.12148032  0.13680515  0.04600683
  0.00877313  0.07829254  0.06961413 -0.10999274  0.1447057   0.04893344
 -0.03930486  0.02175678]",1
https://openalex.org/W1504875321,"[-0.12313833 -0.09872438  0.09377921 -0.14182099 -0.05950385  0.06805555
 -0.06581332 -0.03160337 -0.01650546  0.00931869 -0.00362663  0.06601866
  0.0846414   0.15612577  0.00675933  0.1328452   0.1920774   0.03734726
 -0.12718527 -0.0200192   0.06285913  0.11237476 -0.01476121 -0.00880649
  0.15264794  0.00528885  0.04841714  0.04672689  0.04785139 -0.04905578
  0.05978042 -0.05685201  0.14907148  0.00398641  0.05314277 -0.03349292
  0.01858765  0.04289403  0.01234253 -0.08955008 -0.03382151  0.0338335
 -0.11433706  0.04788638  0.03056905  0.04233711 -0.01915478  0.11452256
 -0.02071768  0.0153786  -0.17212619 -0.17782714  0.04465631  0.06458498
  0.11514882 -0.01773168  0.04052646  0.05040485  0.02094827 -0.01137835
 -0.10251305 -0.15046653 -0.08900486 -0.1473242   0.00073651  0.07445493
  0.0191966  -0.00336933  0.04498424  0.09421606 -0.08843167 -0.03984197
  0.00040219 -0.13843855  0.03256052  0.10678606  0.10206427 -0.04239105
 -0.09423826  0.00235994  0.17722152  0.03120854 -0.03571803 -0.03372281
  0.12356816  0.00864529  0.08112583 -0.06634407 -0.08028819 -0.11399519
  0.0874827  -0.06211272 -0.18064722 -0.0023653  -0.10329304  0.07206039
  0.09770476 -0.05034892  0.01343386  0.03929005  0.00545527 -0.05813857
  0.0324279   0.05449547 -0.04922321 -0.00778021  0.08063093  0.01436961
  0.05516674  0.12337928  0.08241144  0.00113578 -0.01548107  0.00533558
 -0.05342418 -0.03348188 -0.19990437  0.13066264  0.13060044  0.04708893
  0.01331745  0.07583532  0.07052058 -0.11229625  0.14738348  0.0493765
 -0.03507047  0.01751773]",1
https://openalex.org/W1510224607,"[-0.11539572 -0.06307292  0.12087735 -0.11930695 -0.04776867  0.05634528
 -0.06721945 -0.0058436  -0.00070367  0.02096417 -0.02406929  0.06327231
  0.06545484  0.1865801   0.00622816  0.11499519  0.20373598  0.00487837
 -0.11517794 -0.04094756  0.08241329  0.13320607 -0.0143585  -0.04772145
  0.14046357  0.02919402  0.03430519  0.02989537  0.04702779 -0.0231778
  0.0439986  -0.0529962   0.17049262  0.0569175   0.06131703 -0.06072207
  0.05107259  0.07751751 -0.03284156 -0.08563213  0.0058165   0.032107
 -0.15244752  0.04722058  0.05453901  0.03750246  0.00259542  0.06621487
 -0.00811968 -0.00640665 -0.12802511 -0.21152627  0.07452593  0.08430796
  0.14648629 -0.00092566  0.03021133  0.02794813  0.01682896  0.01981249
 -0.11669708 -0.17165679 -0.07350018 -0.11560647 -0.02445987  0.08949922
  0.03521128  0.02043039  0.01700378  0.1031117  -0.08777527 -0.01335823
 -0.03396042 -0.14401276  0.02496772  0.12799006  0.09826961 -0.06060712
 -0.13197468  0.00696512  0.22538568  0.0248535  -0.01875406 -0.03367223
  0.12539758 -0.02616196  0.05186588 -0.07477109 -0.07264983 -0.07708154
  0.06380821 -0.06296326 -0.18092169 -0.00791546 -0.10060348  0.08303011
  0.13693103 -0.04395139  0.00058823  0.02054397  0.00776263 -0.06240293
  0.02375853  0.05856648 -0.07997945 -0.00513554  0.1176332   0.00767775
  0.03593507  0.12477791  0.09099376  0.00911788 -0.03707464 -0.00688658
 -0.06550824 -0.0268467  -0.23878686  0.12785492  0.11991311  0.08307239
  0.00420759  0.05825105  0.07481229 -0.11163037  0.17548432  0.08627185
 -0.02699112  0.02104613]",2
https://openalex.org/W1515121029,"[-0.1225014  -0.09648787  0.09465159 -0.13476896 -0.06795829  0.06604512
 -0.05330648 -0.03504906 -0.01519731  0.00832604  0.00324898  0.05977148
  0.08273716  0.16024849  0.00709354  0.11945119  0.19951456  0.03145382
 -0.12459038 -0.00734499  0.0646471   0.11032393 -0.00736566 -0.00949363
  0.16483327 -0.00276197  0.05258269  0.05932457  0.04171138 -0.05088715
  0.04948729 -0.05103209  0.14919493 -0.0116149   0.05760065 -0.03752973
  0.01397576  0.03188071  0.00292623 -0.09365887 -0.02106359  0.03202441
 -0.12469736  0.04347221  0.01491621  0.03981153 -0.01067738  0.10804827
 -0.02711258  0.01749544 -0.16876722 -0.18288859  0.04849231  0.07738912
  0.11663396  0.00697076  0.04995998  0.04531925  0.01255103 -0.01946989
 -0.09775428 -0.14074328 -0.08985352 -0.14739507 -0.00305427  0.07026758
  0.02302331  0.00211057  0.05167835  0.08886051 -0.09141124 -0.03328181
 -0.01086481 -0.13058299  0.02224931  0.09970525  0.09603264 -0.04388401
 -0.08021337  0.01188209  0.18117247  0.03076129 -0.04807435 -0.03548871
  0.13455755  0.00418474  0.07828081 -0.05470168 -0.08297946 -0.09813023
  0.08889522 -0.0649145  -0.18846586 -0.00704506 -0.10608676  0.07362211
  0.09386643 -0.04204124  0.00897327  0.03535274  0.01593671 -0.06118689
  0.03192065  0.06340517 -0.05734317 -0.009785    0.08430045  0.01548142
  0.05600844  0.12238804  0.07379377  0.00462024 -0.01241097  0.00700823
 -0.05988272 -0.03401794 -0.20886598  0.12340881  0.13178108  0.05692063
  0.00589782  0.08221648  0.07745244 -0.10174794  0.15089305  0.05094277
 -0.03243198  0.00965568]",1
https://openalex.org/W1521709394,"[-1.18506457e-01 -1.00404742e-01  9.36365366e-02 -1.40706240e-01
 -6.05945006e-02  6.59595502e-02 -6.64321776e-02 -3.16001154e-02
 -1.70463819e-02  1.78694837e-02 -4.74090502e-03  6.81627974e-02
  8.48024141e-02  1.63621065e-01  9.73738488e-03  1.33069642e-01
  1.90247598e-01  3.30565661e-02 -1.23390595e-01 -2.39012323e-02
  5.93596753e-02  1.16457423e-01 -1.55341726e-02 -6.37667775e-03
  1.52032445e-01  6.66289348e-03  4.29466970e-02  4.82949518e-02
  4.66572188e-02 -4.85054389e-02  5.67426585e-02 -5.46039708e-02
  1.42697731e-01 -1.12572759e-03  5.14570080e-02 -3.36243764e-02
  1.93277776e-02  4.81306076e-02  9.86932367e-03 -8.72026153e-02
 -3.21366418e-02  3.13671161e-02 -1.14215454e-01  4.70018029e-02
  3.05036860e-02  3.92124336e-02 -1.75598837e-02  1.16760378e-01
 -2.15822294e-02  1.38378814e-02 -1.70897076e-01 -1.81903474e-01
  3.64657179e-02  6.31769510e-02  1.16063126e-01 -1.73959635e-02
  3.89131382e-02  4.86858931e-02  1.61100071e-02 -1.25501581e-02
 -1.05017425e-01 -1.48984666e-01 -9.13469456e-02 -1.47892791e-01
  5.08765876e-04  7.77592115e-02  2.46933116e-02 -4.33755852e-03
  4.10513412e-02  9.14871771e-02 -9.16946247e-02 -3.50016389e-02
  1.71206892e-04 -1.39435868e-01  3.48144062e-02  1.04073649e-01
  1.07289323e-01 -4.03369244e-02 -9.42438975e-02  1.09315291e-03
  1.81489379e-01  3.16724241e-02 -3.60683803e-02 -3.22443001e-02
  1.23643152e-01  7.32889920e-03  7.86737077e-02 -6.84641339e-02
 -8.19421835e-02 -1.12064779e-01  9.07742742e-02 -6.05131183e-02
 -1.86273879e-01 -9.24180076e-04 -1.02757339e-01  7.29145143e-02
  9.49993640e-02 -4.62320896e-02  1.46103580e-02  3.52422804e-02
  6.71825372e-03 -5.57344889e-02  3.34987976e-02  5.14266334e-02
 -5.18246196e-02 -1.27337418e-02  7.91279826e-02  1.55524582e-02
  5.49512230e-02  1.19053279e-01  7.96906255e-02  3.49900406e-03
 -2.08120037e-02  7.13925883e-03 -4.77749974e-02 -3.40645399e-02
 -2.00087089e-01  1.29451051e-01  1.31289327e-01  4.89485353e-02
  1.01963893e-02  7.79871702e-02  6.92432382e-02 -1.10341039e-01
  1.46205968e-01  5.08083552e-02 -3.72443721e-02  1.64515462e-02]",1
