citing_cat,cited_cat,citation_count
Regression‐based Measures,Regression‐based Measures,1395
Rank‐based Measures,Regression‐based Measures,290
Regression‐based Measures,Transition Matrix / Probability Measures,278
Regression‐based Measures,Rank‐based Measures,259
Regression‐based Measures,Decomposition / Structural Approaches,210
Transition Matrix / Probability Measures,Regression‐based Measures,199
Decomposition / Structural Approaches,Regression‐based Measures,146
Absolute Mobility Measures,Regression‐based Measures,131
Others,Regression‐based Measures,119
Rank‐based Measures,Rank‐based Measures,98
Regression‐based Measures,Absolute Mobility Measures,75
Rank‐based Measures,Transition Matrix / Probability Measures,74
Decomposition / Structural Approaches,Decomposition / Structural Approaches,63
Regression‐based Measures,Others,63
Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,58
Non‐parametric Approaches,Regression‐based Measures,51
Absolute Mobility Measures,Rank‐based Measures,49
Transition Matrix / Probability Measures,Rank‐based Measures,45
Decomposition / Structural Approaches,Rank‐based Measures,45
Absolute Mobility Measures,Transition Matrix / Probability Measures,45
Rank‐based Measures,Decomposition / Structural Approaches,42
Absolute Mobility Measures,Absolute Mobility Measures,41
Decomposition / Structural Approaches,Transition Matrix / Probability Measures,41
Others,Transition Matrix / Probability Measures,39
Others,Rank‐based Measures,35
Transition Matrix / Probability Measures,Decomposition / Structural Approaches,29
Rank‐based Measures,Absolute Mobility Measures,29
Multigenerational Measures,Regression‐based Measures,28
Others,Decomposition / Structural Approaches,27
Rank‐based Measures,Others,24
Absolute Mobility Measures,Decomposition / Structural Approaches,22
Others,Absolute Mobility Measures,18
Non‐parametric Approaches,Transition Matrix / Probability Measures,18
Regression‐based Measures,Non‐parametric Approaches,17
Non‐parametric Approaches,Rank‐based Measures,16
Decomposition / Structural Approaches,Others,15
Others,Others,14
Absolute Mobility Measures,Others,14
Transition Matrix / Probability Measures,Others,12
Transition Matrix / Probability Measures,Absolute Mobility Measures,9
Multigenerational Measures,Rank‐based Measures,9
Multigenerational Measures,Transition Matrix / Probability Measures,7
Decomposition / Structural Approaches,Absolute Mobility Measures,6
Multigenerational Measures,Others,5
Non‐parametric Approaches,Decomposition / Structural Approaches,5
Rank‐based Measures,Non‐parametric Approaches,4
Multigenerational Measures,Decomposition / Structural Approaches,3
Others,Non‐parametric Approaches,3
Absolute Mobility Measures,Non‐parametric Approaches,3
Non‐parametric Approaches,Absolute Mobility Measures,3
Multigenerational Measures,Absolute Mobility Measures,2
Non‐parametric Approaches,Others,2
Regression‐based Measures,Multigenerational Measures,2
Transition Matrix / Probability Measures,Non‐parametric Approaches,2
Decomposition / Structural Approaches,Non‐parametric Approaches,2
Non‐parametric Approaches,Non‐parametric Approaches,2
Decomposition / Structural Approaches,Multigenerational Measures,1
