citing_year,cited_year,p1.cluster,p2.cluster,citation_count
2017,2014,4,7,4
2017,2009,4,2,1
1980,1977,2,6,1
1980,1979,2,0,1
2020,2017,7,4,1
2020,2014,7,7,5
2020,2013,7,2,1
2020,2018,7,3,1
2016,2014,5,7,1
2016,2013,5,2,1
2024,2017,4,4,4
2024,2021,4,4,3
2024,2016,4,2,3
2024,2014,4,3,3
2024,2005,4,2,3
2024,2014,4,7,6
2024,2014,4,5,2
2024,2019,4,7,3
2024,2020,4,7,2
2024,2016,4,4,1
2024,2022,4,4,3
2024,2023,4,4,3
2024,2024,4,4,4
2012,1995,0,0,1
2021,2017,4,4,2
2021,2020,4,4,1
2021,1979,4,0,3
2021,2014,4,7,3
2021,2013,4,2,5
2021,2018,4,2,1
2021,2020,4,5,1
2016,1992,2,3,1
2016,1979,2,0,7
2006,1980,5,2,1
2006,1998,5,2,1
2006,2003,5,2,1
2006,2002,5,2,3
2006,2005,5,2,2
2018,2014,3,7,3
2006,2005,2,2,2
2006,1992,2,3,1
2006,2002,2,2,4
2006,1998,2,3,1
2006,2000,2,7,1
2022,2017,4,4,4
2022,2018,4,1,1
2022,2014,4,7,7
2022,2013,4,2,4
2022,2018,4,6,3
2022,2019,4,3,1
2022,2019,4,5,2
2005,1984,5,0,1
2005,2002,5,2,1
2016,2006,1,5,1
2016,2013,1,0,1
2016,2009,1,2,2
2016,2002,1,2,2
2016,2005,1,2,2
2016,2014,1,7,3
2016,2013,1,2,3
2016,2005,1,0,1
2016,2011,1,2,2
2016,2012,1,0,1
2006,2000,6,7,1
2005,1990,2,2,1
2005,1979,2,0,2
2005,1998,2,3,1
2016,2015,6,6,1
2016,2010,6,2,1
2016,2011,6,6,1
2016,2013,6,4,1
2021,2018,6,2,1
2021,2020,6,0,1
2013,1980,4,2,1
2013,1990,4,2,1
2013,1979,4,0,1
2015,2013,6,4,2
2018,2017,1,4,1
2018,2011,1,6,1
2018,2014,1,2,2
2018,2014,1,7,4
2018,2013,1,2,3
2018,2017,1,3,1
2018,2016,6,6,2
2020,2017,4,4,5
2018,1979,1,0,3
2018,1996,1,0,2
2014,1979,3,0,2
2014,2011,3,2,4
2014,2007,3,2,4
2014,2002,3,2,3
2014,2013,3,2,3
2014,2009,3,2,3
2014,2012,3,2,3
2011,2008,5,2,1
2011,2010,5,2,1
2017,2016,6,6,1
2017,2015,6,6,1
2017,2014,6,7,2
2019,2018,5,6,4
2021,2017,2,4,5
2021,2016,2,1,1
2021,2020,2,4,1
2021,2013,2,2,5
2021,2009,2,2,6
2021,2015,2,2,3
2021,2019,2,5,2
2008,2006,2,5,2
2009,2000,6,5,1
2022,2017,2,4,1
2022,1995,2,0,1
2022,2017,2,6,1
2022,2018,2,1,1
2022,2016,2,3,2
2022,2010,2,2,5
2022,2015,2,6,2
2022,1979,2,0,4
2022,2014,2,2,5
2022,2014,2,7,9
2022,2013,2,2,5
2022,2014,2,1,1
2022,2016,2,1,2
2022,2011,2,2,3
2022,2011,2,5,1
2022,2018,2,6,2
2022,2019,2,2,5
2022,2020,2,2,2
2022,2019,2,3,1
2022,2019,2,5,3
2022,2020,2,4,1
2022,2019,2,7,2
2022,2021,2,0,1
2022,2022,2,0,1
2022,2018,2,2,1
2022,2020,2,6,1
2016,2014,3,1,1
2020,2018,4,1,4
2021,2006,1,3,1
2021,2013,1,5,1
2021,2018,1,2,1
2021,2009,1,2,2
2021,2019,1,2,3
2009,1979,2,0,2
2025,2019,1,5,1
2021,2014,2,2,8
2021,2002,2,2,6
2021,2005,2,2,10
2021,2014,2,7,12
2021,2012,2,2,4
2021,2007,0,2,2
2021,2014,0,2,1
2021,1979,0,0,2
2021,2014,0,6,1
2021,2013,0,2,2
2000,1995,5,0,1
2020,2006,2,5,2
2020,2003,2,2,1
2020,2014,2,7,6
2020,2013,2,2,6
2020,2018,2,2,4
2020,2019,2,2,7
2020,1999,2,2,2
2020,2016,2,4,1
2022,2016,6,6,1
2022,2018,6,1,1
2022,2011,6,6,2
2022,2014,6,3,2
2021,2020,6,4,1
2020,2000,4,7,1
2020,2014,4,5,2
