citing_year,cited_year,p1.cluster,p2.cluster,citation_count
1980,1977,2,6,1
1981,1979,0,6,1
1982,1978,0,7,1
1990,1980,2,2,1
1992,1980,3,2,1
1995,1979,5,0,1
1997,1995,0,0,1
1998,1980,2,2,1
1999,1980,2,2,1
2000,1995,5,0,1
2001,1996,0,0,1
2002,1979,2,0,3
2003,2002,2,2,2
2005,2002,1,2,4
2006,2002,2,2,4
2007,2002,2,2,8
2008,2002,2,2,4
2009,2005,2,2,5
2010,2005,2,2,5
2011,2007,2,2,9
2012,2007,2,2,6
2013,2005,2,2,10
2014,2002,2,2,6
2015,2005,2,2,9
2016,2007,2,2,11
2017,2005,2,2,6
2018,2014,2,7,13
2019,2014,2,7,14
2020,2005,2,2,8
2021,2014,2,7,12
2022,2014,2,7,9
2023,2014,2,7,10
2024,2014,1,7,11
2025,2014,7,7,3
