cited_year,p2.category_1,citation_count
1969,Transition Matrix / Probability Measures,1
1977,Decomposition / Structural Approaches,1
1978,Others,1
1979,Decomposition / Structural Approaches,166
1979,Regression‐based Measures,7
1980,Regression‐based Measures,27
1984,Decomposition / Structural Approaches,8
1986,Absolute Mobility Measures,3
1990,Regression‐based Measures,20
1991,Decomposition / Structural Approaches,1
1992,Regression‐based Measures,25
1995,Decomposition / Structural Approaches,21
1996,Others,12
1997,Others,1
1998,Regression‐based Measures,12
1998,Others,8
1998,Transition Matrix / Probability Measures,1
1999,Regression‐based Measures,69
2000,Regression‐based Measures,32
2000,Others,6
2000,Decomposition / Structural Approaches,2
2002,Regression‐based Measures,188
2002,Others,10
2002,Non‐parametric Approaches,6
2003,Regression‐based Measures,18
2003,Transition Matrix / Probability Measures,2
2004,Regression‐based Measures,2
2005,Regression‐based Measures,199
2005,Decomposition / Structural Approaches,12
2005,Transition Matrix / Probability Measures,9
2006,Regression‐based Measures,83
2006,Decomposition / Structural Approaches,16
2006,Transition Matrix / Probability Measures,7
2007,Regression‐based Measures,102
2007,Others,5
2008,Regression‐based Measures,36
2008,Rank‐based Measures,2
2008,Multigenerational Measures,1
2009,Regression‐based Measures,135
2009,Transition Matrix / Probability Measures,2
2009,Others,1
2010,Regression‐based Measures,34
2010,Decomposition / Structural Approaches,23
2010,Rank‐based Measures,1
2011,Regression‐based Measures,128
2011,Transition Matrix / Probability Measures,44
2011,Rank‐based Measures,10
2012,Regression‐based Measures,70
2012,Absolute Mobility Measures,4
2012,Others,4
2013,Regression‐based Measures,181
2013,Decomposition / Structural Approaches,26
2013,Absolute Mobility Measures,8
2014,Rank‐based Measures,276
2014,Regression‐based Measures,140
2014,Transition Matrix / Probability Measures,10
2015,Regression‐based Measures,60
2015,Non‐parametric Approaches,6
2015,Decomposition / Structural Approaches,5
2016,Regression‐based Measures,110
2016,Others,33
2016,Absolute Mobility Measures,9
2017,Absolute Mobility Measures,56
2017,Regression‐based Measures,53
2017,Non‐parametric Approaches,10
2018,Regression‐based Measures,111
2018,Rank‐based Measures,24
2018,Decomposition / Structural Approaches,6
2019,Regression‐based Measures,88
2019,Transition Matrix / Probability Measures,35
2019,Others,15
2020,Regression‐based Measures,40
2020,Absolute Mobility Measures,19
2020,Decomposition / Structural Approaches,11
2021,Regression‐based Measures,23
2021,Absolute Mobility Measures,6
2021,Decomposition / Structural Approaches,5
2022,Absolute Mobility Measures,21
2022,Rank‐based Measures,17
2022,Regression‐based Measures,10
2023,Rank‐based Measures,13
2023,Regression‐based Measures,5
2023,Transition Matrix / Probability Measures,4
2024,Regression‐based Measures,10
2024,Absolute Mobility Measures,4
2024,Multigenerational Measures,2
