cited_year,p2.category_1,citation_count,percentage
1969,Transition Matrix / Probability Measures,1,1.0
1977,Decomposition / Structural Approaches,1,1.0
1978,Others,1,1.0
1979,Decomposition / Structural Approaches,166,0.9595375722543352
1979,Regression‐based Measures,7,0.04046242774566474
1980,Regression‐based Measures,27,1.0
1984,Decomposition / Structural Approaches,8,1.0
1986,Absolute Mobility Measures,3,1.0
1990,Regression‐based Measures,20,1.0
1991,Decomposition / Structural Approaches,1,1.0
1992,Regression‐based Measures,25,1.0
1995,Decomposition / Structural Approaches,21,1.0
1996,Others,12,1.0
1997,Others,1,1.0
1998,Regression‐based Measures,12,0.5714285714285714
1998,Others,8,0.38095238095238093
1998,Transition Matrix / Probability Measures,1,0.047619047619047616
1999,Regression‐based Measures,69,1.0
2000,Regression‐based Measures,32,0.8
2000,Others,6,0.15
2000,Decomposition / Structural Approaches,2,0.05
2002,Regression‐based Measures,188,0.912621359223301
2002,Others,10,0.04854368932038835
2002,Non‐parametric Approaches,6,0.02912621359223301
2003,Regression‐based Measures,18,0.9
2003,Transition Matrix / Probability Measures,2,0.1
2004,Regression‐based Measures,2,1.0
2005,Regression‐based Measures,199,0.9045454545454545
2005,Decomposition / Structural Approaches,12,0.05454545454545454
2005,Transition Matrix / Probability Measures,9,0.04090909090909091
2006,Regression‐based Measures,83,0.7685185185185185
2006,Decomposition / Structural Approaches,16,0.14814814814814814
2006,Transition Matrix / Probability Measures,7,0.06481481481481481
2007,Regression‐based Measures,102,0.9532710280373832
2007,Others,5,0.04672897196261682
2008,Regression‐based Measures,36,0.9230769230769231
2008,Rank‐based Measures,2,0.05128205128205128
2008,Multigenerational Measures,1,0.02564102564102564
2009,Regression‐based Measures,135,0.9782608695652174
2009,Transition Matrix / Probability Measures,2,0.014492753623188406
2009,Others,1,0.007246376811594203
2010,Regression‐based Measures,34,0.5862068965517241
2010,Decomposition / Structural Approaches,23,0.39655172413793105
2010,Rank‐based Measures,1,0.017241379310344827
2011,Regression‐based Measures,128,0.6844919786096256
2011,Transition Matrix / Probability Measures,44,0.23529411764705882
2011,Rank‐based Measures,10,0.053475935828877004
2012,Regression‐based Measures,70,0.8860759493670886
2012,Absolute Mobility Measures,4,0.05063291139240506
2012,Others,4,0.05063291139240506
2013,Regression‐based Measures,181,0.7973568281938326
2013,Decomposition / Structural Approaches,26,0.1145374449339207
2013,Absolute Mobility Measures,8,0.03524229074889868
2014,Rank‐based Measures,276,0.6344827586206897
2014,Regression‐based Measures,140,0.3218390804597701
2014,Transition Matrix / Probability Measures,10,0.022988505747126436
2015,Regression‐based Measures,60,0.821917808219178
2015,Non‐parametric Approaches,6,0.0821917808219178
2015,Decomposition / Structural Approaches,5,0.0684931506849315
2016,Regression‐based Measures,110,0.7051282051282052
2016,Others,33,0.21153846153846154
2016,Absolute Mobility Measures,9,0.057692307692307696
2017,Absolute Mobility Measures,56,0.4628099173553719
2017,Regression‐based Measures,53,0.4380165289256198
2017,Non‐parametric Approaches,10,0.08264462809917356
2018,Regression‐based Measures,111,0.7708333333333334
2018,Rank‐based Measures,24,0.16666666666666666
2018,Decomposition / Structural Approaches,6,0.041666666666666664
2019,Regression‐based Measures,88,0.5398773006134969
2019,Transition Matrix / Probability Measures,35,0.2147239263803681
2019,Others,15,0.09202453987730061
2020,Regression‐based Measures,40,0.46511627906976744
2020,Absolute Mobility Measures,19,0.22093023255813954
2020,Decomposition / Structural Approaches,11,0.12790697674418605
2021,Regression‐based Measures,23,0.5476190476190477
2021,Absolute Mobility Measures,6,0.14285714285714285
2021,Decomposition / Structural Approaches,5,0.11904761904761904
2022,Absolute Mobility Measures,21,0.3888888888888889
2022,Rank‐based Measures,17,0.3148148148148148
2022,Regression‐based Measures,10,0.18518518518518517
2023,Rank‐based Measures,13,0.5909090909090909
2023,Regression‐based Measures,5,0.22727272727272727
2023,Transition Matrix / Probability Measures,4,0.18181818181818182
2024,Regression‐based Measures,10,0.5882352941176471
2024,Absolute Mobility Measures,4,0.23529411764705882
2024,Multigenerational Measures,2,0.11764705882352941
