year,category_1,count
2025,Transition Matrix / Probability Measures,1
2025,Regression‐based Measures,3
2025,Rank‐based Measures,3
2025,Absolute Mobility Measures,1
2025,Decomposition / Structural Approaches,1
2024,Absolute Mobility Measures,3
2024,Rank‐based Measures,5
2024,Regression‐based Measures,32
2024,Decomposition / Structural Approaches,6
2024,Transition Matrix / Probability Measures,3
2024,Others,9
2024,Multigenerational Measures,2
2023,Rank‐based Measures,11
2023,Transition Matrix / Probability Measures,3
2023,Others,7
2023,Absolute Mobility Measures,2
2023,Decomposition / Structural Approaches,4
2023,Multigenerational Measures,1
2023,Regression‐based Measures,32
2023,Non‐parametric Approaches,1
2022,Decomposition / Structural Approaches,11
2022,Others,1
2022,Regression‐based Measures,29
2022,Transition Matrix / Probability Measures,7
2022,Rank‐based Measures,7
2022,Absolute Mobility Measures,9
2022,Multigenerational Measures,1
2021,Decomposition / Structural Approaches,10
2021,Others,4
2021,Absolute Mobility Measures,5
2021,Rank‐based Measures,6
2021,Non‐parametric Approaches,1
2021,Regression‐based Measures,29
2021,Transition Matrix / Probability Measures,5
2021,Multigenerational Measures,1
2020,Others,9
2020,Transition Matrix / Probability Measures,3
2020,Non‐parametric Approaches,1
2020,Decomposition / Structural Approaches,11
2020,Regression‐based Measures,18
2020,Rank‐based Measures,4
2020,Absolute Mobility Measures,6
2019,Absolute Mobility Measures,2
2019,Rank‐based Measures,3
2019,Regression‐based Measures,34
2019,Decomposition / Structural Approaches,8
2019,Others,8
2019,Transition Matrix / Probability Measures,8
2019,Non‐parametric Approaches,1
2018,Absolute Mobility Measures,4
2018,Rank‐based Measures,3
2018,Multigenerational Measures,1
2018,Regression‐based Measures,36
2018,Transition Matrix / Probability Measures,4
2018,Decomposition / Structural Approaches,7
2018,Others,5
2017,Absolute Mobility Measures,4
2017,Multigenerational Measures,3
2017,Regression‐based Measures,18
2017,Others,1
2017,Non‐parametric Approaches,2
2017,Decomposition / Structural Approaches,3
2016,Multigenerational Measures,1
2016,Rank‐based Measures,1
2016,Others,7
2016,Absolute Mobility Measures,2
2016,Decomposition / Structural Approaches,7
2016,Regression‐based Measures,33
2016,Transition Matrix / Probability Measures,4
2015,Absolute Mobility Measures,1
2015,Transition Matrix / Probability Measures,1
2015,Others,5
2015,Regression‐based Measures,24
2015,Non‐parametric Approaches,1
2015,Decomposition / Structural Approaches,9
2014,Others,3
2014,Regression‐based Measures,32
2014,Multigenerational Measures,1
2014,Absolute Mobility Measures,2
2014,Decomposition / Structural Approaches,2
2014,Rank‐based Measures,2
2014,Transition Matrix / Probability Measures,2
2014,Non‐parametric Approaches,2
2013,Absolute Mobility Measures,1
2013,Others,3
2013,Regression‐based Measures,20
2013,Transition Matrix / Probability Measures,6
2013,Decomposition / Structural Approaches,7
2012,Others,4
2012,Decomposition / Structural Approaches,5
2012,Absolute Mobility Measures,2
