period,category_1,count
1960s,Absolute Mobility Measures,1
1960s,Decomposition / Structural Approaches,0
1960s,Multigenerational Measures,0
1960s,Non‐parametric Approaches,0
1960s,Others,0
1960s,Rank‐based Measures,0
1960s,Regression‐based Measures,0
1960s,Transition Matrix / Probability Measures,2
1970s,Absolute Mobility Measures,2
1970s,Decomposition / Structural Approaches,6
1970s,Multigenerational Measures,0
1970s,Non‐parametric Approaches,0
1970s,Others,1
1970s,Rank‐based Measures,1
1970s,Regression‐based Measures,2
1970s,Transition Matrix / Probability Measures,1
1980s,Absolute Mobility Measures,3
1980s,Decomposition / Structural Approaches,2
1980s,Multigenerational Measures,0
1980s,Non‐parametric Approaches,0
1980s,Others,2
1980s,Rank‐based Measures,0
1980s,Regression‐based Measures,4
1980s,Transition Matrix / Probability Measures,0
1990s,Absolute Mobility Measures,0
1990s,Decomposition / Structural Approaches,5
1990s,Multigenerational Measures,0
1990s,Non‐parametric Approaches,0
1990s,Others,6
1990s,Rank‐based Measures,0
1990s,Regression‐based Measures,8
1990s,Transition Matrix / Probability Measures,4
2000s,Absolute Mobility Measures,3
2000s,Decomposition / Structural Approaches,10
2000s,Multigenerational Measures,2
2000s,Non‐parametric Approaches,3
2000s,Others,15
2000s,Rank‐based Measures,1
2000s,Regression‐based Measures,60
2000s,Transition Matrix / Probability Measures,13
2010s,Absolute Mobility Measures,19
2010s,Decomposition / Structural Approaches,53
2010s,Multigenerational Measures,7
2010s,Non‐parametric Approaches,7
2010s,Others,45
2010s,Rank‐based Measures,13
2010s,Regression‐based Measures,248
2010s,Transition Matrix / Probability Measures,31
2020s,Absolute Mobility Measures,26
2020s,Decomposition / Structural Approaches,43
2020s,Multigenerational Measures,5
2020s,Non‐parametric Approaches,3
2020s,Others,30
2020s,Rank‐based Measures,36
2020s,Regression‐based Measures,143
2020s,Transition Matrix / Probability Measures,22
