citing_year,cited_year,citing_cat,cited_cat,counts
1980,1979,Regression‐based Measures,Decomposition / Structural Approaches,1
1981,1979,Decomposition / Structural Approaches,Regression‐based Measures,1
1990,1980,Regression‐based Measures,Regression‐based Measures,1
1992,1980,Regression‐based Measures,Regression‐based Measures,1
1992,1979,Regression‐based Measures,Regression‐based Measures,1
1992,1979,Regression‐based Measures,Decomposition / Structural Approaches,1
1995,1979,Transition Matrix / Probability Measures,Decomposition / Structural Approaches,1
1997,1979,Others,Decomposition / Structural Approaches,1
1998,1980,Regression‐based Measures,Regression‐based Measures,1
1998,1992,Regression‐based Measures,Regression‐based Measures,1
1998,1990,Regression‐based Measures,Regression‐based Measures,1
1998,1979,Regression‐based Measures,Decomposition / Structural Approaches,2
1998,1980,Transition Matrix / Probability Measures,Regression‐based Measures,1
1998,1992,Transition Matrix / Probability Measures,Regression‐based Measures,1
1998,1990,Transition Matrix / Probability Measures,Regression‐based Measures,1
1998,1979,Transition Matrix / Probability Measures,Decomposition / Structural Approaches,1
1998,1998,Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,1
1998,1992,Others,Regression‐based Measures,1
1999,1980,Regression‐based Measures,Regression‐based Measures,1
1999,1992,Regression‐based Measures,Regression‐based Measures,1
1999,1990,Regression‐based Measures,Regression‐based Measures,1
2000,2000,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2000,1980,Regression‐based Measures,Regression‐based Measures,1
2000,1992,Regression‐based Measures,Regression‐based Measures,1
2002,1990,Non‐parametric Approaches,Regression‐based Measures,1
2002,1979,Non‐parametric Approaches,Decomposition / Structural Approaches,1
2002,1992,Regression‐based Measures,Regression‐based Measures,2
2002,1979,Regression‐based Measures,Decomposition / Structural Approaches,2
2002,2000,Regression‐based Measures,Regression‐based Measures,1
2002,2002,Regression‐based Measures,Regression‐based Measures,2
2002,1999,Regression‐based Measures,Regression‐based Measures,2
2003,2000,Transition Matrix / Probability Measures,Regression‐based Measures,1
2003,2002,Regression‐based Measures,Regression‐based Measures,2
2003,2000,Regression‐based Measures,Regression‐based Measures,1
2005,2002,Transition Matrix / Probability Measures,Regression‐based Measures,4
2005,1990,Regression‐based Measures,Regression‐based Measures,1
2005,1979,Regression‐based Measures,Decomposition / Structural Approaches,2
2005,1998,Regression‐based Measures,Others,1
2005,1980,Transition Matrix / Probability Measures,Regression‐based Measures,1
2005,1992,Transition Matrix / Probability Measures,Regression‐based Measures,1
2005,1990,Transition Matrix / Probability Measures,Regression‐based Measures,1
2005,2000,Transition Matrix / Probability Measures,Regression‐based Measures,1
2005,2003,Transition Matrix / Probability Measures,Regression‐based Measures,1
2005,1999,Transition Matrix / Probability Measures,Regression‐based Measures,1
2005,1998,Transition Matrix / Probability Measures,Regression‐based Measures,1
2005,1992,Regression‐based Measures,Regression‐based Measures,2
2005,2002,Regression‐based Measures,Regression‐based Measures,3
2005,1999,Regression‐based Measures,Regression‐based Measures,1
2005,2005,Regression‐based Measures,Regression‐based Measures,1
2005,1979,Decomposition / Structural Approaches,Decomposition / Structural Approaches,1
2006,1980,Regression‐based Measures,Regression‐based Measures,1
2006,1998,Regression‐based Measures,Regression‐based Measures,1
2006,2003,Regression‐based Measures,Regression‐based Measures,1
2006,2002,Regression‐based Measures,Regression‐based Measures,7
2006,2005,Regression‐based Measures,Regression‐based Measures,4
2006,1992,Regression‐based Measures,Regression‐based Measures,1
2006,1998,Regression‐based Measures,Others,1
2006,1990,Regression‐based Measures,Regression‐based Measures,1
2006,1999,Regression‐based Measures,Regression‐based Measures,3
2006,2006,Regression‐based Measures,Regression‐based Measures,1
2006,1979,Regression‐based Measures,Decomposition / Structural Approaches,2
2006,1979,Regression‐based Measures,Regression‐based Measures,1
2006,1979,Transition Matrix / Probability Measures,Decomposition / Structural Approaches,2
2006,2005,Transition Matrix / Probability Measures,Regression‐based Measures,1
2006,1992,Transition Matrix / Probability Measures,Regression‐based Measures,1
2006,2002,Transition Matrix / Probability Measures,Regression‐based Measures,1
