p1.category_1,p2.category_1,counts
Regression‐based Measures,Regression‐based Measures,531
Others,Regression‐based Measures,60
Transition Matrix / Probability Measures,Regression‐based Measures,25
Absolute Mobility Measures,Regression‐based Measures,38
Absolute Mobility Measures,Absolute Mobility Measures,13
Rank‐based Measures,Absolute Mobility Measures,9
Regression‐based Measures,Absolute Mobility Measures,19
Rank‐based Measures,Regression‐based Measures,75
Non‐parametric Approaches,Regression‐based Measures,11
Decomposition / Structural Approaches,Regression‐based Measures,17
Regression‐based Measures,Transition Matrix / Probability Measures,33
Non‐parametric Approaches,Others,2
Others,Others,3
Transition Matrix / Probability Measures,Absolute Mobility Measures,1
Absolute Mobility Measures,Others,5
Others,Absolute Mobility Measures,2
Regression‐based Measures,Others,22
Regression‐based Measures,Decomposition / Structural Approaches,16
Rank‐based Measures,Rank‐based Measures,36
Others,Decomposition / Structural Approaches,3
Transition Matrix / Probability Measures,Rank‐based Measures,8
Regression‐based Measures,Rank‐based Measures,114
Absolute Mobility Measures,Rank‐based Measures,20
Others,Rank‐based Measures,17
Decomposition / Structural Approaches,Rank‐based Measures,12
Non‐parametric Approaches,Rank‐based Measures,2
Multigenerational Measures,Rank‐based Measures,2
Absolute Mobility Measures,Transition Matrix / Probability Measures,4
Decomposition / Structural Approaches,Decomposition / Structural Approaches,2
Transition Matrix / Probability Measures,Transition Matrix / Probability Measures,6
Rank‐based Measures,Transition Matrix / Probability Measures,6
Others,Transition Matrix / Probability Measures,9
Non‐parametric Approaches,Transition Matrix / Probability Measures,1
Decomposition / Structural Approaches,Transition Matrix / Probability Measures,1
Regression‐based Measures,Non‐parametric Approaches,4
Others,Non‐parametric Approaches,1
Rank‐based Measures,Others,15
Decomposition / Structural Approaches,Others,1
Rank‐based Measures,Decomposition / Structural Approaches,5
Absolute Mobility Measures,Decomposition / Structural Approaches,1
