year,measure,count
2022,Regression‐based Measures,17
2019,Regression‐based Measures,17
2016,Regression‐based Measures,15
2018,Regression‐based Measures,15
2021,Regression‐based Measures,14
2024,Regression‐based Measures,14
2015,Regression‐based Measures,13
2023,Regression‐based Measures,13
2014,Regression‐based Measures,12
2013,Regression‐based Measures,9
2020,Regression‐based Measures,8
2022,Absolute Mobility Measures,7
2017,Regression‐based Measures,7
2011,Regression‐based Measures,7
2023,Rank‐based Measures,7
2012,Regression‐based Measures,6
2013,Decomposition / Structural Approaches,6
2009,Regression‐based Measures,6
2022,Decomposition / Structural Approaches,6
2006,Regression‐based Measures,5
2015,Decomposition / Structural Approaches,5
2019,Others,5
2019,Decomposition / Structural Approaches,5
2020,Absolute Mobility Measures,4
2005,Regression‐based Measures,4
2020,Others,4
2008,Regression‐based Measures,4
2020,Decomposition / Structural Approaches,4
2022,Rank‐based Measures,4
2023,Decomposition / Structural Approaches,4
2024,Others,4
2024,Absolute Mobility Measures,3
2025,Regression‐based Measures,3
2015,Others,3
2010,Regression‐based Measures,3
2020,Rank‐based Measures,3
2025,Rank‐based Measures,3
2009,Transition Matrix / Probability Measures,2
2021,Absolute Mobility Measures,2
2016,Absolute Mobility Measures,2
2018,Rank‐based Measures,2
2021,Decomposition / Structural Approaches,2
2019,Transition Matrix / Probability Measures,2
2000,Decomposition / Structural Approaches,2
2003,Regression‐based Measures,2
1979,Decomposition / Structural Approaches,2
2014,Rank‐based Measures,2
2007,Regression‐based Measures,2
2002,Regression‐based Measures,2
2010,Decomposition / Structural Approaches,2
2016,Others,2
2017,Multigenerational Measures,2
2018,Decomposition / Structural Approaches,2
2018,Absolute Mobility Measures,2
2019,Rank‐based Measures,2
2021,Rank‐based Measures,2
1998,Regression‐based Measures,1
1980,Regression‐based Measures,1
2012,Others,1
2005,Transition Matrix / Probability Measures,1
2002,Others,1
2013,Others,1
2002,Absolute Mobility Measures,1
2014,Absolute Mobility Measures,1
2021,Non‐parametric Approaches,1
2011,Decomposition / Structural Approaches,1
2003,Transition Matrix / Probability Measures,1
2012,Absolute Mobility Measures,1
2007,Others,1
2015,Transition Matrix / Probability Measures,1
2012,Transition Matrix / Probability Measures,1
2010,Rank‐based Measures,1
1992,Regression‐based Measures,1
2013,Absolute Mobility Measures,1
1990,Regression‐based Measures,1
2010,Non‐parametric Approaches,1
2013,Transition Matrix / Probability Measures,1
1997,Others,1
2006,Transition Matrix / Probability Measures,1
1998,Others,1
2014,Decomposition / Structural Approaches,1
2005,Decomposition / Structural Approaches,1
2014,Others,1
2015,Non‐parametric Approaches,1
2017,Absolute Mobility Measures,1
2018,Transition Matrix / Probability Measures,1
2017,Decomposition / Structural Approaches,1
2019,Absolute Mobility Measures,1
2019,Non‐parametric Approaches,1
2012,Decomposition / Structural Approaches,1
1995,Decomposition / Structural Approaches,1
2008,Rank‐based Measures,1
2008,Others,1
2023,Absolute Mobility Measures,1
2020,Transition Matrix / Probability Measures,1
2021,Others,1
2022,Transition Matrix / Probability Measures,1
2022,Multigenerational Measures,1
2023,Others,1
2023,Transition Matrix / Probability Measures,1
2024,Rank‐based Measures,1
2024,Transition Matrix / Probability Measures,1
2024,Decomposition / Structural Approaches,1
2007,Decomposition / Structural Approaches,1
