year,RQ,counts
1976,4,1
1979,4,1
1979,7,2
1980,2,1
1981,4,1
1986,4,1
1990,2,1
1992,2,1
1995,4,1
1995,7,1
1996,4,2
1997,7,1
1998,2,1
1998,4,3
1998,1,1
1999,4,1
2000,3,1
2000,4,1
2000,7,1
2001,4,2
2002,1,1
2002,2,3
2002,4,2
2003,4,1
2003,2,2
2003,1,1
2004,4,3
2005,2,5
2005,4,1
2005,5,1
2005,7,1
2006,2,5
2006,6,1
2006,4,4
2006,5,1
2007,4,9
2007,1,1
2007,2,2
2007,7,1
2008,4,7
2008,2,6
2009,1,2
2009,4,6
2009,2,6
2010,4,7
2010,2,2
2010,1,2
2010,7,2
2010,3,1
2011,1,3
2011,2,5
2011,4,12
2011,5,4
2012,7,3
2012,2,5
2012,4,10
2012,1,1
2012,3,1
2012,8,1
2012,9,1
2013,2,11
2013,4,10
2013,1,1
2013,7,4
2013,5,1
2013,3,2
2014,3,5
2014,1,1
2014,4,16
2014,2,11
2014,5,1
2015,2,15
2015,4,8
2015,7,3
2015,8,1
2015,1,4
2015,3,1
2016,4,15
2016,2,7
2016,3,4
2016,1,8
2017,4,11
2017,2,6
2017,6,1
2017,3,3
2017,1,1
2018,2,13
2018,4,11
2018,3,4
2018,7,3
2018,5,1
2018,8,1
2018,1,2
2019,4,15
2019,2,21
2019,7,2
2019,3,5
2019,5,2
2019,6,2
2019,8,2
2019,1,3
2020,2,9
2020,3,3
2020,6,2
2020,8,1
2020,1,7
2020,4,13
2020,5,2
2020,7,3
2021,2,13
2021,4,20
2021,7,1
2021,6,1
2021,1,3
2021,5,2
2021,3,4
2022,2,20
2022,7,8
2022,8,1
2022,4,9
2022,3,3
2022,6,2
2022,5,2
2022,1,3
2023,4,15
2023,2,19
2023,1,6
2023,3,1
2023,6,1
2024,1,3
2024,4,16
2024,2,16
2024,3,4
2024,7,1
2024,5,1
2024,8,1
2025,2,3
2025,1,1
2025,3,2
