year,data_type,counts
1976,11,1
1979,2,1
1979,13,2
1980,13,1
1981,2,1
1986,14,1
1990,1,1
1992,1,1
1995,13,2
1996,1,1
1996,13,1
1997,13,1
1998,13,3
1998,6,1
1998,2,1
1999,6,1
2000,13,2
2000,2,1
2001,3,2
2002,13,2
2002,1,3
2002,6,1
2003,13,1
2003,1,2
2003,6,1
2004,1,1
2004,11,1
2004,13,1
2005,13,3
2005,1,3
2005,2,1
2005,3,1
2006,6,3
2006,13,2
2006,1,2
2006,2,1
2006,3,2
2006,11,1
2007,14,1
2007,1,3
2007,2,2
2007,3,3
2007,6,2
2007,13,2
2008,1,5
2008,13,1
2008,6,2
2008,3,2
2008,11,1
2008,2,1
2008,14,1
2009,1,7
2009,2,2
2009,13,3
2009,6,1
2009,3,1
2010,1,6
2010,3,2
2010,13,4
2010,14,1
2010,6,1
2011,1,8
2011,13,4
2011,2,4
2011,6,4
2011,11,2
2011,3,2
2012,13,4
2012,3,5
2012,1,10
2012,14,1
2012,6,2
2013,3,6
2013,13,7
2013,1,11
2013,14,2
2013,2,1
2013,6,2
2014,1,13
2014,13,5
2014,6,5
2014,3,5
2014,2,3
2014,11,2
2014,5,1
2015,3,6
2015,2,4
2015,1,9
2015,6,5
2015,13,7
2015,11,1
2016,1,10
2016,2,6
2016,3,3
2016,13,8
2016,6,3
2016,14,2
2016,11,2
2017,6,2
2017,2,1
2017,1,10
2017,13,3
2017,3,2
2017,11,3
2017,5,1
2018,1,7
2018,6,4
2018,2,7
2018,3,5
2018,11,3
2018,5,1
2018,13,8
2019,3,9
2019,13,8
2019,2,12
2019,6,8
2019,1,12
2019,11,1
2019,14,1
2019,5,1
2020,14,3
2020,6,5
2020,1,13
2020,13,8
2020,3,5
2020,2,5
2020,11,1
2021,6,10
2021,5,1
2021,3,7
2021,1,10
2021,13,6
2021,2,9
2021,14,1
2022,12,2
2022,13,12
2022,3,2
2022,6,6
2022,1,13
2022,2,9
2022,5,3
2022,14,1
2023,1,11
2023,3,3
2023,6,13
2023,14,2
2023,13,4
2023,2,9
2024,6,12
2024,11,3
2024,14,3
2024,13,3
2024,3,5
2024,1,9
2024,2,6
2024,5,1
2025,13,2
2025,2,1
2025,3,1
2025,12,1
2025,6,1
