Cluster,Measure,Counts
0,Multigenerational Measures,1
0,Absolute Mobility Measures,2
0,Others,2
0,Rank‐based Measures,4
0,Decomposition / Structural Approaches,8
0,Transition Matrix / Probability Measures,10
0,Regression‐based Measures,61
1,Non‐parametric Approaches,2
1,Multigenerational Measures,6
1,Rank‐based Measures,18
1,Others,18
1,Absolute Mobility Measures,21
1,Transition Matrix / Probability Measures,27
1,Decomposition / Structural Approaches,42
1,Regression‐based Measures,105
2,Rank‐based Measures,1
2,Multigenerational Measures,1
2,Non‐parametric Approaches,2
2,Decomposition / Structural Approaches,2
2,Others,2
2,Transition Matrix / Probability Measures,6
2,Regression‐based Measures,32
3,Decomposition / Structural Approaches,4
3,Transition Matrix / Probability Measures,4
3,Others,4
3,Absolute Mobility Measures,10
3,Rank‐based Measures,13
3,Regression‐based Measures,21
4,Non‐parametric Approaches,2
4,Absolute Mobility Measures,6
4,Others,6
4,Transition Matrix / Probability Measures,7
4,Decomposition / Structural Approaches,8
4,Rank‐based Measures,14
4,Regression‐based Measures,62
5,Multigenerational Measures,2
5,Non‐parametric Approaches,4
5,Absolute Mobility Measures,4
5,Others,6
5,Transition Matrix / Probability Measures,9
5,Rank‐based Measures,10
5,Decomposition / Structural Approaches,16
5,Regression‐based Measures,54
6,Non‐parametric Approaches,1
6,Multigenerational Measures,1
6,Others,2
6,Absolute Mobility Measures,6
6,Decomposition / Structural Approaches,8
6,Transition Matrix / Probability Measures,8
6,Rank‐based Measures,10
6,Regression‐based Measures,24
