category,ids
Measurement and Estimation,"['824', '836', '839', '850', '857', '858', '876', '877', '882', '907', '981', '930', '933', '936', '991', '1001', '1004']"
Role of Education,"['840', '853', '854', '910', '911', '980']"
Intergenerational Wealth Mobility,"['829', '837', '898', '900', '888', '917', '941', '951', '992']"
Spatial/Neighborhood Effects,"['883', '902', '920']"
Racial/Ethnic/Immigrant Differences,"['834', '873', '891', '914', '946']"
Policy Impacts on Mobility,"['842', '848', '863', '872', '875', '905', '940', '978', '982', '986', '997']"
Intergenerational Mobility and Health/Wellbeing,"['835', '860', '908', '913', '954', '957', '996']"
Gender and Family Structure Effects,"['859', '895', '911', '925', '1002', '989']"
Methodology / Sample Issues,"['862', '896']"
Multigenerational / Long-run Mobility,"['889', '928', '937', '938', '968', '1003']"
Entrepreneurship and Mobility,"['875', '903']"
Financial/Credit Effects,"['809', '812', '939', '945', '988']"
Intergenerational Mobility in Developing Countries,"['830', '832', '912', '916', '915', '935', '948', '966', '998']"
Intergenerational Mobility in Developed/Post-Soviet Countries,"['931', '944', '999', '993']"
Global Comparative Analysis,['972']
Intergenerational Mobility and Trust/Political Attitudes,['979']
Measurement Differences: Absolute vs Relative,"['962', '990']"
Intergenerational Mobility and Poverty,['965']
Housing and Mobility,"['918', '942']"
Literature/Theory/Review,"['825', '874', '879']"
Non-traditional Determinants,['826']
Intergenerational Mobility and Inequality,['984']
Others,[]
