id,predefined_category,matched_categories
0,cat_1. Measurement and Methodological Advances,['Measurement and Methodology']
0,cat_2. Empirical Estimates and Determinants,['Trends and Determinants of Income Mobility']
0,"cat_3. Policy, Institutional, and Geographic Impacts","['Policy and Institutional Effects', 'Spatial/Geographic Effects']"
0,cat_4. Intergenerational Wealth Mobility and Inheritance,"['Wealth Mobility', 'Multigenerational Mobility', 'Elite Mobility and Class Reproduction']"
0,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)",['Demographic and Individual Differences']
0,"cat_6. Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","['Educational Mobility', 'Effects on Other Outcomes']"
0,cat_9. Others,['Others']
1,cat_1. Measurement and Methodological Advances,['Measurement and Methodology']
1,cat_2. Empirical Estimates and Determinants,['Determinants and Mechanisms']
1,"cat_3. Policy, Institutional, and Geographic Impacts","['Policy and Institutional Impact', 'Place and Neighborhood Effects']"
1,cat_4. Intergenerational Wealth Mobility and Inheritance,['Historical/Multigenerational Studies']
1,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)","['Racial, Ethnic, and Gender Differences']"
1,"cat_6. Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",['Mobility and Health Outcomes']
1,cat_9. Others,['Others']
2,cat_1. Measurement and Methodological Advances,['Measurement and Methodology']
2,cat_2. Empirical Estimates and Determinants,"['Empirical Estimates and Trends', 'Determinants and Mechanisms']"
2,"cat_3. Policy, Institutional, and Geographic Impacts","['Policy and External Shocks', 'Spatial/Geographic Effects']"
2,cat_4. Intergenerational Wealth Mobility and Inheritance,['Historical and Multigenerational Studies']
2,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)","['Racial, Ethnic, and Immigrant Disparities']"
2,"cat_6. Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","['Social Outcomes (Health, Wellbeing, Crime, etc.)']"
2,cat_7. Theoretical and Structural Models,['Normative and Theoretical Critiques']
2,cat_9. Others,['Others']
3,cat_1. Measurement and Methodological Advances,['Methodology and Measurement Approaches']
3,cat_2. Empirical Estimates and Determinants,"['Intergenerational Income Mobility', 'Role of Education / Human Capital']"
3,"cat_3. Policy, Institutional, and Geographic Impacts","['Policy and Institutional Effects', 'Spatial / Geographic Effects']"
3,cat_4. Intergenerational Wealth Mobility and Inheritance,['Intergenerational Wealth Mobility']
3,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)",['Race/Ethnicity/Gender Effects']
3,cat_9. Others,['Others']
4,cat_1. Measurement and Methodological Advances,"['Measurement and Estimation', 'Methodology / Sample Issues', 'Measurement Differences: Absolute vs Relative']"
4,cat_2. Empirical Estimates and Determinants,"['Role of Education', 'Non-traditional Determinants', 'Entrepreneurship and Mobility', 'Financial/Credit Effects', 'Intergenerational Mobility and Inequality', 'Intergenerational Mobility and Poverty', 'Multigenerational / Long-run Mobility']"
4,"cat_3. Policy, Institutional, and Geographic Impacts","['Spatial/Neighborhood Effects', 'Policy Impacts on Mobility', 'Housing and Mobility', 'Intergenerational Mobility in Developing Countries', 'Intergenerational Mobility in Developed/Post-Soviet Countries', 'Global Comparative Analysis']"
4,cat_4. Intergenerational Wealth Mobility and Inheritance,['Intergenerational Wealth Mobility']
4,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)","['Racial/Ethnic/Immigrant Differences', 'Gender and Family Structure Effects']"
4,"cat_6. Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",['Intergenerational Mobility and Health/Wellbeing']
4,cat_7. Theoretical and Structural Models,['Literature/Theory/Review']
4,cat_8. Perceptions of Mobility and Attitudes,['Intergenerational Mobility and Trust/Political Attitudes']
4,cat_9. Others,['Others']
5,cat_1. Measurement and Methodological Advances,['Measurement and Methodology']
5,"cat_3. Policy, Institutional, and Geographic Impacts","['Policy and Institutional Effects', 'Spatial and Regional Effects', 'Cross‐Country Comparative Studies']"
5,cat_4. Intergenerational Wealth Mobility and Inheritance,['Wealth and Inheritance Transmission']
5,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)","['Race, Ethnicity and Gender Differences']"
5,"cat_6. Mobility and Non‐Income Outcomes (Health, Wellbeing, etc.)",['Effects on Non‐Income Outcomes']
5,cat_7. Theoretical and Structural Models,['Economic Shocks and Structural Changes']
5,cat_9. Others,['Others']
6,cat_1. Measurement and Methodological Advances,['Methodological and Measurement Approaches']
6,cat_2. Empirical Estimates and Determinants,['Empirical Estimation of Intergenerational Mobility and Determinants']
6,"cat_3. Policy, Institutional, and Geographic Impacts","['Policy and Institutional Effects on Mobility', 'Comparative and Cross-National Studies']"
6,cat_4. Intergenerational Wealth Mobility and Inheritance,['Intergenerational Wealth Mobility and Housing']
6,"cat_5. Demographic Differences in Mobility (Race, Gender, etc.)","['Mobility among Specific Groups (Race, Gender, Immigrants, Family Structure)']"
6,"cat_6. Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",['Intergenerational Mobility and Its Consequences on Other Outcomes']
6,cat_9. Others,['Others']
7,cat_1. Measurement and Methodological Advances,['Measurement & Methodology']
7,cat_2. Empirical Estimates and Determinants,"['Determinants and Family/Parental Factors', 'Role of Education & Human Capital', 'Occupational & Elite Mobility', 'Poverty and Disadvantaged Group Mobility']"
7,"cat_3. Policy, Institutional, and Geographic Impacts","['Public Policy, Fiscal & Welfare Effects', 'Geographic/Place Effects', 'Immigration/Migration Effects', 'International/Cross-Country Comparisons', 'Country-Specific Studies']"
