category,ids
Panel Survey Data,"['13', '27', '34', '53', '54', '55', '58', '70', '88', '89', '90', '102', '108', '113', '116', '134', '140', '142', '144', '146', '148', '150', '153', '163', '164', '173', '174', '177', '182', '183', '186', '187', '190', '209', '224', '261', '272', '277', '279', '280', '282', '288', '289', '293', '297', '301', '307', '310', '313', '317', '320', '321', '323', '325', '331', '337', '341', '344', '345', '347', '349', '351', '357', '359', '370', '371', '377', '379', '380', '381', '382', '385', '386', '389', '395', '397']"
Administrative/Registry/Tax Data,"['15', '16', '17', '40', '49', '51', '71', '72', '118', '165', '179', '180', '205', '217', '218', '228', '231', '262', '265', '270', '291', '295', '327', '335', '337', '340', '369', '387', '388', '395']"
Census Data,"['62', '124', '200', '219', '284', '343']"
Survey Data,"['28', '39', '69', '83', '152', '158', '171', '185', '188', '210']"
Facebook Data,"['19', '64', '129', '364']"
Historical/Archival Data,"['29', '41', '92', '93', '206', '377', '500']"
Mixed Methods Data,"['43', '106', '192']"
Pseudo-panel Data,"['214', '390', '392']"
No dataset,"['24', '36', '37', '44', '48', '52', '57', '61', '77', '80', '107', '157', '189', '201', '204', '232', '256', '257', '352', '361', '383']"
Others,[]
