id,predefined_category,matched_categories
0,cat_1. Panel/Longitudinal Surveys,['US Panel Survey Data']
0,cat_2. Administrative/Registry Data,"['US Administrative Data', 'European Register/Survey Data']"
0,cat_3. National Survey Data,['Chinese Surveys']
0,cat_7. International Panel Data,['Global/International Datasets']
0,cat_13. No dataset,['No dataset']
0,cat_14. Others,['Others']
1,cat_1. Panel/Longitudinal Surveys,['Survey/Panel Data']
1,cat_2. Administrative/Registry Data,['Administrative Data']
1,cat_3. National Survey Data,['Survey/Panel Data']
1,cat_5. Natural/Experimental Data,['Natural/Quasi‐Experimental Data']
1,cat_6. Linked Administrative Data,['Combined/Linked Datasets']
1,cat_11. Archival/Historical Data,['Historical/Archival Data']
1,cat_13. No dataset,['No dataset']
1,cat_14. Others,['Others']
2,cat_1. Panel/Longitudinal Surveys,['Longitudinal Panel Surveys']
2,cat_2. Administrative/Registry Data,['Administrative/Register Data']
2,cat_3. National Survey Data,['Survey Data']
2,cat_6. Linked Administrative Data,['Linked/Combined Data']
2,cat_8. Rich List Data,['Rich List Data']
2,cat_13. No dataset,['No dataset']
2,cat_14. Others,['Others']
3,cat_1. Panel/Longitudinal Surveys,['Panel Survey Data']
3,cat_2. Administrative/Registry Data,['Administrative / Census Data']
3,cat_8. Rich List Data,['Rich List Data']
3,cat_13. No dataset,['No dataset']
3,cat_14. Others,"['Qualitative / Mixed Methods', 'Others']"
4,cat_1. Panel/Longitudinal Surveys,['Panel Data / Longitudinal Surveys']
4,cat_2. Administrative/Registry Data,['Administrative / Census / Register Data']
4,cat_3. National Survey Data,['Survey Data (Cross‐sectional non‐panel)']
4,cat_13. No dataset,['No Dataset']
4,cat_14. Others,"['Qualitative / Interview Methods', 'Others']"
5,cat_1. Panel/Longitudinal Surveys,['Panel Survey Data']
5,cat_2. Administrative/Registry Data,['Administrative Data']
5,cat_3. National Survey Data,['National Household/Census Survey Data']
5,cat_4. Opportunity Atlas,['Social Mobility Project / Big Data']
5,cat_5. Natural/Experimental Data,['Natural Experiment Data']
5,cat_10. Pseudo-Panel/Household Budget Survey,['Pseudo-panel Data']
5,cat_12. Big Data,['Social Mobility Project / Big Data']
5,cat_13. No dataset,['No dataset']
5,cat_14. Others,"['Others', 'Qualitative / Interview Data']"
6,cat_1. Panel/Longitudinal Surveys,['Survey/Panel Data']
6,cat_2. Administrative/Registry Data,['Administrative/Census/Registry Data']
6,cat_3. National Survey Data,['Survey/Panel Data']
6,cat_6. Linked Administrative Data,['Administrative/Census/Registry Data']
6,cat_7. International Panel Data,['Survey/Panel Data']
6,cat_10. Pseudo-Panel/Household Budget Survey,['Survey/Panel Data']
6,cat_12. Big Data,['Big Data/Social Media']
6,cat_13. No dataset,['No dataset']
6,cat_14. Others,['Others']
7,Panel/Longitudinal Surveys,['National Longitudinal Surveys']
7,Administrative/Registry Data,['Administrative/Registry/Census Data']
7,National Survey Data,['Survey Data']
7,No dataset,['No dataset']
7,Others,['Others']
8,cat_1. Panel/Longitudinal Surveys,['Panel Survey Data']
8,cat_2. Administrative/Registry Data,['Administrative/Registry/Tax Data']
8,cat_3. National Survey Data,"['Census Data', 'Survey Data']"
8,cat_10. Pseudo-Panel/Household Budget Survey,['Pseudo-panel Data']
8,cat_11. Archival/Historical Data,['Historical/Archival Data']
8,cat_12. Big Data,['Facebook Data']
8,cat_13. No dataset,['No dataset']
8,cat_14. Others,['Others']
