id,predefined_category,matched_categories
0,cat_1. Regression‐based Measures,['Income Elasticity Measures']
0,cat_2. Rank‐based Measures,['Rank‐Based Measures']
0,cat_3. Transition Matrix / Probability Measures,['Transition Matrix Measures']
0,cat_6. Decomposition / Structural Approaches,['Structural/Decomposition Model Estimates']
0,cat_8. Others,['Others']
1,cat_1. Regression‐based Measures,['Intergenerational Income Elasticity']
1,cat_2. Rank‐based Measures,['Rank‐Based Measures']
1,cat_3. Transition Matrix / Probability Measures,['Transition Matrices']
1,cat_4. Absolute Mobility Measures,['Absolute Mobility Rates']
1,cat_8. Others,['Others']
2,cat_1. Regression‐based Measures,['Income Elasticity (IGE)']
2,cat_2. Rank‐based Measures,['Rank-based Measures']
2,cat_3. Transition Matrix / Probability Measures,['Transition Matrices/Probabilities']
2,cat_4. Absolute Mobility Measures,['Absolute Mobility Measures']
2,cat_6. Decomposition / Structural Approaches,['Structural/Lifetime Models']
2,cat_7. Non‐parametric Approaches,['Sibling Correlations']
2,cat_8. Others,['Others']
3,cat_1. Regression‐based Measures,['Income Elasticity Measures']
3,cat_2. Rank‐based Measures,['Rank‐Based Measures']
3,cat_3. Transition Matrix / Probability Measures,['Transition Matrix / Probability Measures']
3,cat_8. Others,['Others']
4,cat_1. Regression‐based Measures,['IGE']
4,cat_2. Rank‐based Measures,['RankBased']
4,cat_3. Transition Matrix / Probability Measures,['TransitionMatrix']
4,cat_4. Absolute Mobility Measures,['AbsoluteMobility']
4,cat_6. Decomposition / Structural Approaches,['StructuralModels']
4,cat_7. Non‐parametric Approaches,['NonparametricML']
4,cat_8. Others,['Others']
5,cat_1. Regression‐based Measures,['Income Elasticity Measures']
5,cat_2. Rank‐based Measures,['Rank‐Based Measures']
5,cat_3. Transition Matrix / Probability Measures,['Transition/Absolute Mobility Measures']
5,cat_4. Absolute Mobility Measures,['Transition/Absolute Mobility Measures']
5,cat_5. Multigenerational Measures,['Structural/Multigenerational Models']
5,cat_6. Decomposition / Structural Approaches,['Structural/Multigenerational Models']
5,cat_8. Others,['Others']
6,cat_1. Regression‐based Measures,['Intergenerational Income Elasticity (IGE) Measures']
6,cat_2. Rank‐based Measures,['Rank‐Based Measures']
6,cat_3. Transition Matrix / Probability Measures,['Transition Matrix / Probability Measures']
6,cat_4. Absolute Mobility Measures,['Absolute Mobility Measures']
6,cat_5. Multigenerational Measures,['Multigenerational Mobility Measures']
6,cat_8. Others,['Others']
7,cat_1. Regression‐based Measures,['IGE-based']
7,cat_2. Rank‐based Measures,['Rank-based']
7,cat_3. Transition Matrix / Probability Measures,['Transition Matrix']
7,cat_6. Decomposition / Structural Approaches,['Structural Decomposition']
7,cat_8. Others,"['Machine Learning/Novel Methods', 'Others']"
8,cat_1. Regression‐based Measures,['Intergenerational Income Elasticity (IGE) Measures']
8,cat_2. Rank‐based Measures,['Rank‐Based Measures']
8,cat_3. Transition Matrix / Probability Measures,['Transition Matrix/Mobility Rates Measures']
8,cat_8. Others,['Others']
