from_rq_cat_title,to_rq_cat_title,weight
Empirical Estimates and Determinants,Empirical Estimates and Determinants,780
Intergenerational Wealth Mobility and Inheritance,Empirical Estimates and Determinants,391
Measurement and Methodological Advances,Empirical Estimates and Determinants,207
Intergenerational Wealth Mobility and Inheritance,Intergenerational Wealth Mobility and Inheritance,150
Empirical Estimates and Determinants,Intergenerational Wealth Mobility and Inheritance,148
"Policy, Institutional, and Geographic Impacts",Empirical Estimates and Determinants,125
Empirical Estimates and Determinants,Measurement and Methodological Advances,83
Empirical Estimates and Determinants,Theoretical and Structural Models,81
Empirical Estimates and Determinants,"Policy, Institutional, and Geographic Impacts",56
"Demographic Differences in Mobility (Race, Gender, etc.)",Empirical Estimates and Determinants,54
Measurement and Methodological Advances,Intergenerational Wealth Mobility and Inheritance,53
Theoretical and Structural Models,Empirical Estimates and Determinants,49
Intergenerational Wealth Mobility and Inheritance,Theoretical and Structural Models,46
Empirical Estimates and Determinants,"Demographic Differences in Mobility (Race, Gender, etc.)",38
Intergenerational Wealth Mobility and Inheritance,Measurement and Methodological Advances,30
"Policy, Institutional, and Geographic Impacts",Intergenerational Wealth Mobility and Inheritance,25
Theoretical and Structural Models,Theoretical and Structural Models,24
Measurement and Methodological Advances,Measurement and Methodological Advances,23
"Policy, Institutional, and Geographic Impacts",Theoretical and Structural Models,22
Intergenerational Wealth Mobility and Inheritance,"Demographic Differences in Mobility (Race, Gender, etc.)",16
"Policy, Institutional, and Geographic Impacts","Policy, Institutional, and Geographic Impacts",16
Measurement and Methodological Advances,"Demographic Differences in Mobility (Race, Gender, etc.)",16
"Demographic Differences in Mobility (Race, Gender, etc.)",Intergenerational Wealth Mobility and Inheritance,14
Measurement and Methodological Advances,Theoretical and Structural Models,13
Perceptions of Mobility and Attitudes,Empirical Estimates and Determinants,12
"Demographic Differences in Mobility (Race, Gender, etc.)","Demographic Differences in Mobility (Race, Gender, etc.)",10
Measurement and Methodological Advances,"Policy, Institutional, and Geographic Impacts",10
Intergenerational Wealth Mobility and Inheritance,"Policy, Institutional, and Geographic Impacts",10
Others,Empirical Estimates and Determinants,9
"Policy, Institutional, and Geographic Impacts",Measurement and Methodological Advances,9
"Demographic Differences in Mobility (Race, Gender, etc.)",Theoretical and Structural Models,8
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Empirical Estimates and Determinants,7
Theoretical and Structural Models,Intergenerational Wealth Mobility and Inheritance,7
"Policy, Institutional, and Geographic Impacts","Demographic Differences in Mobility (Race, Gender, etc.)",6
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Intergenerational Wealth Mobility and Inheritance,4
"Demographic Differences in Mobility (Race, Gender, etc.)",Measurement and Methodological Advances,4
Theoretical and Structural Models,Measurement and Methodological Advances,3
"Demographic Differences in Mobility (Race, Gender, etc.)","Policy, Institutional, and Geographic Impacts",3
Perceptions of Mobility and Attitudes,Intergenerational Wealth Mobility and Inheritance,3
Others,Measurement and Methodological Advances,3
Perceptions of Mobility and Attitudes,Perceptions of Mobility and Attitudes,2
Empirical Estimates and Determinants,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2
Others,Theoretical and Structural Models,2
"Demographic Differences in Mobility (Race, Gender, etc.)",Perceptions of Mobility and Attitudes,2
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2
Perceptions of Mobility and Attitudes,Theoretical and Structural Models,1
Perceptions of Mobility and Attitudes,"Demographic Differences in Mobility (Race, Gender, etc.)",1
Others,Intergenerational Wealth Mobility and Inheritance,1
Theoretical and Structural Models,"Demographic Differences in Mobility (Race, Gender, etc.)",1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Theoretical and Structural Models,1
"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","Demographic Differences in Mobility (Race, Gender, etc.)",1
Theoretical and Structural Models,"Policy, Institutional, and Geographic Impacts",1
Measurement and Methodological Advances,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",1
