to_year,from_method_cat,weights,percentage
1979,Regression‐based Measures,96,0.6153846153846154
1979,Decomposition / Structural Approaches,19,0.12179487179487179
1979,Rank‐based Measures,15,0.09615384615384616
1980,Regression‐based Measures,20,0.7692307692307693
1980,Transition Matrix / Probability Measures,3,0.11538461538461539
1980,Absolute Mobility Measures,2,0.07692307692307693
1986,Regression‐based Measures,3,1.0
1990,Regression‐based Measures,12,0.7058823529411765
1990,Others,2,0.11764705882352941
1990,Transition Matrix / Probability Measures,2,0.11764705882352941
1992,Regression‐based Measures,18,0.75
1992,Transition Matrix / Probability Measures,3,0.125
1992,Non‐parametric Approaches,2,0.08333333333333333
1997,Others,1,1.0
1998,Regression‐based Measures,16,0.8888888888888888
1998,Decomposition / Structural Approaches,1,0.05555555555555555
1998,Transition Matrix / Probability Measures,1,0.05555555555555555
1999,Regression‐based Measures,49,0.7313432835820896
1999,Rank‐based Measures,6,0.08955223880597014
1999,Decomposition / Structural Approaches,3,0.04477611940298507
2000,Regression‐based Measures,22,0.6875
2000,Decomposition / Structural Approaches,3,0.09375
2000,Absolute Mobility Measures,2,0.0625
2002,Regression‐based Measures,132,0.7333333333333333
2002,Decomposition / Structural Approaches,14,0.07777777777777778
2002,Others,9,0.05
2003,Regression‐based Measures,13,0.6842105263157895
2003,Non‐parametric Approaches,2,0.10526315789473684
2003,Transition Matrix / Probability Measures,2,0.10526315789473684
2005,Regression‐based Measures,153,0.7766497461928934
2005,Decomposition / Structural Approaches,12,0.06091370558375635
2005,Others,8,0.04060913705583756
2006,Regression‐based Measures,63,0.6847826086956522
2006,Rank‐based Measures,7,0.07608695652173914
2006,Decomposition / Structural Approaches,6,0.06521739130434782
2007,Regression‐based Measures,84,0.8316831683168316
2007,Others,7,0.06930693069306931
2007,Decomposition / Structural Approaches,4,0.039603960396039604
2008,Regression‐based Measures,26,0.8125
2008,Absolute Mobility Measures,3,0.09375
2008,Decomposition / Structural Approaches,2,0.0625
2009,Regression‐based Measures,91,0.7109375
2009,Rank‐based Measures,13,0.1015625
2009,Others,7,0.0546875
2010,Regression‐based Measures,36,0.6923076923076923
2010,Absolute Mobility Measures,4,0.07692307692307693
2010,Rank‐based Measures,4,0.07692307692307693
2011,Regression‐based Measures,96,0.6357615894039735
2011,Others,13,0.08609271523178808
2011,Non‐parametric Approaches,10,0.06622516556291391
2012,Regression‐based Measures,52,0.7761194029850746
2012,Decomposition / Structural Approaches,5,0.07462686567164178
2012,Rank‐based Measures,4,0.05970149253731343
2013,Regression‐based Measures,130,0.7027027027027027
2013,Rank‐based Measures,14,0.07567567567567568
2013,Absolute Mobility Measures,12,0.06486486486486487
2014,Regression‐based Measures,201,0.5826086956521739
2014,Rank‐based Measures,41,0.11884057971014493
2014,Decomposition / Structural Approaches,28,0.08115942028985507
2015,Regression‐based Measures,37,0.6727272727272727
2015,Non‐parametric Approaches,4,0.07272727272727272
2015,Others,4,0.07272727272727272
2016,Regression‐based Measures,77,0.5746268656716418
2016,Rank‐based Measures,28,0.208955223880597
2016,Absolute Mobility Measures,11,0.08208955223880597
2017,Regression‐based Measures,53,0.5145631067961165
2017,Rank‐based Measures,14,0.13592233009708737
2017,Absolute Mobility Measures,13,0.1262135922330097
2018,Regression‐based Measures,52,0.5306122448979592
2018,Rank‐based Measures,15,0.15306122448979592
2018,Decomposition / Structural Approaches,12,0.12244897959183673
2019,Regression‐based Measures,70,0.5035971223021583
2019,Rank‐based Measures,27,0.19424460431654678
2019,Absolute Mobility Measures,12,0.08633093525179857
2020,Regression‐based Measures,31,0.5344827586206896
2020,Rank‐based Measures,12,0.20689655172413793
2020,Absolute Mobility Measures,9,0.15517241379310345
2021,Regression‐based Measures,16,0.5333333333333333
2021,Rank‐based Measures,8,0.26666666666666666
2021,Absolute Mobility Measures,4,0.13333333333333333
2022,Regression‐based Measures,21,0.4666666666666667
2022,Rank‐based Measures,14,0.3111111111111111
2022,Absolute Mobility Measures,4,0.08888888888888889
2023,Rank‐based Measures,8,0.4
2023,Regression‐based Measures,6,0.3
2023,Others,4,0.2
2024,Regression‐based Measures,5,0.45454545454545453
2024,Rank‐based Measures,3,0.2727272727272727
2024,Absolute Mobility Measures,1,0.09090909090909091
