from_year,from_method_cat,weights,percentage
1980,Regression‐based Measures,1,1.0
1981,Decomposition / Structural Approaches,1,1.0
1990,Regression‐based Measures,1,1.0
1992,Regression‐based Measures,3,1.0
1995,Transition Matrix / Probability Measures,1,1.0
1997,Others,1,1.0
1998,Regression‐based Measures,5,0.5
1998,Transition Matrix / Probability Measures,4,0.4
1998,Others,1,0.1
1999,Regression‐based Measures,3,1.0
2000,Regression‐based Measures,2,0.6666666666666666
2000,Decomposition / Structural Approaches,1,0.3333333333333333
2002,Regression‐based Measures,8,0.8
2002,Non‐parametric Approaches,2,0.2
2003,Regression‐based Measures,3,0.75
2003,Transition Matrix / Probability Measures,1,0.25
2005,Regression‐based Measures,12,0.5
2005,Transition Matrix / Probability Measures,11,0.4583333333333333
2005,Decomposition / Structural Approaches,1,0.041666666666666664
2006,Regression‐based Measures,24,0.75
2006,Transition Matrix / Probability Measures,5,0.15625
2006,Decomposition / Structural Approaches,3,0.09375
2007,Regression‐based Measures,25,0.6578947368421053
2007,Others,13,0.34210526315789475
2008,Regression‐based Measures,31,0.9393939393939394
2008,Multigenerational Measures,1,0.030303030303030304
2008,Transition Matrix / Probability Measures,1,0.030303030303030304
2009,Regression‐based Measures,20,1.0
2010,Regression‐based Measures,17,0.6538461538461539
2010,Decomposition / Structural Approaches,7,0.2692307692307692
2010,Rank‐based Measures,2,0.07692307692307693
2011,Regression‐based Measures,79,0.8404255319148937
2011,Rank‐based Measures,8,0.0851063829787234
2011,Multigenerational Measures,4,0.0425531914893617
2012,Regression‐based Measures,43,0.8775510204081632
2012,Decomposition / Structural Approaches,4,0.08163265306122448
2012,Absolute Mobility Measures,1,0.02040816326530612
2013,Regression‐based Measures,59,0.6781609195402298
2013,Decomposition / Structural Approaches,13,0.14942528735632185
2013,Transition Matrix / Probability Measures,8,0.09195402298850575
2014,Regression‐based Measures,77,0.6470588235294118
2014,Rank‐based Measures,15,0.12605042016806722
2014,Non‐parametric Approaches,11,0.09243697478991597
2015,Regression‐based Measures,104,0.7761194029850746
2015,Decomposition / Structural Approaches,12,0.08955223880597014
2015,Non‐parametric Approaches,8,0.05970149253731343
2016,Regression‐based Measures,119,0.9224806201550387
2016,Others,5,0.03875968992248062
2016,Absolute Mobility Measures,3,0.023255813953488372
2017,Regression‐based Measures,72,0.7058823529411765
2017,Non‐parametric Approaches,24,0.23529411764705882
2017,Absolute Mobility Measures,3,0.029411764705882353
2018,Regression‐based Measures,111,0.7816901408450704
2018,Rank‐based Measures,12,0.08450704225352113
2018,Absolute Mobility Measures,7,0.04929577464788732
2019,Regression‐based Measures,170,0.6719367588932806
2019,Others,27,0.1067193675889328
2019,Decomposition / Structural Approaches,24,0.09486166007905138
2020,Regression‐based Measures,112,0.49777777777777776
2020,Decomposition / Structural Approaches,31,0.13777777777777778
2020,Rank‐based Measures,28,0.12444444444444444
2021,Regression‐based Measures,122,0.5674418604651162
2021,Rank‐based Measures,39,0.1813953488372093
2021,Others,25,0.11627906976744186
2022,Regression‐based Measures,146,0.5509433962264151
2022,Absolute Mobility Measures,49,0.18490566037735848
2022,Decomposition / Structural Approaches,30,0.11320754716981132
2023,Regression‐based Measures,149,0.6032388663967612
2023,Rank‐based Measures,59,0.2388663967611336
2023,Transition Matrix / Probability Measures,27,0.10931174089068826
2024,Regression‐based Measures,152,0.5187713310580204
2024,Rank‐based Measures,57,0.1945392491467577
2024,Others,46,0.15699658703071673
2025,Regression‐based Measures,11,0.5238095238095238
2025,Rank‐based Measures,10,0.47619047619047616
