from_id,to_id,weights,from_data_cat_title,from_method_cat_title,from_rq_cat_title,from_year,to_data_cat_title,to_method_cat_title,to_rq_cat_title,to_year
https://openalex.org/W2900408224,https://openalex.org/W2210747677,1,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,2018,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W2914094440,https://openalex.org/W2210747677,1,University/Institution Data,Others,Empirical Estimates and Determinants,2019,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W3039606322,https://openalex.org/W2210747677,1,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W3128702014,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Others,Measurement and Methodological Advances,2021,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4296277673,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2022,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4361214653,https://openalex.org/W2210747677,1,Others,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2023,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4381736130,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2023,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4385782198,https://openalex.org/W2210747677,1,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,2023,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4402986304,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Others,Measurement and Methodological Advances,2024,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W2943421593,https://openalex.org/W2587329652,1,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2019,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W3001385022,https://openalex.org/W2587329652,1,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W3033501614,https://openalex.org/W2587329652,1,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4381512763,https://openalex.org/W2592479289,1,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,2023,No dataset,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2017
https://openalex.org/W2889122466,https://openalex.org/W2595264819,1,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,2019,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W2984996373,https://openalex.org/W2595264819,1,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2019,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W3022704615,https://openalex.org/W2595264819,1,No dataset,Absolute Mobility Measures,Empirical Estimates and Determinants,2020,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W3145594932,https://openalex.org/W2595264819,1,Linked Administrative Data,Rank‐based Measures,Empirical Estimates and Determinants,2019,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W3176622639,https://openalex.org/W2595264819,1,Administrative/Registry Data,Rank‐based Measures,Measurement and Methodological Advances,2021,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W3178385122,https://openalex.org/W2595264819,1,Others,Regression‐based Measures,Empirical Estimates and Determinants,2021,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W4285024880,https://openalex.org/W2595264819,1,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Measurement and Methodological Advances,2022,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W4386370708,https://openalex.org/W2595264819,1,Administrative/Registry Data,Rank‐based Measures,Measurement and Methodological Advances,2023,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W4402986304,https://openalex.org/W2595264819,1,Panel/Longitudinal Surveys,Others,Measurement and Methodological Advances,2024,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W2889122466,https://openalex.org/W2663861583,1,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,2019,National Survey Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,2017
https://openalex.org/W2889122466,https://openalex.org/W2716435981,1,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,2019,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W2897475839,https://openalex.org/W2716435981,1,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W2900408224,https://openalex.org/W2716435981,1,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,2018,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W3001385022,https://openalex.org/W2716435981,1,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W3022704615,https://openalex.org/W2716435981,1,No dataset,Absolute Mobility Measures,Empirical Estimates and Determinants,2020,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W3214804213,https://openalex.org/W2716435981,1,Administrative/Registry Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,2021,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4281690951,https://openalex.org/W2716435981,1,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2022,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4381666160,https://openalex.org/W2716435981,1,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2023,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4384133380,https://openalex.org/W2716435981,1,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,2023,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4399323633,https://openalex.org/W2716435981,1,Others,Others,Empirical Estimates and Determinants,2024,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
https://openalex.org/W4405654739,https://openalex.org/W2716435981,1,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,2024,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017
