from_id,to_id,weights,from_data_cat_title,from_method_cat_title,from_rq_cat_title,from_year,from_method_cat,from_data_cat,from_rq_cat,to_data_cat_title,to_method_cat_title,to_rq_cat_title,to_year,from_data_cat_title,from_method_cat_title,from_rq_cat_title,from_year,from_method_cat,from_data_cat,from_rq_cat,to_data_cat_title,to_method_cat_title,to_rq_cat_title,to_year,to_method_cat,to_data_cat,to_rq_cat
https://openalex.org/W2900408224,https://openalex.org/W2210747677,1,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,2018,Regression‐based Measures,No dataset,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,2018,Regression‐based Measures,No dataset,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W2914094440,https://openalex.org/W2210747677,1,University/Institution Data,Others,Empirical Estimates and Determinants,2019,Others,University/Institution Data,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,University/Institution Data,Others,Empirical Estimates and Determinants,2019,Others,University/Institution Data,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W3039606322,https://openalex.org/W2210747677,1,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2020,Regression‐based Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2020,Regression‐based Measures,National Survey Data,Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W3128702014,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Others,Measurement and Methodological Advances,2021,Others,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Panel/Longitudinal Surveys,Others,Measurement and Methodological Advances,2021,Others,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W4296277673,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2022,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2022,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W4361214653,https://openalex.org/W2210747677,1,Others,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2023,Regression‐based Measures,Others,Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Others,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,2023,Regression‐based Measures,Others,Intergenerational Wealth Mobility and Inheritance,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W4381736130,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2023,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2023,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W4385782198,https://openalex.org/W2210747677,1,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,2023,Regression‐based Measures,National Survey Data,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,2023,Regression‐based Measures,National Survey Data,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W4402986304,https://openalex.org/W2210747677,1,Panel/Longitudinal Surveys,Others,Measurement and Methodological Advances,2024,Others,Panel/Longitudinal Surveys,Measurement and Methodological Advances,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Panel/Longitudinal Surveys,Others,Measurement and Methodological Advances,2024,Others,Panel/Longitudinal Surveys,Measurement and Methodological Advances,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
https://openalex.org/W2943421593,https://openalex.org/W2587329652,1,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2019,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2019,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,2017,Regression‐based Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
