id,citations_count,title,data_cat,rq_cat,category_1,category_2,citation_rank,cited_by_count,citation_rank_617
https://openalex.org/W2105584013,169,Where is the land of Opportunity? The Geography of Intergenerational Mobility in the United States *,Linked Administrative Data,Empirical Estimates and Determinants,Rank‐based Measures,Transition Matrix / Probability Measures,1.0,2341.0,1.0
https://openalex.org/W2022256544,150,An Equilibrium Theory of the Distribution of Income and Intergenerational Mobility,No dataset,Theoretical and Structural Models,Decomposition / Structural Approaches,Decomposition / Structural Approaches,2.0,2152.0,2.0
https://openalex.org/W2122216841,131,"Income Inequality, Equality of Opportunity, and Intergenerational Mobility",International Panel Data,Empirical Estimates and Determinants,Regression‐based Measures,,3.0,1529.0,3.0
https://openalex.org/W2091916425,112,Fortunate Sons: New Estimates of Intergenerational Mobility in the United States Using Social Security Earnings Data,Administrative/Registry Data,Empirical Estimates and Determinants,Regression‐based Measures,,6.0,654.0,4.0
https://openalex.org/W3093752946,98,Trends in Intergenerational Income Mobility,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,Regression‐based Measures,12.0,445.0,5.0
https://openalex.org/W2119587652,93,Cross-Country Differences in Intergenerational Earnings Mobility,No dataset,Empirical Estimates and Determinants,Regression‐based Measures,,5.0,660.0,6.0
https://openalex.org/W2155246844,74,Is the United States Still a Land of Opportunity? Recent Trends in Intergenerational Mobility,Linked Administrative Data,Empirical Estimates and Determinants,Rank‐based Measures,Rank‐based Measures,7.0,619.0,7.0
https://openalex.org/W2082418718,72,Intergenerational Income Mobility Among Daughters,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,15.0,401.0,8.0
https://openalex.org/W3121694509,67,The Intergenerational Earnings and Income Mobility of Canadian Men: Evidence from Longitudinal Income Tax Data,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Regression‐based Measures,17.0,299.0,9.0
https://openalex.org/W2288802977,58,CROSS‐COUNTRY RANKINGS IN INTERGENERATIONAL MOBILITY: A COMPARISON OF APPROACHES FROM ECONOMICS AND SOCIOLOGY,No dataset,Empirical Estimates and Determinants,Regression‐based Measures,,13.0,423.0,10.0
https://openalex.org/W3122728969,52,"American Exceptionalism in a New Light: A Comparison of Intergenerational Earnings Mobility in the Nordic Countries, the United Kingdom and the United States",Linked Administrative Data,Empirical Estimates and Determinants,Regression‐based Measures,Transition Matrix / Probability Measures,14.0,414.0,11.0
https://openalex.org/W2564827629,46,The fading American dream: Trends in absolute income mobility since 1940,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,Absolute Mobility Measures,,4.0,703.0,12.0
https://openalex.org/W2320409419,37,A nonparametric analysis of black-white differences in intergenerational income mobility in the United States,Panel/Longitudinal Surveys,"Demographic Differences in Mobility (Race, Gender, etc.)",Transition Matrix / Probability Measures,Rank‐based Measures,43.0,143.0,13.0
https://openalex.org/W2157585414,35,INTERGENERATIONAL INCOME MOBILITY IN URBAN CHINA,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,40.0,152.0,14.0
https://openalex.org/W1557569468,34,Heterogeneous Income Profiles and Lifecycle Bias in Intergenerational Mobility Estimation,Administrative/Registry Data,Measurement and Methodological Advances,Regression‐based Measures,,52.0,115.0,15.0
https://openalex.org/W2053034611,32,Intergenerational Earnings Mobility in Italy,National Survey Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,47.0,130.0,16.0
https://openalex.org/W2148814768,31,Has the Intergenerational Transmission of Economic Status Changed?,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,38.0,154.0,17.0
https://openalex.org/W2544001857,31,The Impacts of Neighborhoods on Intergenerational Mobility II: County-Level Estimates*,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",Regression‐based Measures,Regression‐based Measures,9.0,582.0,18.0
https://openalex.org/W2037428382,30,INTERGENERATIONAL INCOME MOBILITY IN SWEDEN: WHAT DO TAX‐DATA SHOW?,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,Transition Matrix / Probability Measures,51.0,116.0,19.0
https://openalex.org/W1989526535,27,Comparable Estimates of Intergenerational Income Mobility in Italy,National Survey Data,Intergenerational Wealth Mobility and Inheritance,Regression‐based Measures,,54.0,113.0,20.0
https://openalex.org/W325124896,27,"A Comparison of Intergenerational Mobility Curves in Germany, Norway, Sweden, and the US",Others,Empirical Estimates and Determinants,Others,Regression‐based Measures,60.0,98.0,21.0
https://openalex.org/W1515121029,26,On Intergenerational Income Mobility in Britain,No dataset,Empirical Estimates and Determinants,Regression‐based Measures,,34.0,162.0,22.0
https://openalex.org/W2068645718,26,Income Inequality and Intergenerational Income Mobility in the United States,No dataset,Empirical Estimates and Determinants,Regression‐based Measures,,55.0,112.0,23.0
https://openalex.org/W1580804840,24,Is a College Degree Still the Great Equalizer? Intergenerational Mobility across Levels of Schooling in the United States,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,11.0,511.0,24.0
https://openalex.org/W1963513809,24,Patterns of Intergenerational Mobility in Income and Earnings,Panel/Longitudinal Surveys,Empirical Estimates and Determinants,Regression‐based Measures,,46.0,137.0,25.0
