category,ids
Measurement and Methodology,"['933', '940', '962', '974', '975', '991', '992', '1004']"
Empirical Estimates and Trends,"['916', '917', '918', '919', '922', '926', '930', '931', '934', '937', '944', '948', '949', '951', '956', '960', '968', '969', '970', '971', '986', '990', '1001', '995']"
Determinants and Mechanisms,"['946', '972', '965', '979', '980', '981', '984', '987', '1002', '1005']"
Policy and External Shocks,"['824', '923', '939', '942', '943', '945', '957', '966', '978', '998']"
Spatial/Geographic Effects,"['920', '935', '997', '982']"
"Racial, Ethnic, and Immigrant Disparities","['915', '921', '952', '988']"
"Social Outcomes (Health, Wellbeing, Crime, etc.)","['924', '925', '941', '961', '996', '973']"
Historical and Multigenerational Studies,"['938', '983', '989', '993', '1003', '999']"
Normative and Theoretical Critiques,"['823', '825']"
Others,[]
