id,data_cat,data_type
0,2,IRS administrative tax records (i.e. administrative/registry data on individual earnings)
1,13,N/A
2,13,N/A
3,1,UK data derived from a longitudinal study tracking the same individuals across generations
4,14,Aggregated national income distribution data across cohorts from eight countries (constructed without using linked parent‐child datasets)
5,1,Likely a panel dataset such as the Panel Study of Income Dynamics (PSID)
6,6,Linked Parent-Child Administrative Data (used for five countries) and Detailed Survey Data (used for two countries)
7,13,N/A
8,6,Linked Administrative Data (presumably Australian tax records linking parent and child incomes)
9,1,National Longitudinal Survey of Youth (NLSY)
10,3,Repeated cross‐sectional national household surveys from Chile and Peru (with retrospective information)
11,6,"Linked administrative records (e.g., tax/census register data linking parents and children from the United States, United Kingdom, and Nordic countries)"
12,6,Linked Administrative Data (likely derived from administrative tax/registry records linking parent and child incomes over 1950–2019)
13,14,Existing aggregated mobility data from prior studies (no specific dataset name mentioned)
14,12,Facebook friendship network data (21 billion friendships across US ZIP codes)
15,13,N/A
16,2,Danish administrative registers and comparable US administrative tax/transfer data
17,5,Volcanic experiment data from the affected town
18,13,N/A
19,1,National Longitudinal Survey of Youth 1979; 1970 US Census (the latter qualifies as National Survey Data)
20,1,Panel Study of Income Dynamics
21,3,Britain's Labour Force Survey
22,3,Multiple unspecified national household surveys
23,1,Two-generation longitudinal survey data tracking career outcomes of young white men in the USA
24,1,Understanding Society
25,4,Opportunity Atlas
26,13,N/A
27,7,International panel data from cross-country institutional indicators (exact dataset name not specified)
28,1,"1958 and 1970 British birth cohort studies (e.g., National Child Development Study and British Cohort Study)"
29,6,Swedish linked administrative registers (population register data that links earnings across generations)
30,2,Norwegian administrative data
31,13,N/A
32,1,Add Health (National Longitudinal Study of Adolescent Health) and MIDUS (Midlife in the United States Study)
33,3,India Human Development Survey (IHDS)
34,13,N/A
35,13,N/A
36,1,Longitudinal rural household survey data in China (2005-2019)
37,13,N/A
38,13,N/A
39,3,1995 Israeli Census
40,12,Facebook friendship network data
41,6,2012 Longitudinal and International Study of Adults linked to historical income data from the Canada Revenue Agency
42,10,"Household budget data pseudo-panel of urban male heads of household in Iran, collected from cross-sectional surveys between 1988 and 2011"
43,3,General Social Survey
44,2,Swedish income tax records
45,3,nationwide survey experiment
46,1,PSID; NLSY; US administrative data at the commuting zone level (Administrative/Registry Data)
47,2,Swedish administrative register data (using long-term population registers)
48,13,N/A
49,13,N/A
50,3,Britain’s Labour Force Survey
51,6,Linked Administrative Data (no specific dataset name indicated)
52,1,National Educational Longitudinal Study of 1988 (NELS 88)
53,11,Chicago Business Elite archival records (historical data from biographical sources)
54,14,"Urban household survey from six Chinese provinces (Shaanxi, Jilin, Hubei, Sichuan, Guangdong, Shandong)"
55,2,Finnish administrative/registry data (tracking individuals over 30 years) as well as newly digitized archival historical economic data on wartime industrial policy and local development – with comparable Norwegian archival data for triple-difference identification
56,14,Custom household survey data from rural Philippines (no standard dataset name provided)
57,14,various micro data sources
58,13,N/A
59,1,National Longitudinal Survey of Youth (NLSY)
60,2,"U.S. county‐level administrative/registry data (e.g., aggregated Census and local administrative records on income, education, incarceration, etc.), supplemented by qualitative phone interview data with county commissioners"
61,2,Swedish registry data
62,13,N/A
63,13,N/A
64,1,Panel Study of Income Dynamics
65,13,N/A
66,4,Opportunity Atlas
67,13,N/A
68,3,2005 EUSILC (European Union Statistics on Income and Living Conditions)
69,13,N/A
70,3,EU-SILC 2011 microdata
71,1,National Child Development Survey
72,1,2010 and 2016 waves of the Jordanian Labor Market Panel Survey
