id,title,type_RQ_A,type_RQ_B
https://openalex.org/W2564827629,The fading American dream: Trends in absolute income mobility since 1940,4,2
https://openalex.org/W2119587652,Cross-Country Differences in Intergenerational Earnings Mobility,2,7
https://openalex.org/W2544001857,The Impacts of Neighborhoods on Intergenerational Mobility II: County-Level Estimates*,3,2
https://openalex.org/W1580804840,Is a College Degree Still the Great Equalizer? Intergenerational Mobility across Levels of Schooling in the United States,2,5
https://openalex.org/W3122728969,"American Exceptionalism in a New Light: A Comparison of Intergenerational Earnings Mobility in the Nordic Countries, the United Kingdom and the United States",2,1
https://openalex.org/W3121694509,The Intergenerational Earnings and Income Mobility of Canadian Men: Evidence from Longitudinal Income Tax Data,4,2
https://openalex.org/W2512952691,Intergenerational Wealth Mobility and the Role of Inheritance: Evidence from Multiple Generations,4,2
https://openalex.org/W2003514985,"Intergenerational Wealth Mobility in England, 1858-2012: Surnames and Social Mobility",4,2
https://openalex.org/W1577807578,Has social mobility in Britain decreased? Reconciling divergent findings on income and class mobility,4,2
https://openalex.org/W2158765930,The Grandparents Effect in Social Mobility,4,2
https://openalex.org/W2772867153,Generations of Advantage. Multigenerational Correlations in Family Wealth,4,2
https://openalex.org/W2159953986,Breaking the Caste Barrier: Intergenerational Mobility in India,5,2
https://openalex.org/W1985674062,"Understanding – and Misunderstanding – Social Mobility in Britain: The Entry of the Economists, the Confusion of Politicians and the Limits of Educational Policy",1,3
https://openalex.org/W2144050291,On the State of the Union,7,2
https://openalex.org/W2320409419,A nonparametric analysis of black-white differences in intergenerational income mobility in the United States,5,1
https://openalex.org/W1974242925,Inter-generational Transmission of Inequality: An Empirical Study of Wealth Mobility,4,2
https://openalex.org/W1906749728,Breaking the ‘Class’ Ceiling? Social Mobility into Britain's Elite Occupations,4,5
https://openalex.org/W2053034611,Intergenerational Earnings Mobility in Italy,4,2
https://openalex.org/W2322954441,Racial Inequality Trends and the Intergenerational Persistence of Income and Family Structure,4,5
https://openalex.org/W2037428382,INTERGENERATIONAL INCOME MOBILITY IN SWEDEN: WHAT DO TAX‐DATA SHOW?,4,2
https://openalex.org/W2171543589,Intergenerational Persistence in Income and Social Class: The Effect of Within-Group Inequality,4,1
https://openalex.org/W1989526535,Comparable Estimates of Intergenerational Income Mobility in Italy,4,2
https://openalex.org/W2943421593,Equalization or Selection? Reassessing the “Meritocratic Power” of a College Degree in Intergenerational Income Mobility,2,5
https://openalex.org/W325124896,"A Comparison of Intergenerational Mobility Curves in Germany, Norway, Sweden, and the US",2,3
https://openalex.org/W3123195152,Intergenerational Mobility in the Very Long Run: Florence 1427–2011,4,2
https://openalex.org/W2807800750,Multiple Measures of Historical Intergenerational Mobility: Iowa 1915 to 1940,4,2
https://openalex.org/W2028148226,Differences across Cohorts in Finnish Intergenerational Income Mobility,4,2
