id,title,type_dataset_A,type_dataset_B
https://openalex.org/W2105584013,Where is the land of Opportunity? The Geography of Intergenerational Mobility in the United States *,6,2
https://openalex.org/W2564827629,The fading American dream: Trends in absolute income mobility since 1940,6,13
https://openalex.org/W2119587652,Cross-Country Differences in Intergenerational Earnings Mobility,13,14
https://openalex.org/W2155246844,Is the United States Still a Land of Opportunity? Recent Trends in Intergenerational Mobility,6,2
https://openalex.org/W3123816425,Race and Economic Opportunity in the United States: an Intergenerational Perspective*,6,1
https://openalex.org/W2544001857,The Impacts of Neighborhoods on Intergenerational Mobility II: County-Level Estimates*,6,14
https://openalex.org/W3122728969,"American Exceptionalism in a New Light: A Comparison of Intergenerational Earnings Mobility in the Nordic Countries, the United Kingdom and the United States",6,14
https://openalex.org/W3121694509,The Intergenerational Earnings and Income Mobility of Canadian Men: Evidence from Longitudinal Income Tax Data,6,2
https://openalex.org/W1979983413,Comparative Social Mobility Revisited: Models of Convergence and Divergence in 16 Countries,11,9
https://openalex.org/W2512952691,Intergenerational Wealth Mobility and the Role of Inheritance: Evidence from Multiple Generations,6,9
https://openalex.org/W2123210148,Economic mobility and the rise of the Latin American middle class,3,13
https://openalex.org/W2151222191,Intergenerational Mobility and Inequality: The Latin American Case,13,2
https://openalex.org/W2195136954,INEQUALITY AND TRUST: NEW EVIDENCE FROM PANEL DATA,7,1
https://openalex.org/W2157585414,INTERGENERATIONAL INCOME MOBILITY IN URBAN CHINA,1,13
https://openalex.org/W2144050291,On the State of the Union,13,14
https://openalex.org/W2320409419,A nonparametric analysis of black-white differences in intergenerational income mobility in the United States,1,3
https://openalex.org/W1906749728,Breaking the ‘Class’ Ceiling? Social Mobility into Britain's Elite Occupations,12,3
https://openalex.org/W3202616165,Government spending and intergenerational income mobility: Evidence from China,1,13
https://openalex.org/W2037428382,INTERGENERATIONAL INCOME MOBILITY IN SWEDEN: WHAT DO TAX‐DATA SHOW?,2,1
https://openalex.org/W1989526535,Comparable Estimates of Intergenerational Income Mobility in Italy,3,9
https://openalex.org/W2943421593,Equalization or Selection? Reassessing the “Meritocratic Power” of a College Degree in Intergenerational Income Mobility,1,3
https://openalex.org/W325124896,"A Comparison of Intergenerational Mobility Curves in Germany, Norway, Sweden, and the US",14,2
https://openalex.org/W3123195152,Intergenerational Mobility in the Very Long Run: Florence 1427–2011,11,2
https://openalex.org/W2049773875,Intergenerational income mobility in permanent and separated families,6,13
https://openalex.org/W2807800750,Multiple Measures of Historical Intergenerational Mobility: Iowa 1915 to 1940,11,3
https://openalex.org/W1523582143,Pursuing the American Dream: Economic Mobility Across Generations,1,13
https://openalex.org/W2028148226,Differences across Cohorts in Finnish Intergenerational Income Mobility,6,1
