id,title,type_method_A,type_method_B
https://openalex.org/W2022256544,An Equilibrium Theory of the Distribution of Income and Intergenerational Mobility,6,3
https://openalex.org/W2564827629,The fading American dream: Trends in absolute income mobility since 1940,4,5
https://openalex.org/W2037106172,Equity and Efficiency in Human Capital Investment: The Local Connection,8,4
https://openalex.org/W2119587652,Cross-Country Differences in Intergenerational Earnings Mobility,1,8
https://openalex.org/W2091916425,Fortunate Sons: New Estimates of Intergenerational Mobility in the United States Using Social Security Earnings Data,1,4
https://openalex.org/W3123816425,Race and Economic Opportunity in the United States: an Intergenerational Perspective*,3,1
https://openalex.org/W2288802977,CROSS‐COUNTRY RANKINGS IN INTERGENERATIONAL MOBILITY: A COMPARISON OF APPROACHES FROM ECONOMICS AND SOCIOLOGY,1,2
https://openalex.org/W2082418718,Intergenerational Income Mobility Among Daughters,1,4
https://openalex.org/W3121694509,The Intergenerational Earnings and Income Mobility of Canadian Men: Evidence from Longitudinal Income Tax Data,1,7
https://openalex.org/W3007051557,Income Segregation and Intergenerational Mobility Across Colleges in the United States*,6,1
https://openalex.org/W1988669335,THE INTERGENERATIONAL CORRELATION BETWEEN CHILDREN'S ADULT EARNINGS AND THEIR PARENTS' INCOME: RESULTS FROM THE MICHIGAN PANEL SURVEY OF INCOME DYNAMICS,1,4
https://openalex.org/W3124226182,"Income Inequality, Equality of Opportunity, and Intergenerational Mobility",1,5
https://openalex.org/W2512952691,Intergenerational Wealth Mobility and the Role of Inheritance: Evidence from Multiple Generations,2,1
https://openalex.org/W2158055684,Intergenerational Mobility and Marital Sorting,6,1
https://openalex.org/W2772867153,Generations of Advantage. Multigenerational Correlations in Family Wealth,1,5
https://openalex.org/W2159953986,Breaking the Caste Barrier: Intergenerational Mobility in India,3,4
https://openalex.org/W291004932,The Impacts of Neighborhoods on Intergenerational Mobility: Childhood Exposure Effects and County-Level Estimates,6,1
https://openalex.org/W2320409419,A nonparametric analysis of black-white differences in intergenerational income mobility in the United States,3,7
https://openalex.org/W1988054894,Contractual Structure and Wealth Accumulation,8,1
https://openalex.org/W2322954441,Racial Inequality Trends and the Intergenerational Persistence of Income and Family Structure,3,1
https://openalex.org/W1557569468,Heterogeneous Income Profiles and Lifecycle Bias in Intergenerational Mobility Estimation,1,6
https://openalex.org/W2229381819,The impact of education on income inequality and intergenerational mobility,6,5
https://openalex.org/W3012114948,"Structural racism, economic opportunity and racial health disparities: Evidence from U.S. counties",4,1
https://openalex.org/W325124896,"A Comparison of Intergenerational Mobility Curves in Germany, Norway, Sweden, and the US",8,2
https://openalex.org/W1523582143,Pursuing the American Dream: Economic Mobility Across Generations,4,1
https://openalex.org/W2116568238,"Intergenerational Economic Mobility in the U.S., 1940 to 2000",1,6
https://openalex.org/W2079691849,"Women, Wealth, and Mobility",8,1
https://openalex.org/W2947666646,The Canadian Geography of Intergenerational Income Mobility,8,1
