key,year,identifier,paper_count,ew
Absolute Mobility Measures,1976,appeared,1,1.0
Absolute Mobility Measures,1977,filled,0,0.8705505632961241
Absolute Mobility Measures,1978,filled,0,0.757858283255199
Absolute Mobility Measures,1979,filled,0,0.6597539553864471
Absolute Mobility Measures,1980,filled,0,0.5743491774985174
Absolute Mobility Measures,1981,filled,0,0.49999999999999994
Absolute Mobility Measures,1982,filled,0,0.435275281648062
Absolute Mobility Measures,1983,filled,0,0.37892914162759944
Absolute Mobility Measures,1984,filled,0,0.3298769776932235
Absolute Mobility Measures,1985,filled,0,0.28717458874925866
Absolute Mobility Measures,1986,appeared,1,1.25
Absolute Mobility Measures,1987,filled,0,1.0881882041201552
Absolute Mobility Measures,1988,filled,0,0.9473228540689987
Absolute Mobility Measures,1989,filled,0,0.8246924442330589
Absolute Mobility Measures,1990,filled,0,0.7179364718731468
Absolute Mobility Measures,1991,filled,0,0.6249999999999999
Absolute Mobility Measures,1992,filled,0,0.5440941020600775
Absolute Mobility Measures,1993,filled,0,0.4736614270344993
Absolute Mobility Measures,1994,filled,0,0.4123462221165294
Absolute Mobility Measures,1995,filled,0,0.35896823593657334
Absolute Mobility Measures,1996,filled,0,0.3124999999999999
Absolute Mobility Measures,1997,filled,0,0.2720470510300387
Absolute Mobility Measures,1998,filled,0,0.2368307135172496
Absolute Mobility Measures,1999,filled,0,0.20617311105826464
Absolute Mobility Measures,2000,filled,0,0.17948411796828664
Absolute Mobility Measures,2001,filled,0,0.15624999999999994
Absolute Mobility Measures,2002,appeared,1,1.1360235255150193
Absolute Mobility Measures,2003,filled,0,0.9889659200547489
Absolute Mobility Measures,2004,appeared,1,1.8609448387843313
Absolute Mobility Measures,2005,filled,0,1.6200465776667146
Absolute Mobility Measures,2006,filled,0,1.4103324607537164
Absolute Mobility Measures,2007,filled,0,1.2277657181439567
Absolute Mobility Measures,2008,appeared,1,2.068832137525892
Absolute Mobility Measures,2009,filled,0,1.8010229826882898
Absolute Mobility Measures,2010,appeared,1,2.567881572088556
Absolute Mobility Measures,2011,filled,0,2.235470749059429
Absolute Mobility Measures,2012,appeared,1,2.9460903198256947
Absolute Mobility Measures,2013,appeared,1,3.564720587445517
Absolute Mobility Measures,2014,appeared,1,4.103269515393985
