triplet_key,years,ew,measure,datatype,rqtype
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,[2024],[3.0],Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,"[2014, 2019]",[3.0],Absolute Mobility Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,"[1976, 2004]",[3.0],Absolute Mobility Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Big Data | Empirical Estimates and Determinants,[2022],[3.0],Absolute Mobility Measures,Big Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Empirical Estimates and Determinants,"[2021, 2022]","[3.0, 6.0, 8.223303379776745, 11.223303379776745]",Absolute Mobility Measures,Linked Administrative Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,[2017],[3.0],Absolute Mobility Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Linked Administrative Data | Measurement and Methodological Advances,[2024],[3.0],Absolute Mobility Measures,Linked Administrative Data,Measurement and Methodological Advances
Absolute Mobility Measures | National Survey Data | Empirical Estimates and Determinants,"[2016, 2023]",[3.0],Absolute Mobility Measures,National Survey Data,Empirical Estimates and Determinants
Absolute Mobility Measures | National Survey Data | Perceptions of Mobility and Attitudes,[2020],[3.0],Absolute Mobility Measures,National Survey Data,Perceptions of Mobility and Attitudes
Absolute Mobility Measures | Natural/Experimental Data | Intergenerational Wealth Mobility and Inheritance,[2021],[3.0],Absolute Mobility Measures,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | No dataset | Empirical Estimates and Determinants,"[2018, 2020]",[3.0],Absolute Mobility Measures,No dataset,Empirical Estimates and Determinants
Absolute Mobility Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,[2010],[3.0],Absolute Mobility Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | No dataset | Measurement and Methodological Advances,"[2013, 2014, 2017]","[3.0, 5.611651689888372]",Absolute Mobility Measures,No dataset,Measurement and Methodological Advances
"Absolute Mobility Measures | Opportunity Atlas | Policy, Institutional, and Geographic Impacts",[2020],[3.0],Absolute Mobility Measures,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts"
Absolute Mobility Measures | Others_DataType | Empirical Estimates and Determinants,"[2020, 2024]",[3.0],Absolute Mobility Measures,Others_DataType,Empirical Estimates and Determinants
Absolute Mobility Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,[1986],[3.0],Absolute Mobility Measures,Others_DataType,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,"[2002, 2012, 2018, 2022]","[3.0, 3.75, 4.632282306180233]",Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,"[2008, 2012, 2018, 2021]","[3.0, 4.723047532495553, 5.055825844944186]",Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[2019, 2020, 2022]","[3.0, 5.611651689888372]",Absolute Mobility Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",[2016],[3.0],Absolute Mobility Measures,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,"[2015, 2018, 2019, 2024]","[3.0, 6.0, 6.958523732318683, 9.057746754879478]",Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,"[1981, 2018, 2021]","[3.0, 3.017762303513794]",Decomposition / Structural Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Linked Administrative Data | Empirical Estimates and Determinants,"[2019, 2023]","[3.0, 6.0, 6.4460950649911055, 9.446095064991106]",Decomposition / Structural Approaches,Linked Administrative Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,"[2020, 2024]",[3.0],Decomposition / Structural Approaches,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
"Decomposition / Structural Approaches | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",[2020],[3.0],Decomposition / Structural Approaches,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | National Survey Data | Empirical Estimates and Determinants,"[2013, 2015, 2020]","[3.0, 5.2735748497655965]",Decomposition / Structural Approaches,National Survey Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | National Survey Data | Intergenerational Wealth Mobility and Inheritance,"[2017, 2021]",[3.0],Decomposition / Structural Approaches,National Survey Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | National Survey Data | Perceptions of Mobility and Attitudes,"[2012, 2015]",[3.0],Decomposition / Structural Approaches,National Survey Data,Perceptions of Mobility and Attitudes
"Decomposition / Structural Approaches | National Survey Data | Policy, Institutional, and Geographic Impacts",[2021],[3.0],Decomposition / Structural Approaches,National Survey Data,"Policy, Institutional, and Geographic Impacts"
"Decomposition / Structural Approaches | Natural/Experimental Data | Policy, Institutional, and Geographic Impacts","[2017, 2022]",[3.0],Decomposition / Structural Approaches,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | No dataset | Empirical Estimates and Determinants,[2015],[3.0],Decomposition / Structural Approaches,No dataset,Empirical Estimates and Determinants
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,"[1996, 2003, 2009, 2014, 2015, 2016, 2018, 2022, 2024]","[3.0, 4.136787424882799, 4.800641311484022, 5.400320655742011, 7.701252188835902, 9.704329431076603, 12.704329431076603, 12.628081292544213, 10.252928103757185, 13.252928103757185]",Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
"Decomposition / Structural Approaches | No dataset | Policy, Institutional, and Geographic Impacts","[2000, 2014, 2019, 2023]","[3.0, 3.430761883123888, 4.7153809415619445]",Decomposition / Structural Approaches,No dataset,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | No dataset | Theoretical and Structural Models,"[1979, 1995, 2000, 2005, 2007, 2010, 2013, 2015, 2018, 2019, 2020, 2021, 2022]","[3.0, 6.0, 3.652912922472093, 4.826456461236047, 5.4132282306180235, 7.102459853724754, 7.685875981468353, 10.685875981468353, 10.050048945542779, 13.050048945542779, 16.050048945542777, 15.163662540030966, 13.00428633893073, 14.320888797620238, 15.467057809669452, 18.467057809669452, 19.07650757862983, 19.60706441829898, 22.60706441829898, 25.60706441829898]",Decomposition / Structural Approaches,No dataset,Theoretical and Structural Models
Decomposition / Structural Approaches | Others_DataType | Intergenerational Wealth Mobility and Inheritance,[2020],[3.0],Decomposition / Structural Approaches,Others_DataType,Intergenerational Wealth Mobility and Inheritance
"Decomposition / Structural Approaches | Others_DataType | Policy, Institutional, and Geographic Impacts",[2012],[3.0],Decomposition / Structural Approaches,Others_DataType,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,"[2013, 2022]","[3.0, 6.0]",Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,"[2006, 2016, 2019, 2020]","[3.0, 3.75, 5.474077332699176, 7.765461105507812, 10.765461105507812]",Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Panel/Longitudinal Surveys | Measurement and Methodological Advances,[2011],[3.0],Decomposition / Structural Approaches,Panel/Longitudinal Surveys,Measurement and Methodological Advances
Multigenerational Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,"[2008, 2011, 2016, 2024]","[3.0, 4.979261866159341, 5.48963093307967]",Multigenerational Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
