triplet_key,year,ew,measure,datatype,rqtype
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2024,3.0,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2014,3.0,Absolute Mobility Measures,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Archival/Historical Data | Intergenerational Wealth Mobility and Inheritance,1976,3.0,Absolute Mobility Measures,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Big Data | Empirical Estimates and Determinants,2022,3.0,Absolute Mobility Measures,Big Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Empirical Estimates and Determinants,2021,3.0,Absolute Mobility Measures,Linked Administrative Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Empirical Estimates and Determinants,2022,6.0,Absolute Mobility Measures,Linked Administrative Data,Empirical Estimates and Determinants
Absolute Mobility Measures | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2017,3.0,Absolute Mobility Measures,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Linked Administrative Data | Measurement and Methodological Advances,2024,3.0,Absolute Mobility Measures,Linked Administrative Data,Measurement and Methodological Advances
Absolute Mobility Measures | National Survey Data | Empirical Estimates and Determinants,2016,3.0,Absolute Mobility Measures,National Survey Data,Empirical Estimates and Determinants
Absolute Mobility Measures | National Survey Data | Perceptions of Mobility and Attitudes,2020,3.0,Absolute Mobility Measures,National Survey Data,Perceptions of Mobility and Attitudes
Absolute Mobility Measures | Natural/Experimental Data | Intergenerational Wealth Mobility and Inheritance,2021,3.0,Absolute Mobility Measures,Natural/Experimental Data,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | No dataset | Empirical Estimates and Determinants,2018,3.0,Absolute Mobility Measures,No dataset,Empirical Estimates and Determinants
Absolute Mobility Measures | No dataset | Intergenerational Wealth Mobility and Inheritance,2010,3.0,Absolute Mobility Measures,No dataset,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | No dataset | Measurement and Methodological Advances,2013,3.0,Absolute Mobility Measures,No dataset,Measurement and Methodological Advances
Absolute Mobility Measures | No dataset | Measurement and Methodological Advances,2014,5.611651689888372,Absolute Mobility Measures,No dataset,Measurement and Methodological Advances
"Absolute Mobility Measures | Opportunity Atlas | Policy, Institutional, and Geographic Impacts",2020,3.0,Absolute Mobility Measures,Opportunity Atlas,"Policy, Institutional, and Geographic Impacts"
Absolute Mobility Measures | Others_DataType | Empirical Estimates and Determinants,2020,3.0,Absolute Mobility Measures,Others_DataType,Empirical Estimates and Determinants
Absolute Mobility Measures | Others_DataType | Intergenerational Wealth Mobility and Inheritance,1986,3.0,Absolute Mobility Measures,Others_DataType,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2002,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2012,3.75,Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Absolute Mobility Measures | Panel/Longitudinal Surveys | Empirical Estimates and Determinants,2018,4.632282306180233,Absolute Mobility Measures,Panel/Longitudinal Surveys,Empirical Estimates and Determinants
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2008,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2012,4.723047532495553,Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
Absolute Mobility Measures | Panel/Longitudinal Surveys | Intergenerational Wealth Mobility and Inheritance,2018,5.055825844944186,Absolute Mobility Measures,Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2019,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2020,5.611651689888372,Absolute Mobility Measures,Panel/Longitudinal Surveys,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)"
"Absolute Mobility Measures | Panel/Longitudinal Surveys | Policy, Institutional, and Geographic Impacts",2016,3.0,Absolute Mobility Measures,Panel/Longitudinal Surveys,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2015,3.0,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2018,6.0,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2019,6.958523732318683,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Empirical Estimates and Determinants,2024,9.057746754879478,Decomposition / Structural Approaches,Administrative/Registry Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,1981,3.0,Decomposition / Structural Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Administrative/Registry Data | Intergenerational Wealth Mobility and Inheritance,2018,3.017762303513794,Decomposition / Structural Approaches,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | Linked Administrative Data | Empirical Estimates and Determinants,2019,3.0,Decomposition / Structural Approaches,Linked Administrative Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Linked Administrative Data | Empirical Estimates and Determinants,2023,6.0,Decomposition / Structural Approaches,Linked Administrative Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | Linked Administrative Data | Intergenerational Wealth Mobility and Inheritance,2020,3.0,Decomposition / Structural Approaches,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance
"Decomposition / Structural Approaches | Linked Administrative Data | Policy, Institutional, and Geographic Impacts",2020,3.0,Decomposition / Structural Approaches,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | National Survey Data | Empirical Estimates and Determinants,2013,3.0,Decomposition / Structural Approaches,National Survey Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | National Survey Data | Empirical Estimates and Determinants,2015,5.2735748497655965,Decomposition / Structural Approaches,National Survey Data,Empirical Estimates and Determinants
Decomposition / Structural Approaches | National Survey Data | Intergenerational Wealth Mobility and Inheritance,2017,3.0,Decomposition / Structural Approaches,National Survey Data,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | National Survey Data | Perceptions of Mobility and Attitudes,2012,3.0,Decomposition / Structural Approaches,National Survey Data,Perceptions of Mobility and Attitudes
"Decomposition / Structural Approaches | National Survey Data | Policy, Institutional, and Geographic Impacts",2021,3.0,Decomposition / Structural Approaches,National Survey Data,"Policy, Institutional, and Geographic Impacts"
"Decomposition / Structural Approaches | Natural/Experimental Data | Policy, Institutional, and Geographic Impacts",2017,3.0,Decomposition / Structural Approaches,Natural/Experimental Data,"Policy, Institutional, and Geographic Impacts"
Decomposition / Structural Approaches | No dataset | Empirical Estimates and Determinants,2015,3.0,Decomposition / Structural Approaches,No dataset,Empirical Estimates and Determinants
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,1996,3.0,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2003,4.136787424882799,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2009,4.800641311484022,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2014,5.400320655742011,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2015,7.701252188835902,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2016,9.704329431076603,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2018,12.704329431076603,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
Decomposition / Structural Approaches | No dataset | Intergenerational Wealth Mobility and Inheritance,2022,12.628081292544213,Decomposition / Structural Approaches,No dataset,Intergenerational Wealth Mobility and Inheritance
