key,year,identifier,measure,datatype,rqtype,paper_count,ew
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1976,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1977,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1978,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1979,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1980,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1981,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1982,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1983,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1984,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1985,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1986,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1987,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1988,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1989,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1990,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1991,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1992,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1993,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1994,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1995,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1996,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1997,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1998,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,1999,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2000,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2001,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2002,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2003,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2004,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2005,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2006,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2007,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2008,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2009,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2010,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2011,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2012,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2013,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2014,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2015,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2016,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2017,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2018,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2019,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2020,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
Absolute Mobility Measures | Administrative/Registry Data | Empirical Estimates and Determinants,2021,filled,Absolute Mobility Measures,Administrative/Registry Data,Empirical Estimates and Determinants,0,0.0
