,u,v,edge_betweenness
0,Absolute Mobility Measures,Linked Administrative Data,0.010724438396852188
1,Absolute Mobility Measures,No dataset,0.008425587822139546
2,Absolute Mobility Measures,Panel/Longitudinal Surveys,0.0076361346188932415
3,Absolute Mobility Measures,Others_DataType,0.007096757010550114
4,Absolute Mobility Measures,National Survey Data,0.00686117522324419
5,Absolute Mobility Measures,Big Data,0.01598020434227331
6,Absolute Mobility Measures,Administrative/Registry Data,0.007972343748205818
7,Absolute Mobility Measures,Natural/Experimental Data,0.00776714664645699
8,Absolute Mobility Measures,Opportunity Atlas,0.007707850897506069
9,Absolute Mobility Measures,Archival/Historical Data,0.010178343367998539
10,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,0.009027015869121132
11,Absolute Mobility Measures,Empirical Estimates and Determinants,0.007451946621638091
12,Absolute Mobility Measures,Measurement and Methodological Advances,0.00876317488386454
13,Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts",0.006193927400823952
14,Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.007872080027252442
15,Absolute Mobility Measures,Perceptions of Mobility and Attitudes,0.010588571709261366
16,Regression‐based Measures,Linked Administrative Data,0.007611178731868386
17,Regression‐based Measures,No dataset,0.00991002930658103
18,Regression‐based Measures,Panel/Longitudinal Surveys,0.011208604338806478
19,Regression‐based Measures,Others_DataType,0.012516434439740024
20,Regression‐based Measures,National Survey Data,0.01043364494315743
21,Regression‐based Measures,Big Data,0.025175606641123886
22,Regression‐based Measures,Administrative/Registry Data,0.011235657701174944
23,Regression‐based Measures,Natural/Experimental Data,0.014242242431897607
24,Regression‐based Measures,Opportunity Atlas,0.013078444543961787
25,Regression‐based Measures,International Panel Data,0.013913519430760813
26,Regression‐based Measures,Pseudo-Panel/Household Budget Survey,0.020268199233716474
27,Regression‐based Measures,Archival/Historical Data,0.018725047027662964
28,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,0.009597296207534646
29,Regression‐based Measures,Empirical Estimates and Determinants,0.00771307119310749
30,Regression‐based Measures,Measurement and Methodological Advances,0.010994742805087632
31,Regression‐based Measures,Theoretical and Structural Models,0.01797957756340634
32,Regression‐based Measures,"Policy, Institutional, and Geographic Impacts",0.008876877955355958
33,Regression‐based Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.012540210153170911
34,Regression‐based Measures,Perceptions of Mobility and Attitudes,0.016656947777637435
35,Regression‐based Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",0.01898566950291088
36,Regression‐based Measures,Others_RqType,0.040197044334975375
37,Transition Matrix / Probability Measures,Linked Administrative Data,0.008727447520550968
38,Transition Matrix / Probability Measures,No dataset,0.006100189720879376
39,Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,0.007518351424415634
40,Transition Matrix / Probability Measures,National Survey Data,0.009535682752091788
41,Transition Matrix / Probability Measures,Administrative/Registry Data,0.006315702177771145
42,Transition Matrix / Probability Measures,Opportunity Atlas,0.008358129737440084
43,Transition Matrix / Probability Measures,University/Institution Data,0.009004826591033488
44,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,0.01032175693199537
45,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,0.01177505327233095
46,Transition Matrix / Probability Measures,Measurement and Methodological Advances,0.007412134481099997
47,Transition Matrix / Probability Measures,Theoretical and Structural Models,0.00938859748610046
