m.name,n.name,year,paper_count,paper_ids
Absolute Mobility Measures,Archival/Historical Data,"[1976, 2004]",2,"[https://openalex.org/W2004570201, https://openalex.org/W2986629221]"
Absolute Mobility Measures,No dataset,"[2010, 2013, 2014, 2017, 2018, 2020]",6,"[https://openalex.org/W1993705293, https://openalex.org/W1985674062, https://openalex.org/W2119977186, https://openalex.org/W2635740930, https://openalex.org/W2921712035, https://openalex.org/W3022704615]"
Absolute Mobility Measures,Administrative/Registry Data,"[2014, 2019, 2024]",3,"[https://openalex.org/W2003050456, https://openalex.org/W2965558093, https://openalex.org/W4399290172]"
Absolute Mobility Measures,Others_DataType,"[1986, 2020, 2024]",3,"[https://openalex.org/W1502476793, https://openalex.org/W3041900243, https://openalex.org/W4391164542]"
Absolute Mobility Measures,Panel/Longitudinal Surveys,"[2002, 2008, 2012, 2016, 2018, 2019, 2020, 2021, 2022]",12,"[https://openalex.org/W2008396968, https://openalex.org/W2096204191, https://openalex.org/W2181742113, https://openalex.org/W1523582143, https://openalex.org/W2561736289, https://openalex.org/W3142916655, https://openalex.org/W3190102834, https://openalex.org/W3043515736, https://openalex.org/W2968697195, https://openalex.org/W3121144081, https://openalex.org/W4283657131, https://openalex.org/W4220692802]"
Absolute Mobility Measures,Linked Administrative Data,"[2017, 2021, 2022, 2024]",7,"[https://openalex.org/W2564827629, https://openalex.org/W3166017557, https://openalex.org/W3208235548, https://openalex.org/W4285249755, https://openalex.org/W4312204683, https://openalex.org/W4205731136, https://openalex.org/W4393244952]"
Absolute Mobility Measures,National Survey Data,"[2016, 2020, 2023]",3,"[https://openalex.org/W2470832101, https://openalex.org/W3088079582, https://openalex.org/W3186457560]"
Absolute Mobility Measures,Opportunity Atlas,[2020],1,[https://openalex.org/W3045264130]
Absolute Mobility Measures,Natural/Experimental Data,[2021],1,[https://openalex.org/W3201233520]
Absolute Mobility Measures,Big Data,[2022],2,"[https://openalex.org/W4289222991, https://openalex.org/W4289538664]"
Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,"[1976, 1986, 2004, 2008, 2010, 2012, 2014, 2017, 2018, 2019, 2021]",12,"[https://openalex.org/W2004570201, https://openalex.org/W1502476793, https://openalex.org/W2986629221, https://openalex.org/W2096204191, https://openalex.org/W1993705293, https://openalex.org/W2181742113, https://openalex.org/W2003050456, https://openalex.org/W2564827629, https://openalex.org/W3190102834, https://openalex.org/W2965558093, https://openalex.org/W3201233520, https://openalex.org/W3121144081]"
Absolute Mobility Measures,Empirical Estimates and Determinants,"[2002, 2012, 2016, 2018, 2020, 2021, 2022, 2023, 2024]",18,"[https://openalex.org/W2008396968, https://openalex.org/W1523582143, https://openalex.org/W2470832101, https://openalex.org/W3142916655, https://openalex.org/W2921712035, https://openalex.org/W3041900243, https://openalex.org/W3022704615, https://openalex.org/W3166017557, https://openalex.org/W3208235548, https://openalex.org/W4289222991, https://openalex.org/W4285249755, https://openalex.org/W4312204683, https://openalex.org/W4283657131, https://openalex.org/W4289538664, https://openalex.org/W4205731136, https://openalex.org/W3186457560, https://openalex.org/W4391164542, https://openalex.org/W4399290172]"
Absolute Mobility Measures,Measurement and Methodological Advances,"[2013, 2014, 2017, 2024]",4,"[https://openalex.org/W1985674062, https://openalex.org/W2119977186, https://openalex.org/W2635740930, https://openalex.org/W4393244952]"
Absolute Mobility Measures,"Policy, Institutional, and Geographic Impacts","[2016, 2020]",2,"[https://openalex.org/W2561736289, https://openalex.org/W3045264130]"
Absolute Mobility Measures,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","[2019, 2020, 2022]",3,"[https://openalex.org/W3043515736, https://openalex.org/W2968697195, https://openalex.org/W4220692802]"
Absolute Mobility Measures,Perceptions of Mobility and Attitudes,[2020],1,[https://openalex.org/W3088079582]
Decomposition / Structural Approaches,No dataset,"[1979, 1995, 1996, 2000, 2003, 2005, 2007, 2009, 2010, 2013, 2014, 2015, 2016, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",37,"[https://openalex.org/W1997361840, https://openalex.org/W2022256544, https://openalex.org/W3124481018, https://openalex.org/W2051645598, https://openalex.org/W2144050291, https://openalex.org/W1527079419, https://openalex.org/W115198923, https://openalex.org/W2258354779, https://openalex.org/W85222481, https://openalex.org/W3124279434, https://openalex.org/W4300073440, https://openalex.org/W2170708007, https://openalex.org/W2587720673, https://openalex.org/W2198347083, https://openalex.org/W2261420935, https://openalex.org/W2153943844, https://openalex.org/W1583265181, https://openalex.org/W4230356224, https://openalex.org/W1969182931, https://openalex.org/W2229381819, https://openalex.org/W3125856458, https://openalex.org/W3125406097, https://openalex.org/W2804095451, https://openalex.org/W2913916335, https://openalex.org/W2938378096, https://openalex.org/W2971359031, https://openalex.org/W3044383046, https://openalex.org/W3021741550, https://openalex.org/W3127732452, https://openalex.org/W4293041566, https://openalex.org/W4293190917, https://openalex.org/W4289824063, https://openalex.org/W3170592684, https://openalex.org/W3210465688, https://openalex.org/W4220732045, https://openalex.org/W4367597654, https://openalex.org/W3168728451]"
Decomposition / Structural Approaches,Administrative/Registry Data,"[1981, 2015, 2018, 2019, 2021, 2024]",8,"[https://openalex.org/W267019868, https://openalex.org/W291004932, https://openalex.org/W632219639, https://openalex.org/W3025499686, https://openalex.org/W2804958844, https://openalex.org/W3171039042, https://openalex.org/W3182550406, https://openalex.org/W4404109958]"
Decomposition / Structural Approaches,Others_DataType,"[2012, 2020]",2,"[https://openalex.org/W3123563038, https://openalex.org/W3000604125]"
Decomposition / Structural Approaches,Panel/Longitudinal Surveys,"[2006, 2011, 2013, 2016, 2019, 2020, 2022]",10,"[https://openalex.org/W2158055684, https://openalex.org/W1504828284, https://openalex.org/W2389521723, https://openalex.org/W1993865286, https://openalex.org/W2556000214, https://openalex.org/W2972798438, https://openalex.org/W3185155858, https://openalex.org/W3080387614, https://openalex.org/W3025676006, https://openalex.org/W4210953259]"
Decomposition / Structural Approaches,Linked Administrative Data,"[2019, 2020, 2023, 2024]",8,"[https://openalex.org/W3176921257, https://openalex.org/W3124992314, https://openalex.org/W3037216812, https://openalex.org/W3007051557, https://openalex.org/W4382807722, https://openalex.org/W4361000524, https://openalex.org/W4377002343, https://openalex.org/W4392341912]"
Decomposition / Structural Approaches,National Survey Data,"[2012, 2013, 2015, 2017, 2020, 2021]",8,"[https://openalex.org/W3125330545, https://openalex.org/W1748686498, https://openalex.org/W2375187415, https://openalex.org/W2134426017, https://openalex.org/W2663861583, https://openalex.org/W2921069773, https://openalex.org/W3208534945, https://openalex.org/W4312882163]"
Decomposition / Structural Approaches,Natural/Experimental Data,"[2017, 2022]",2,"[https://openalex.org/W3026679872, https://openalex.org/W4283764937]"
Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,"[1981, 1996, 2003, 2006, 2009, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2024]",25,"[https://openalex.org/W267019868, https://openalex.org/W2051645598, https://openalex.org/W115198923, https://openalex.org/W2158055684, https://openalex.org/W3124279434, https://openalex.org/W1583265181, https://openalex.org/W4230356224, https://openalex.org/W2556000214, https://openalex.org/W3125856458, https://openalex.org/W3125406097, https://openalex.org/W2663861583, https://openalex.org/W3025499686, https://openalex.org/W2913916335, https://openalex.org/W2972798438, https://openalex.org/W3185155858, https://openalex.org/W3037216812, https://openalex.org/W3080387614, https://openalex.org/W3000604125, https://openalex.org/W3025676006, https://openalex.org/W3208534945, https://openalex.org/W3182550406, https://openalex.org/W4293041566, https://openalex.org/W4293190917, https://openalex.org/W3168728451, https://openalex.org/W4392341912]"
Decomposition / Structural Approaches,Theoretical and Structural Models,"[1979, 1995, 2000, 2005, 2007, 2010, 2013, 2015, 2018, 2019, 2020, 2021, 2022]",21,"[https://openalex.org/W1997361840, https://openalex.org/W2022256544, https://openalex.org/W3124481018, https://openalex.org/W2144050291, https://openalex.org/W2258354779, https://openalex.org/W85222481, https://openalex.org/W4300073440, https://openalex.org/W2170708007, https://openalex.org/W2587720673, https://openalex.org/W2198347083, https://openalex.org/W2261420935, https://openalex.org/W1969182931, https://openalex.org/W2804095451, https://openalex.org/W2971359031, https://openalex.org/W3044383046, https://openalex.org/W3021741550, https://openalex.org/W3127732452, https://openalex.org/W4289824063, https://openalex.org/W3170592684, https://openalex.org/W3210465688, https://openalex.org/W4220732045]"
Decomposition / Structural Approaches,Empirical Estimates and Determinants,"[2013, 2015, 2018, 2019, 2020, 2022, 2023, 2024]",17,"[https://openalex.org/W2389521723, https://openalex.org/W1993865286, https://openalex.org/W1748686498, https://openalex.org/W2375187415, https://openalex.org/W291004932, https://openalex.org/W632219639, https://openalex.org/W2229381819, https://openalex.org/W2804958844, https://openalex.org/W3171039042, https://openalex.org/W3176921257, https://openalex.org/W3124992314, https://openalex.org/W2921069773, https://openalex.org/W4210953259, https://openalex.org/W4382807722, https://openalex.org/W4361000524, https://openalex.org/W4377002343, https://openalex.org/W4404109958]"
Decomposition / Structural Approaches,Measurement and Methodological Advances,[2011],1,[https://openalex.org/W1504828284]
Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts","[2000, 2012, 2014, 2017, 2019, 2020, 2021, 2022, 2023]",9,"[https://openalex.org/W1527079419, https://openalex.org/W3123563038, https://openalex.org/W2153943844, https://openalex.org/W3026679872, https://openalex.org/W2938378096, https://openalex.org/W3007051557, https://openalex.org/W4312882163, https://openalex.org/W4283764937, https://openalex.org/W4367597654]"
Decomposition / Structural Approaches,Perceptions of Mobility and Attitudes,"[2012, 2015]",2,"[https://openalex.org/W3125330545, https://openalex.org/W2134426017]"
Regression‐based Measures,Archival/Historical Data,"[2006, 2011, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2024]",14,"[https://openalex.org/W2056823769, https://openalex.org/W2119455293, https://openalex.org/W2184044297, https://openalex.org/W2003514985, https://openalex.org/W2625992765, https://openalex.org/W3122167690, https://openalex.org/W2761614070, https://openalex.org/W2811219136, https://openalex.org/W2807800750, https://openalex.org/W2789684694, https://openalex.org/W2922684064, https://openalex.org/W3123195152, https://openalex.org/W4403898265, https://openalex.org/W4401171797]"
Regression‐based Measures,No dataset,"[1980, 1998, 2002, 2005, 2006, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2025]",48,"[https://openalex.org/W1515121029, https://openalex.org/W3123505781, https://openalex.org/W2117407660, https://openalex.org/W2119587652, https://openalex.org/W1545014524, https://openalex.org/W2049884882, https://openalex.org/W2159878756, https://openalex.org/W1993125614, https://openalex.org/W2388800308, https://openalex.org/W2030719283, https://openalex.org/W2890853717, https://openalex.org/W59453117, https://openalex.org/W2037234295, https://openalex.org/W2288802977, https://openalex.org/W2055372720, https://openalex.org/W70509848, https://openalex.org/W3121558866, https://openalex.org/W2018386129, https://openalex.org/W3124226182, https://openalex.org/W2151222191, https://openalex.org/W2068645718, https://openalex.org/W2353487644, https://openalex.org/W2302816456, https://openalex.org/W2908577399, https://openalex.org/W2598656573, https://openalex.org/W2182279624, https://openalex.org/W2507475885, https://openalex.org/W2592479289, https://openalex.org/W2997562221, https://openalex.org/W4252430879, https://openalex.org/W2900408224, https://openalex.org/W2889122466, https://openalex.org/W2980728415, https://openalex.org/W4234924712, https://openalex.org/W3044954030, https://openalex.org/W2906080883, https://openalex.org/W3207371012, https://openalex.org/W4205619119, https://openalex.org/W4320148496, https://openalex.org/W4308908946, https://openalex.org/W4214604726, https://openalex.org/W4212975927, https://openalex.org/W4280580662, https://openalex.org/W4212888016, https://openalex.org/W4361974330, https://openalex.org/W4361988923, https://openalex.org/W4362499633, https://openalex.org/W4407738440]"
Regression‐based Measures,Administrative/Registry Data,"[1979, 2000, 2005, 2006, 2007, 2008, 2009, 2011, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]",41,"[https://openalex.org/W1974242925, https://openalex.org/W2037428382, https://openalex.org/W2091916425, https://openalex.org/W1578919155, https://openalex.org/W2403977165, https://openalex.org/W2132728629, https://openalex.org/W2042572864, https://openalex.org/W2310208630, https://openalex.org/W3123202179, https://openalex.org/W3094369084, https://openalex.org/W4300951185, https://openalex.org/W2596999048, https://openalex.org/W2922736319, https://openalex.org/W2460486083, https://openalex.org/W3124621746, https://openalex.org/W1557569468, https://openalex.org/W2569989626, https://openalex.org/W2891903686, https://openalex.org/W2887573038, https://openalex.org/W2794220255, https://openalex.org/W3124369867, https://openalex.org/W3123638740, https://openalex.org/W2943104001, https://openalex.org/W2931489399, https://openalex.org/W2922209108, https://openalex.org/W2963918180, https://openalex.org/W4285483025, https://openalex.org/W3084113281, https://openalex.org/W3192903419, https://openalex.org/W3181553951, https://openalex.org/W3120292600, https://openalex.org/W4293801681, https://openalex.org/W4307723330, https://openalex.org/W4205360523, https://openalex.org/W4281690951, https://openalex.org/W4384133380, https://openalex.org/W4385494974, https://openalex.org/W4388626236, https://openalex.org/W4383346553, https://openalex.org/W4402546895, https://openalex.org/W4392135119]"
Regression‐based Measures,Others_DataType,"[2007, 2013, 2016, 2019, 2021, 2023, 2024]",7,"[https://openalex.org/W2146082360, https://openalex.org/W1791196730, https://openalex.org/W2473722593, https://openalex.org/W2936910510, https://openalex.org/W3178385122, https://openalex.org/W4361214653, https://openalex.org/W4399323633]"
