period,dt.name,m.name,rq.name,n_triangles,tri_sum_total,tri_min_total
-2000,Archival/Historical Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,4,1
-2000,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,11,2
-2000,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,11,3
-2000,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,7,1
-2000,Administrative/Registry Data,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,7,1
-2000,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,11,2
-2000,Administrative/Registry Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,8,1
-2000,Others_DataType,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,4,1
-2000,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,8,1
-2000,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,5,1
-2000,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,9,2
-2000,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,1,15,4
-2000,No dataset,Others_Measure,Theoretical and Structural Models,1,8,1
-2000,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,1,9,2
-2000,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,1,8,2
-2000,No dataset,Others_Measure,Measurement and Methodological Advances,1,4,1
-2000,No dataset,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",1,8,1
2001-2005,Archival/Historical Data,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,3,1
2001-2005,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,6,1
2001-2005,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,8,2
2001-2005,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,5,1
2001-2005,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,6,1
2001-2005,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,5,1
2001-2005,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,11,3
2001-2005,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,6,1
2001-2005,Panel/Longitudinal Surveys,Non‐parametric Approaches,Intergenerational Wealth Mobility and Inheritance,1,5,1
2001-2005,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,6,1
2001-2005,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,4,1
2001-2005,National Survey Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,1,4,1
2001-2005,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,1,4,1
2001-2005,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,1,11,2
2001-2005,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,5,1
2001-2005,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,1,9,1
2001-2005,Panel/Longitudinal Surveys,Absolute Mobility Measures,Empirical Estimates and Determinants,1,6,1
2001-2005,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,1,16,4
2001-2005,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,8,2
2001-2005,Linked Administrative Data,Regression‐based Measures,Empirical Estimates and Determinants,1,11,2
2001-2005,National Survey Data,Regression‐based Measures,Empirical Estimates and Determinants,1,9,1
2001-2005,National Survey Data,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,4,1
2001-2005,No dataset,Regression‐based Measures,Measurement and Methodological Advances,1,4,1
2001-2005,No dataset,Others_Measure,Measurement and Methodological Advances,1,4,1
2001-2005,Panel/Longitudinal Surveys,Regression‐based Measures,Measurement and Methodological Advances,1,7,1
2001-2005,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",1,4,1
2006-2010,Archival/Historical Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,26,1
2006-2010,Archival/Historical Data,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,1,4,1
2006-2010,No dataset,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,7,1
2006-2010,No dataset,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,10,2
2006-2010,No dataset,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,32,4
2006-2010,No dataset,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,8,1
2006-2010,No dataset,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,7,1
2006-2010,Administrative/Registry Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,30,3
2006-2010,Administrative/Registry Data,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,7,2
2006-2010,Others_DataType,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,25,1
2006-2010,Others_DataType,Others_Measure,Intergenerational Wealth Mobility and Inheritance,1,4,1
2006-2010,Panel/Longitudinal Surveys,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,1,14,1
2006-2010,Panel/Longitudinal Surveys,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,1,14,1
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,49,11
2006-2010,Panel/Longitudinal Surveys,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,17,3
2006-2010,Linked Administrative Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,37,6
2006-2010,National Survey Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,35,5
2006-2010,National Survey Data,Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,1,11,3
2006-2010,International Panel Data,Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,1,26,1
2006-2010,No dataset,Decomposition / Structural Approaches,Theoretical and Structural Models,1,10,3
2006-2010,No dataset,Regression‐based Measures,Empirical Estimates and Determinants,1,24,3
2006-2010,No dataset,Transition Matrix / Probability Measures,Empirical Estimates and Determinants,1,6,1
2006-2010,No dataset,Others_Measure,Empirical Estimates and Determinants,1,5,1
2006-2010,Administrative/Registry Data,Regression‐based Measures,Empirical Estimates and Determinants,1,22,2
2006-2010,Administrative/Registry Data,Others_Measure,Empirical Estimates and Determinants,1,5,1
2006-2010,Others_DataType,Regression‐based Measures,Empirical Estimates and Determinants,1,18,1
2006-2010,Others_DataType,Others_Measure,Empirical Estimates and Determinants,1,3,1
2006-2010,Panel/Longitudinal Surveys,Regression‐based Measures,Empirical Estimates and Determinants,1,38,7
