short_name,bet_edge_ratio,bet_edge_ratio_raw,avg_pair_count,med_pair_count,bet_edge_ratio_median,bet_edge_ratio_std,bet_edge_ratio_min,bet_edge_ratio_max,rank
D1-R1,0.0579520697167755,0.00413943355119825,6.8,8.0,0.0,0.12958476732351698,0.0,0.2897603485838775,0.25
D1-R2,0.018703963066708122,0.0008659482311443079,19.666666666666668,21.0,0.01249999999999995,0.02237353816255453,0.0,0.052910052910052754,0.5
D1-R3,0.056818181818181324,0.0012351778656126374,4.5,5.0,0.0,0.11363636363636265,0.0,0.2272727272727253,0.25
D1-R4,0.07915997428772227,0.004104294766163144,23.0,24.0,0.03969767606131231,0.1174929429005271,0.0,0.31009440813362366,0.5506329113924051
D1-R5,0.7413432609511035,0.01985523554151004,3.5,3.0,0.8245668637825495,0.551082332261771,0.0,1.3162393162393147,0.9177215189873418
D1-R6,0.5175791286902379,0.0073675206525447776,3.3333333333333335,2.0,0.42328042328042,0.34719673151083663,0.2272727272727253,0.9021842355175685,0.8607594936708861
D11-R2,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.25
D11-R3,0.0,0.0,4.0,4.0,0.0,,0.0,0.0,0.25
D11-R4,0.5722232227951178,0.02379790277896984,5.666666666666667,5.0,0.7035130718954248,0.4007527625372649,0.0,0.9545454545454538,0.9050632911392406
D13-R1,0.1639409609997843,0.01226387991093872,7.666666666666667,5.0,0.04269434269434248,0.2727271065066463,0.0,0.6999999999999996,0.5569620253164557
D13-R2,0.06312636165577341,0.004806644880174292,8.666666666666666,8.0,0.0,0.10091647546012779,0.0,0.2287581699346405,0.25
D13-R3,0.1749999999999999,0.014583333333333325,2.5,2.0,0.0,0.3499999999999998,0.0,0.6999999999999996,0.25
D13-R4,0.18588265553134833,0.014481587388041636,9.666666666666666,9.0,0.0,0.289651040041475,0.0,0.6069444444444444,0.25
D13-R5,1.8181818181818163,0.0395256916996047,2.0,2.0,1.8181818181818163,,1.8181818181818163,1.8181818181818163,0.9873417721518988
D13-R6,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
D13-R7,0.4193085757138042,0.01507168755416363,11.666666666666666,12.0,0.36616469949803254,0.22369315267529127,0.13999999999999993,0.7320261437908496,0.8481012658227848
D14-R1,0.0454545454545446,0.0009881422924901,2.0,2.0,0.0454545454545446,0.0642824346533213,0.0,0.0909090909090892,0.569620253164557
D14-R2,0.30802068302068203,0.004212348641696453,4.0,3.0,0.2853535353535335,0.2841380063319494,0.0,0.6613756613756611,0.7974683544303798
D14-R3,0.11965811965811761,0.0014245014245014,2.0,2.0,0.11965811965811761,,0.11965811965811761,0.11965811965811761,0.7278481012658228
D14-R4,0.5042566692566681,0.01671631307500871,3.2,2.0,0.675,0.29977181918459134,0.0,0.703703703703703,0.8987341772151899
D14-R6,0.105820105820104,0.0013227513227513,2.0,2.0,0.105820105820104,,0.105820105820104,0.105820105820104,0.6835443037974683
D2-R1,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.25
D2-R2,0.05826330532212874,0.0036939775910364092,12.4,6.0,0.0,0.10945467509166942,0.0,0.25163398692810424,0.25
D2-R3,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.25
D2-R4,0.08221577804911116,0.003662579704246368,12.8,8.0,0.04409171075837734,0.09423216775172834,0.0,0.1875,0.5632911392405063
D2-R5,0.06600189933523154,0.0008309591642924833,5.0,5.0,0.06600189933523154,0.008729713347981912,0.059829059829058805,0.07217473884140427,0.620253164556962
D3-R1,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
D3-R2,0.024988344988344915,0.00039120299989865075,13.2,14.0,0.0,0.03887899464830505,0.0,0.08857808857808844,0.25
D3-R3,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.25
D3-R4,0.06862745098039215,0.0049019607843137246,12.4,12.0,0.0,0.1534556455146914,0.0,0.34313725490196073,0.25
D3-R5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
D3-R6,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
D3-R8,1.2156649934427703,0.015132501243612345,4.666666666666667,4.0,1.3162393162393147,0.2772314286967982,0.9021842355175685,1.428571428571428,0.9430379746835443
D5-R8,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
D6-R1,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
D6-R2,0.03309990662931832,0.001896591970121379,12.4,10.0,0.0,0.054604488610465206,0.0,0.12581699346405212,0.25
D6-R3,0.0,0.0,5.333333333333333,6.0,0.0,0.0,0.0,0.0,0.25
D6-R4,0.0974699631644074,0.004604164007847578,16.0,16.0,0.060145615701171065,0.07410296658005068,0.04938271604938267,0.2270833333333332,0.6012658227848101
D6-R5,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.25
D6-R6,0.105820105820104,0.0013227513227513,2.0,2.0,0.105820105820104,,0.105820105820104,0.105820105820104,0.6835443037974683
D6-R7,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
D6-R9,0.358974358974357,0.00427350427350425,2.0,2.0,0.358974358974357,,0.358974358974357,0.358974358974357,0.8417721518987342
D7-R1,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
D7-R2,0.045109211775878295,0.000593542260208925,3.5,3.0,0.0,0.0902184235517566,0.0,0.18043684710351318,0.25
D7-R3,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
D7-R4,0.0,0.0,2.6666666666666665,2.0,0.0,0.0,0.0,0.0,0.25
D7-R7,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M1-D1,0.14967046086327127,0.006648284494441071,38.666666666666664,41.0,0.12558059224725887,0.09017893307262799,0.08235294117647057,0.3249999999999999,0.740506329113924
M1-D10,1.764957264957264,0.021011396011396,2.0,2.0,1.764957264957264,,1.764957264957264,1.764957264957264,0.9810126582278481
M1-D11,0.33750508750508734,0.004197191697191694,7.0,6.0,0.2861212861212861,0.398648172672122,0.0,0.777777777777777,0.8037974683544303
M1-D12,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.25
M1-D13,0.5350131469883856,0.013491847248808085,16.0,17.0,0.36817882971729105,0.4347922162325124,0.1830065359477124,1.3454545454545452,0.8544303797468354
