,source,target,hops
0,Big Data,Multigenerational Measures,3.0
1,Theoretical and Structural Models,Multigenerational Measures,3.0
2,Others_RqType,Multigenerational Measures,3.0
3,Perceptions of Mobility and Attitudes,Non‐parametric Approaches,3.0
4,Multigenerational Measures,Big Data,3.0
5,Multigenerational Measures,Theoretical and Structural Models,3.0
6,Non‐parametric Approaches,Perceptions of Mobility and Attitudes,3.0
7,Others_RqType,University/Institution Data,3.0
8,Multigenerational Measures,Others_RqType,3.0
9,University/Institution Data,Others_RqType,3.0
10,University/Institution Data,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
11,Others_RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",2.0
12,Transition Matrix / Probability Measures,Perceptions of Mobility and Attitudes,2.0
13,Multigenerational Measures,Perceptions of Mobility and Attitudes,2.0
14,Linked Administrative Data,Perceptions of Mobility and Attitudes,2.0
15,No dataset,Perceptions of Mobility and Attitudes,2.0
16,Panel/Longitudinal Surveys,Perceptions of Mobility and Attitudes,2.0
17,Others_DataType,Perceptions of Mobility and Attitudes,2.0
18,Big Data,Perceptions of Mobility and Attitudes,2.0
19,Administrative/Registry Data,Perceptions of Mobility and Attitudes,2.0
20,Opportunity Atlas,Perceptions of Mobility and Attitudes,2.0
21,International Panel Data,Perceptions of Mobility and Attitudes,2.0
22,Pseudo-Panel/Household Budget Survey,Perceptions of Mobility and Attitudes,2.0
23,Archival/Historical Data,Perceptions of Mobility and Attitudes,2.0
24,Intergenerational Wealth Mobility and Inheritance,Perceptions of Mobility and Attitudes,2.0
25,Empirical Estimates and Determinants,Perceptions of Mobility and Attitudes,2.0
26,Measurement and Methodological Advances,Perceptions of Mobility and Attitudes,2.0
27,Theoretical and Structural Models,Perceptions of Mobility and Attitudes,2.0
28,"Policy, Institutional, and Geographic Impacts",Perceptions of Mobility and Attitudes,2.0
29,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Perceptions of Mobility and Attitudes,2.0
30,"Demographic Differences in Mobility (Race, Gender, etc.)",Perceptions of Mobility and Attitudes,2.0
31,University/Institution Data,Perceptions of Mobility and Attitudes,2.0
32,Others_RqType,Perceptions of Mobility and Attitudes,2.0
33,Absolute Mobility Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
34,Others_Measure,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
35,Decomposition / Structural Approaches,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
36,Multigenerational Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
37,Non‐parametric Approaches,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
38,Others_DataType,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
39,Big Data,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
40,Natural/Experimental Data,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
41,Opportunity Atlas,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
42,International Panel Data,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
43,Pseudo-Panel/Household Budget Survey,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
44,Archival/Historical Data,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
45,Intergenerational Wealth Mobility and Inheritance,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
46,Empirical Estimates and Determinants,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
47,Measurement and Methodological Advances,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
48,Theoretical and Structural Models,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
49,"Policy, Institutional, and Geographic Impacts","Demographic Differences in Mobility (Race, Gender, etc.)",2.0
50,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)","Demographic Differences in Mobility (Race, Gender, etc.)",2.0
51,Perceptions of Mobility and Attitudes,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
52,University/Institution Data,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
53,Others_RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
54,Absolute Mobility Measures,University/Institution Data,2.0
55,Regression‐based Measures,University/Institution Data,2.0
56,Decomposition / Structural Approaches,University/Institution Data,2.0
57,Multigenerational Measures,University/Institution Data,2.0
58,Non‐parametric Approaches,University/Institution Data,2.0
59,Linked Administrative Data,University/Institution Data,2.0
60,No dataset,University/Institution Data,2.0
61,Panel/Longitudinal Surveys,University/Institution Data,2.0
62,Others_DataType,University/Institution Data,2.0
63,National Survey Data,University/Institution Data,2.0
64,Big Data,University/Institution Data,2.0
65,Administrative/Registry Data,University/Institution Data,2.0
66,Natural/Experimental Data,University/Institution Data,2.0
67,Opportunity Atlas,University/Institution Data,2.0
68,International Panel Data,University/Institution Data,2.0
69,Pseudo-Panel/Household Budget Survey,University/Institution Data,2.0
70,Archival/Historical Data,University/Institution Data,2.0
71,Measurement and Methodological Advances,University/Institution Data,2.0
72,Theoretical and Structural Models,University/Institution Data,2.0
73,"Policy, Institutional, and Geographic Impacts",University/Institution Data,2.0
74,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",University/Institution Data,2.0
75,Perceptions of Mobility and Attitudes,University/Institution Data,2.0
76,"Demographic Differences in Mobility (Race, Gender, etc.)",University/Institution Data,2.0
77,Absolute Mobility Measures,Others_RqType,2.0
78,Transition Matrix / Probability Measures,Others_RqType,2.0
79,Others_Measure,Others_RqType,2.0
80,Rank‐based Measures,Others_RqType,2.0
81,Decomposition / Structural Approaches,Others_RqType,2.0
82,Non‐parametric Approaches,Others_RqType,2.0
83,No dataset,Others_RqType,2.0
84,Panel/Longitudinal Surveys,Others_RqType,2.0
85,Others_DataType,Others_RqType,2.0
86,National Survey Data,Others_RqType,2.0
87,Big Data,Others_RqType,2.0
88,Administrative/Registry Data,Others_RqType,2.0
89,Natural/Experimental Data,Others_RqType,2.0
90,Opportunity Atlas,Others_RqType,2.0
91,International Panel Data,Others_RqType,2.0
92,Pseudo-Panel/Household Budget Survey,Others_RqType,2.0
93,Archival/Historical Data,Others_RqType,2.0
94,Intergenerational Wealth Mobility and Inheritance,Others_RqType,2.0
95,Empirical Estimates and Determinants,Others_RqType,2.0
96,Measurement and Methodological Advances,Others_RqType,2.0
97,Theoretical and Structural Models,Others_RqType,2.0
98,"Policy, Institutional, and Geographic Impacts",Others_RqType,2.0
99,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Others_RqType,2.0
100,Perceptions of Mobility and Attitudes,Others_RqType,2.0
101,"Demographic Differences in Mobility (Race, Gender, etc.)",Others_RqType,2.0
102,Decomposition / Structural Approaches,Pseudo-Panel/Household Budget Survey,2.0
103,Multigenerational Measures,Pseudo-Panel/Household Budget Survey,2.0
104,Non‐parametric Approaches,Pseudo-Panel/Household Budget Survey,2.0
105,Linked Administrative Data,Pseudo-Panel/Household Budget Survey,2.0
106,No dataset,Pseudo-Panel/Household Budget Survey,2.0
107,Panel/Longitudinal Surveys,Pseudo-Panel/Household Budget Survey,2.0
108,Others_DataType,Pseudo-Panel/Household Budget Survey,2.0
109,National Survey Data,Pseudo-Panel/Household Budget Survey,2.0
110,Big Data,Pseudo-Panel/Household Budget Survey,2.0
111,Administrative/Registry Data,Pseudo-Panel/Household Budget Survey,2.0
112,Natural/Experimental Data,Pseudo-Panel/Household Budget Survey,2.0
113,Opportunity Atlas,Pseudo-Panel/Household Budget Survey,2.0
114,International Panel Data,Pseudo-Panel/Household Budget Survey,2.0
115,Archival/Historical Data,Pseudo-Panel/Household Budget Survey,2.0
116,Measurement and Methodological Advances,Pseudo-Panel/Household Budget Survey,2.0
117,Theoretical and Structural Models,Pseudo-Panel/Household Budget Survey,2.0
118,"Policy, Institutional, and Geographic Impacts",Pseudo-Panel/Household Budget Survey,2.0
119,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",Pseudo-Panel/Household Budget Survey,2.0
120,Perceptions of Mobility and Attitudes,Pseudo-Panel/Household Budget Survey,2.0
121,"Demographic Differences in Mobility (Race, Gender, etc.)",Pseudo-Panel/Household Budget Survey,2.0
122,University/Institution Data,Pseudo-Panel/Household Budget Survey,2.0
123,Others_RqType,Pseudo-Panel/Household Budget Survey,2.0
124,Transition Matrix / Probability Measures,Archival/Historical Data,2.0
125,Others_Measure,Archival/Historical Data,2.0
126,Rank‐based Measures,Archival/Historical Data,2.0
