level,metric,period1,period2,tau_obs,p_hat,ci_lower,ci_upper,m,decision,center
node,degree,-2000,2001-2005,0.5385057961806337,0.04173956510872282,0.03574652025319747,0.048133289243458804,4000,significant,0.0
node,degree,2001-2005,2006-2010,0.7509674938740044,0.4325674325674326,0.40161609445686075,0.4629043446971748,1000,not_significant,0.0
node,degree,2006-2010,2011-2015,0.5795740815468743,0.948051948051948,0.93244426068072,0.9601269637162226,1000,not_significant,0.0
node,degree,2011-2015,2016-2020,0.7109801721558935,0.6073926073926074,0.5763739069246411,0.63680716675945,1000,not_significant,0.0
node,degree,2016-2020,2021-2025,0.7446808510638298,0.11588411588411589,0.09668343178743777,0.1362631722464397,1000,not_significant,0.0
node,strength,-2000,2001-2005,0.3854576667590452,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,strength,2001-2005,2006-2010,0.7977484519151863,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,strength,2006-2010,2011-2015,0.78825511219824,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,strength,2011-2015,2016-2020,0.8287865639961639,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,strength,2016-2020,2021-2025,0.7743821886422612,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,betweenness,-2000,2001-2005,0.6361942179900353,0.03296703296703297,0.022757107858710962,0.04482473808376865,1000,significant,0.0
node,betweenness,2001-2005,2006-2010,0.7581753965757455,0.26673326673326675,0.23954672321443168,0.29424419975680804,1000,not_significant,0.0
node,betweenness,2006-2010,2011-2015,0.5574175147179049,0.8821178821178821,0.8605279149182592,0.9005484415987768,1000,not_significant,0.0
node,betweenness,2011-2015,2016-2020,0.543961138140183,0.8991008991008991,0.8787702573809262,0.9161759893476009,1000,not_significant,0.0
node,betweenness,2016-2020,2021-2025,0.7281113804357788,0.1938061938061938,0.16973301355427384,0.21861661615585704,1000,not_significant,0.0
node,node_count,-2000,2001-2005,0.3854576667590452,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,node_count,2001-2005,2006-2010,0.7977484519151863,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,node_count,2006-2010,2011-2015,0.78825511219824,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,node_count,2011-2015,2016-2020,0.8287865639961639,1.0,0.996173241514445,1.0,1000,not_significant,0.0
node,node_count,2016-2020,2021-2025,0.7743821886422612,1.0,0.996173241514445,1.0,1000,not_significant,0.0
edge,pair_count,-2000,2001-2005,0.21216451100145925,0.6555891238670695,0.6251173766294646,0.6841688026833981,992,not_significant,0.0
edge,pair_count,2001-2005,2006-2010,0.38084853540862806,0.882,0.8603901670264915,0.9004479428151786,999,not_significant,0.0
edge,pair_count,2006-2010,2011-2015,0.6722049569381584,0.23276723276723277,0.20689343939858929,0.2591577031496683,1000,not_significant,0.0
edge,pair_count,2011-2015,2016-2020,0.5616435245402309,0.6873126873126874,0.6575897312800101,0.7149790610463924,1000,not_significant,0.0
edge,pair_count,2016-2020,2021-2025,0.5984343856943808,0.24075924075924077,0.21455652518754262,0.2674333892249461,1000,not_significant,0.0
edge,edge_betweenness,-2000,2001-2005,0.3197048113342539,0.21421421421421422,0.1891306073359072,0.2399207710395464,998,not_significant,0.0
edge,edge_betweenness,2001-2005,2006-2010,0.32104197006965834,0.23576423576423577,0.20976558842625362,0.2622625935710906,1000,not_significant,0.0
edge,edge_betweenness,2006-2010,2011-2015,0.27333333333333326,0.7342657342657343,0.7057558002431918,0.7604532767855683,1000,not_significant,0.0
edge,edge_betweenness,2011-2015,2016-2020,0.39393939393939387,0.6013986013986014,0.5703182462412869,0.6309087485446309,1000,not_significant,0.0
edge,edge_betweenness,2016-2020,2021-2025,0.3512107620838369,0.7412587412587412,0.7129617374007885,0.7671937650091739,1000,not_significant,0.0
edge,edge_betweenness_weighted,-2000,2001-2005,0.4784644854239285,0.06806806806806807,0.053209032808829416,0.08437906319884884,998,not_significant,0.0
edge,edge_betweenness_weighted,2001-2005,2006-2010,0.16393587447442384,0.6533466533466533,0.6229619706570872,0.681867041246333,1000,not_significant,0.0
edge,edge_betweenness_weighted,2006-2010,2011-2015,0.6234938878505727,0.02197802197802198,0.013775739567924286,0.03189029506123752,1000,significant,0.0
edge,edge_betweenness_weighted,2011-2015,2016-2020,0.42982495828731,0.7352647352647352,0.7067846797715454,0.7614167437402437,1000,not_significant,0.0
edge,edge_betweenness_weighted,2016-2020,2021-2025,0.4224005036579219,0.5634365634365635,0.5320740752991774,0.5934437531316427,1000,not_significant,0.0
triangle,triangle_count,-2000,2001-2005,0.3273268353539886,0.7125193199381762,0.6759846217192411,0.7456566821416175,646,not_significant,0.0
triangle,triangle_count,2001-2005,2006-2010,0.34045882057130067,0.5841683366733467,0.5528890339012571,0.6139705606211148,997,not_significant,0.0
triangle,triangle_count,2006-2010,2011-2015,0.5891270032880942,0.4975024975024975,0.4660816352651897,0.5279413252857236,1000,not_significant,0.0
triangle,triangle_count,2011-2015,2016-2020,0.5478624488739688,0.3876123876123876,0.35729917409070144,0.417565673327034,1000,not_significant,0.0
triangle,triangle_count,2016-2020,2021-2025,0.5607239944119511,0.13686313686313686,0.11614206454966149,0.15864381562782268,1000,not_significant,0.0
