level,metric,period1,period2,tau_obs,p_hat,ci_lower,ci_upper,m,decision,center
node,degree,-2000,2001-2005,0.5385057961806337,0.002997002997002997,0.000548643588120728,0.007262807863492177,1000,significant,0.0
node,degree,2001-2005,2006-2010,0.7509674938740044,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,degree,2006-2010,2011-2015,0.5795740815468743,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,degree,2011-2015,2016-2020,0.7109801721558935,0.001998001998001998,0.00017654637062607852,0.0056425585979579355,1000,significant,0.0
node,degree,2016-2020,2021-2025,0.7446808510638298,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,strength,-2000,2001-2005,0.3854576667590452,0.03396603396603397,0.023592927958426903,0.04598126446708159,1000,significant,0.0
node,strength,2001-2005,2006-2010,0.7977484519151863,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,strength,2006-2010,2011-2015,0.78825511219824,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,strength,2011-2015,2016-2020,0.8287865639961639,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,strength,2016-2020,2021-2025,0.7743821886422612,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,betweenness,-2000,2001-2005,0.6361942179900353,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,betweenness,2001-2005,2006-2010,0.7581753965757455,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,betweenness,2006-2010,2011-2015,0.5574175147179049,0.001998001998001998,0.00017654637062607852,0.0056425585979579355,1000,significant,0.0
node,betweenness,2011-2015,2016-2020,0.543961138140183,0.008991008991008992,0.004059195818806103,0.015706334530980144,1000,significant,0.0
node,betweenness,2016-2020,2021-2025,0.7281113804357788,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,node_count,-2000,2001-2005,0.3854576667590452,0.03396603396603397,0.023592927958426903,0.04598126446708159,1000,significant,0.0
node,node_count,2001-2005,2006-2010,0.7977484519151863,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,node_count,2006-2010,2011-2015,0.78825511219824,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,node_count,2011-2015,2016-2020,0.8287865639961639,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
node,node_count,2016-2020,2021-2025,0.7743821886422612,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
edge,pair_count,-2000,2001-2005,0.21216451100145925,0.5851648351648352,0.5326964164879422,0.633587951140788,363,not_significant,0.0
edge,pair_count,2001-2005,2006-2010,0.38084853540862806,0.1163895486935867,0.0954774653082732,0.13869837532442855,841,not_significant,0.0
edge,pair_count,2006-2010,2011-2015,0.6722049569381584,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
edge,pair_count,2011-2015,2016-2020,0.5616435245402309,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
edge,pair_count,2016-2020,2021-2025,0.5984343856943808,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
edge,edge_betweenness,-2000,2001-2005,0.3197048113342539,0.37423312883435583,0.34380920634098766,0.4043662018468166,977,not_significant,0.0
edge,edge_betweenness,2001-2005,2006-2010,0.32104197006965834,0.10789210789210789,0.08932287430802001,0.1276849578616263,1000,not_significant,0.0
edge,edge_betweenness,2006-2010,2011-2015,0.27333333333333326,0.016983016983016984,0.009872242002277388,0.02583206021173997,1000,significant,0.0
edge,edge_betweenness,2011-2015,2016-2020,0.39393939393939387,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
edge,edge_betweenness,2016-2020,2021-2025,0.3512107620838369,0.001998001998001998,0.00017654637062607852,0.0056425585979579355,1000,significant,0.0
edge,edge_betweenness_weighted,-2000,2001-2005,0.4784644854239285,0.14519427402862986,0.12367618592621532,0.16774854561436725,977,not_significant,0.0
edge,edge_betweenness_weighted,2001-2005,2006-2010,0.16393587447442384,0.3926073926073926,0.3622102251883648,0.42261635464451514,1000,not_significant,0.0
edge,edge_betweenness_weighted,2006-2010,2011-2015,0.6234938878505727,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
edge,edge_betweenness_weighted,2011-2015,2016-2020,0.42982495828731,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
edge,edge_betweenness_weighted,2016-2020,2021-2025,0.4224005036579219,0.000999000999000999,2.168404344971009e-19,0.0038267584855551234,1000,significant,0.0
triangle,triangle_count,-2000,2001-2005,0.3273268353539886,1.0,0.20654931437723745,1.0,1,not_significant,0.0
triangle,triangle_count,2001-2005,2006-2010,0.34045882057130067,0.6666666666666666,0.09453120573423074,0.9054687942657693,2,not_significant,0.0
triangle,triangle_count,2006-2010,2011-2015,0.5891270032880942,0.14173228346456693,0.08597374729853512,0.20546982676783193,126,not_significant,0.0
triangle,triangle_count,2011-2015,2016-2020,0.5478624488739688,0.042238364272262574,0.035991661960237474,0.0489155746295783,3716,significant,0.0
triangle,triangle_count,2016-2020,2021-2025,0.5607239944119511,0.0182648401826484,0.010415898134728995,0.028091000329193653,875,significant,0.0
