from_label,from_name,reltype,to_label,to_name,period,weight_sum,period2,names,from_code,to_code,code_combined
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,12,2000,Decomposition / Structural Approaches <-> No dataset,M.6,DT.13,"['M.6', 'DT.13']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,10,2000,Regression‐based Measures <-> Intergenerational Wealth Mobility and Inheritance,M.1,RQ.4,"['M.1', 'RQ.4']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Theoretical and Structural Models,-2000,10,2000,No dataset <-> Theoretical and Structural Models,DT.13,RQ.7,"['DT.13', 'RQ.7']"
Measure,Regression‐based Measures,CO_RQTYPE_MEASURE,RqType,Empirical Estimates and Determinants,-2000,8,2000,Regression‐based Measures <-> Empirical Estimates and Determinants,M.1,RQ.2,"['M.1', 'RQ.2']"
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,-2000,8,2000,Decomposition / Structural Approaches <-> Theoretical and Structural Models,M.6,RQ.7,"['M.6', 'RQ.7']"
DataType,Administrative/Registry Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,8,2000,Administrative/Registry Data <-> Intergenerational Wealth Mobility and Inheritance,DT.2,RQ.4,"['DT.2', 'RQ.4']"
Measure,Transition Matrix / Probability Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,6,2000,Transition Matrix / Probability Measures <-> Intergenerational Wealth Mobility and Inheritance,M.3,RQ.4,"['M.3', 'RQ.4']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,6,2000,Regression‐based Measures <-> No dataset,M.1,DT.13,"['M.1', 'DT.13']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,6,2000,No dataset <-> Intergenerational Wealth Mobility and Inheritance,DT.13,RQ.4,"['DT.13', 'RQ.4']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,-2000,4,2000,Regression‐based Measures <-> Panel/Longitudinal Surveys,M.1,DT.1,"['M.1', 'DT.1']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Linked Administrative Data,-2000,4,2000,Regression‐based Measures <-> Linked Administrative Data,M.1,DT.6,"['M.1', 'DT.6']"
Measure,Regression‐based Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,-2000,4,2000,Regression‐based Measures <-> Administrative/Registry Data,M.1,DT.2,"['M.1', 'DT.2']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,-2000,4,2000,Panel/Longitudinal Surveys <-> Empirical Estimates and Determinants,DT.1,RQ.2,"['DT.1', 'RQ.2']"
Measure,Others_Measure,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,4,2000,Others_Measure <-> No dataset,M.8,DT.13,"['M.8', 'DT.13']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Empirical Estimates and Determinants,-2000,4,2000,No dataset <-> Empirical Estimates and Determinants,DT.13,RQ.2,"['DT.13', 'RQ.2']"
DataType,Linked Administrative Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,4,2000,Linked Administrative Data <-> Intergenerational Wealth Mobility and Inheritance,DT.6,RQ.4,"['DT.6', 'RQ.4']"
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,4,2000,Decomposition / Structural Approaches <-> Intergenerational Wealth Mobility and Inheritance,M.6,RQ.4,"['M.6', 'RQ.4']"
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,4,2000,Absolute Mobility Measures <-> Intergenerational Wealth Mobility and Inheritance,M.4,RQ.4,"['M.4', 'RQ.4']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,-2000,2,2000,Transition Matrix / Probability Measures <-> Panel/Longitudinal Surveys,M.3,DT.1,"['M.3', 'DT.1']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,2,2000,Transition Matrix / Probability Measures <-> No dataset,M.3,DT.13,"['M.3', 'DT.13']"
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,-2000,2,2000,Transition Matrix / Probability Measures <-> Administrative/Registry Data,M.3,DT.2,"['M.3', 'DT.2']"
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,2,2000,Panel/Longitudinal Surveys <-> Intergenerational Wealth Mobility and Inheritance,DT.1,RQ.4,"['DT.1', 'RQ.4']"
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,-2000,2,2000,Others_Measure <-> Theoretical and Structural Models,M.8,RQ.7,"['M.8', 'RQ.7']"
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,-2000,2,2000,Others_Measure <-> Measurement and Methodological Advances,M.8,RQ.1,"['M.8', 'RQ.1']"
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,2,2000,Others_DataType <-> Intergenerational Wealth Mobility and Inheritance,DT.14,RQ.4,"['DT.14', 'RQ.4']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",-2000,2,2000,"No dataset <-> Policy, Institutional, and Geographic Impacts",DT.13,RQ.3,"['DT.13', 'RQ.3']"
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,-2000,2,2000,No dataset <-> Measurement and Methodological Advances,DT.13,RQ.1,"['DT.13', 'RQ.1']"
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,"Policy, Institutional, and Geographic Impacts",-2000,2,2000,"Decomposition / Structural Approaches <-> Policy, Institutional, and Geographic Impacts",M.6,RQ.3,"['M.6', 'RQ.3']"
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,-2000,2,2000,Decomposition / Structural Approaches <-> Administrative/Registry Data,M.6,DT.2,"['M.6', 'DT.2']"
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,2,2000,Archival/Historical Data <-> Intergenerational Wealth Mobility and Inheritance,DT.11,RQ.4,"['DT.11', 'RQ.4']"
