from_label,from_name,reltype,to_label,to_name,period,weight_sum,names,color_group,count_rank_percentile,to_short_name,from_short_name,short_name,to_strength,from_strength,edge_strength
Measure,Decomposition / Structural Approaches,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,12,Decomposition / Structural Approaches - No dataset,Other,1.0,D13,M6,M6-D13,24.0,14.0,14.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Theoretical and Structural Models,-2000,2,Others_Measure - Theoretical and Structural Models,Other,0.234375,R7,M9,M9-R7,10.0,4.0,10.0
Measure,Others_Measure,CO_RQTYPE_MEASURE,RqType,Measurement and Methodological Advances,-2000,2,Others_Measure - Measurement and Methodological Advances,Other,0.234375,R1,M9,M9-R1,2.0,4.0,2.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,"Policy, Institutional, and Geographic Impacts",-2000,2,"Decomposition / Structural Approaches - Policy, Institutional, and Geographic Impacts",Other,0.234375,R3,M6,M6-R3,2.0,14.0,12.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Panel/Longitudinal Surveys,-2000,2,Transition Matrix / Probability Measures - Panel/Longitudinal Surveys,Other,0.234375,D1,M3,M3-D1,6.0,6.0,8.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,No dataset,-2000,2,Transition Matrix / Probability Measures - No dataset,Other,0.234375,D13,M3,M3-D13,24.0,6.0,26.0
Measure,Transition Matrix / Probability Measures,CO_MEASURE_DATATYPE,DataType,Administrative/Registry Data,-2000,2,Transition Matrix / Probability Measures - Administrative/Registry Data,Other,0.234375,D2,M3,M3-D2,8.0,6.0,10.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Others_DataType,-2000,2,Absolute Mobility Measures - Others_DataType,Other,0.234375,D14,M4,M4-D14,2.0,4.0,2.0
Measure,Absolute Mobility Measures,CO_MEASURE_DATATYPE,DataType,Archival/Historical Data,-2000,2,Absolute Mobility Measures - Archival/Historical Data,Other,0.234375,D11,M4,M4-D11,2.0,4.0,2.0
DataType,Panel/Longitudinal Surveys,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,2,Panel/Longitudinal Surveys - Intergenerational Wealth Mobility and Inheritance,D1-R4,0.234375,R4,D1,D1-R4,24.0,6.0,26.0
DataType,Others_DataType,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,2,Others_DataType - Intergenerational Wealth Mobility and Inheritance,Other,0.234375,R4,D14,D14-R4,24.0,2.0,22.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,"Policy, Institutional, and Geographic Impacts",-2000,2,"No dataset - Policy, Institutional, and Geographic Impacts",Other,0.234375,R3,D13,D13-R3,2.0,24.0,22.0
DataType,No dataset,CO_DATATYPE_RQTYPE,RqType,Measurement and Methodological Advances,-2000,2,No dataset - Measurement and Methodological Advances,Other,0.234375,R1,D13,D13-R1,2.0,24.0,22.0
DataType,Archival/Historical Data,CO_DATATYPE_RQTYPE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,2,Archival/Historical Data - Intergenerational Wealth Mobility and Inheritance,Other,0.234375,R4,D11,D11-R4,24.0,2.0,22.0
Measure,Decomposition / Structural Approaches,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,4,Decomposition / Structural Approaches - Intergenerational Wealth Mobility and Inheritance,Other,0.59375,R4,M6,M6-R4,24.0,14.0,30.0
Measure,Absolute Mobility Measures,CO_RQTYPE_MEASURE,RqType,Intergenerational Wealth Mobility and Inheritance,-2000,4,Absolute Mobility Measures - Intergenerational Wealth Mobility and Inheritance,Other,0.59375,R4,M4,M4-R4,24.0,4.0,20.0
