node,kind,degree,triplets,normalized_degree
Absolute Mobility Measures,Measure,6,9,0.3333333333333333
Decomposition / Structural Approaches,Measure,11,20,0.275
Regression‐based Measures,Measure,17,33,0.25757575757575757
Transition Matrix / Probability Measures,Measure,9,15,0.3
Others_Measure,Measure,9,13,0.34615384615384615
Multigenerational Measures,Measure,3,2,0.75
Non‐parametric Approaches,Measure,5,6,0.4166666666666667
Rank‐based Measures,Measure,5,6,0.4166666666666667
No dataset,DataType,10,19,0.2631578947368421
Administrative/Registry Data,DataType,12,20,0.3
Panel/Longitudinal Surveys,DataType,12,19,0.3157894736842105
Others_DataType,DataType,6,8,0.375
National Survey Data,DataType,9,12,0.375
Archival/Historical Data,DataType,4,3,0.6666666666666666
Linked Administrative Data,DataType,10,13,0.38461538461538464
International Panel Data,DataType,5,4,0.625
Pseudo-Panel/Household Budget Survey,DataType,4,4,0.5
Natural/Experimental Data,DataType,2,1,1.0
Opportunity Atlas,DataType,2,1,1.0
Intergenerational Wealth Mobility and Inheritance,RqType,16,33,0.24242424242424243
Empirical Estimates and Determinants,RqType,18,36,0.25
Measurement and Methodological Advances,RqType,6,9,0.3333333333333333
Theoretical and Structural Models,RqType,6,5,0.6
"Policy, Institutional, and Geographic Impacts",RqType,9,12,0.375
Perceptions of Mobility and Attitudes,RqType,2,1,1.0
Others_RqType,RqType,2,1,1.0
"Demographic Differences in Mobility (Race, Gender, etc.)",RqType,6,7,0.42857142857142855
