u,v,edge_betweenness,edge_betweenness_weighted
Absolute Mobility Measures,Archival/Historical Data,0.0125,0.0125
Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,0.10833333333333334,0.10833333333333334
Absolute Mobility Measures,Others_DataType,0.0125,0.0125
Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,0.04611111111111111,0.125
Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,0.1125,0.1125
Decomposition / Structural Approaches,Administrative/Registry Data,0.03805555555555555,0.0
Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,0.09777777777777776,0.02222222222222222
Decomposition / Structural Approaches,No dataset,0.04055555555555556,0.0861111111111111
Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",0.041944444444444444,0.008333333333333333
Decomposition / Structural Approaches,Theoretical and Structural Models,0.04777777777777778,0.008333333333333333
Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,0.08194444444444444,0.07569444444444444
No dataset,Empirical Estimates and Determinants,0.0748611111111111,0.05
No dataset,Intergenerational Wealth Mobility and Inheritance,0.17791666666666667,0.3034722222222222
No dataset,Measurement and Methodological Advances,0.1125,0.11666666666666667
No dataset,"Policy, Institutional, and Geographic Impacts",0.08305555555555555,0.11666666666666667
No dataset,Theoretical and Structural Models,0.07055555555555555,0.11666666666666667
Others_DataType,Intergenerational Wealth Mobility and Inheritance,0.1125,0.1125
Others_Measure,Measurement and Methodological Advances,0.0125,0.008333333333333333
Others_Measure,No dataset,0.1025,0.11666666666666667
Others_Measure,Theoretical and Structural Models,0.018333333333333333,0.0
Panel/Longitudinal Surveys,Empirical Estimates and Determinants,0.03319444444444444,0.008333333333333333
Panel/Longitudinal Surveys,Intergenerational Wealth Mobility and Inheritance,0.07263888888888888,0.0
Regression‐based Measures,Administrative/Registry Data,0.03430555555555556,0.0
Regression‐based Measures,Empirical Estimates and Determinants,0.03611111111111111,0.06666666666666667
Regression‐based Measures,Intergenerational Wealth Mobility and Inheritance,0.04930555555555556,0.14166666666666666
Regression‐based Measures,Linked Administrative Data,0.043055555555555555,0.04930555555555555
Regression‐based Measures,No dataset,0.07999999999999999,0.12430555555555554
Regression‐based Measures,Panel/Longitudinal Surveys,0.026944444444444444,0.10833333333333334
Transition Matrix / Probability Measures,Administrative/Registry Data,0.021805555555555557,0.0
Transition Matrix / Probability Measures,Intergenerational Wealth Mobility and Inheritance,0.04652777777777777,0.11666666666666667
Transition Matrix / Probability Measures,No dataset,0.0661111111111111,0.0
Transition Matrix / Probability Measures,Panel/Longitudinal Surveys,0.026944444444444444,0.008333333333333333
