,u,v,edge_betweenness,edge_betweenness_weighted
0,Absolute Mobility Measures,Administrative/Registry Data,0.008395448740276324,0.0
1,Absolute Mobility Measures,Empirical Estimates and Determinants,0.01862068965517241,0.0
2,Absolute Mobility Measures,Intergenerational Wealth Mobility and Inheritance,0.014406130268199233,0.04597701149425287
3,Absolute Mobility Measures,Measurement and Methodological Advances,0.004406130268199233,0.0022988505747126436
4,Absolute Mobility Measures,No dataset,0.008282247765006384,0.006896551724137931
5,Absolute Mobility Measures,Panel/Longitudinal Surveys,0.00900208986415883,0.004597701149425287
6,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",0.012513584117032392,0.0022988505747126436
7,Administrative/Registry Data,Empirical Estimates and Determinants,0.010016776965052824,0.0
8,Administrative/Registry Data,Intergenerational Wealth Mobility and Inheritance,0.010399918727504932,0.013793103448275862
9,Administrative/Registry Data,Measurement and Methodological Advances,0.009353303146406592,0.0
10,Administrative/Registry Data,"Policy, Institutional, and Geographic Impacts",0.009234529200046441,0.0
11,Archival/Historical Data,Empirical Estimates and Determinants,0.022586206896551723,0.0
12,Archival/Historical Data,Intergenerational Wealth Mobility and Inheritance,0.015775862068965522,0.0
13,Decomposition / Structural Approaches,Administrative/Registry Data,0.011323223692392049,0.0
14,Decomposition / Structural Approaches,Empirical Estimates and Determinants,0.020088006802002747,0.04827586206896552
15,Decomposition / Structural Approaches,Intergenerational Wealth Mobility and Inheritance,0.014742052328259224,0.0
16,Decomposition / Structural Approaches,Measurement and Methodological Advances,0.009966106690244619,0.0
17,Decomposition / Structural Approaches,National Survey Data,0.0072720727548313754,0.0
18,Decomposition / Structural Approaches,No dataset,0.007586066551583792,0.011494252873563218
19,Decomposition / Structural Approaches,Others_DataType,0.009133594374973686,0.004597701149425287
20,Decomposition / Structural Approaches,Panel/Longitudinal Surveys,0.013481588954205584,0.0
21,Decomposition / Structural Approaches,Perceptions of Mobility and Attitudes,0.030766283524904212,0.009195402298850575
22,Decomposition / Structural Approaches,"Policy, Institutional, and Geographic Impacts",0.007435406228509678,0.0
23,Decomposition / Structural Approaches,Theoretical and Structural Models,0.012595998772469362,0.0
24,International Panel Data,Empirical Estimates and Determinants,0.018464496212974916,0.0
25,International Panel Data,Intergenerational Wealth Mobility and Inheritance,0.016145361662603042,0.0
26,International Panel Data,"Policy, Institutional, and Geographic Impacts",0.008326947637292465,0.0
27,International Panel Data,Theoretical and Structural Models,0.007183293380047943,0.0
28,Linked Administrative Data,"Demographic Differences in Mobility (Race, Gender, etc.)",0.012004652435686916,0.0
29,Linked Administrative Data,Empirical Estimates and Determinants,0.013946493480976237,0.0
30,Linked Administrative Data,Intergenerational Wealth Mobility and Inheritance,0.014904347887106508,0.009195402298850575
31,Linked Administrative Data,Others_RqType,0.01892130857648099,0.006896551724137931
32,Linked Administrative Data,"Policy, Institutional, and Geographic Impacts",0.010884552229379814,0.0
33,Multigenerational Measures,Archival/Historical Data,0.007576628352490422,0.0
34,Multigenerational Measures,Intergenerational Wealth Mobility and Inheritance,0.03103448275862069,0.059770114942528735
35,Multigenerational Measures,Panel/Longitudinal Surveys,0.02259578544061303,0.0
36,National Survey Data,"Demographic Differences in Mobility (Race, Gender, etc.)",0.013778781244298486,0.0
37,National Survey Data,Empirical Estimates and Determinants,0.018519704433497534,0.0
38,National Survey Data,Intergenerational Wealth Mobility and Inheritance,0.015761083743842365,0.0
39,National Survey Data,Perceptions of Mobility and Attitudes,0.029003831417624523,0.05057471264367816
40,National Survey Data,"Policy, Institutional, and Geographic Impacts",0.008407954752782339,0.0
41,Natural/Experimental Data,Empirical Estimates and Determinants,0.0314176245210728,0.01264367816091954
42,No dataset,Empirical Estimates and Determinants,0.01289890599221228,0.0
43,No dataset,Intergenerational Wealth Mobility and Inheritance,0.010694713970576038,0.0
44,No dataset,Measurement and Methodological Advances,0.006749680715197957,0.0
45,No dataset,"Policy, Institutional, and Geographic Impacts",0.007627257799671593,0.0
46,No dataset,Theoretical and Structural Models,0.007738848935603499,0.059770114942528735
47,Non‐parametric Approaches,Administrative/Registry Data,0.009464762568210843,0.0
