,source,target,hops
0,Theoretical and Structural Models,Absolute Mobility Measures,3.0
1,Administrative/Registry Data,Decomposition / Structural Approaches,3.0
2,Linked Administrative Data,Decomposition / Structural Approaches,3.0
3,"Demographic Differences in Mobility (Race, Gender, etc.)",Decomposition / Structural Approaches,3.0
4,Administrative/Registry Data,Others_Measure,3.0
5,Linked Administrative Data,Others_Measure,3.0
6,"Demographic Differences in Mobility (Race, Gender, etc.)",Others_Measure,3.0
7,Administrative/Registry Data,Multigenerational Measures,3.0
8,Linked Administrative Data,Multigenerational Measures,3.0
9,Theoretical and Structural Models,Multigenerational Measures,3.0
10,Measurement and Methodological Advances,Multigenerational Measures,3.0
11,"Demographic Differences in Mobility (Race, Gender, etc.)",Multigenerational Measures,3.0
12,Administrative/Registry Data,Non‐parametric Approaches,3.0
13,Linked Administrative Data,Non‐parametric Approaches,3.0
14,Theoretical and Structural Models,Non‐parametric Approaches,3.0
15,Administrative/Registry Data,Archival/Historical Data,3.0
16,Linked Administrative Data,Archival/Historical Data,3.0
17,Theoretical and Structural Models,Archival/Historical Data,3.0
18,Measurement and Methodological Advances,Archival/Historical Data,3.0
19,"Demographic Differences in Mobility (Race, Gender, etc.)",Archival/Historical Data,3.0
20,Decomposition / Structural Approaches,Administrative/Registry Data,3.0
21,Others_Measure,Administrative/Registry Data,3.0
22,Multigenerational Measures,Administrative/Registry Data,3.0
23,Non‐parametric Approaches,Administrative/Registry Data,3.0
24,Archival/Historical Data,Administrative/Registry Data,3.0
25,Theoretical and Structural Models,Administrative/Registry Data,3.0
26,"Demographic Differences in Mobility (Race, Gender, etc.)",Administrative/Registry Data,3.0
27,Theoretical and Structural Models,Panel/Longitudinal Surveys,3.0
28,Decomposition / Structural Approaches,Linked Administrative Data,3.0
29,Others_Measure,Linked Administrative Data,3.0
30,Multigenerational Measures,Linked Administrative Data,3.0
31,Non‐parametric Approaches,Linked Administrative Data,3.0
32,Archival/Historical Data,Linked Administrative Data,3.0
33,Theoretical and Structural Models,Linked Administrative Data,3.0
34,"Demographic Differences in Mobility (Race, Gender, etc.)",Linked Administrative Data,3.0
35,Theoretical and Structural Models,National Survey Data,3.0
36,Absolute Mobility Measures,Theoretical and Structural Models,3.0
37,Multigenerational Measures,Theoretical and Structural Models,3.0
38,Non‐parametric Approaches,Theoretical and Structural Models,3.0
39,Archival/Historical Data,Theoretical and Structural Models,3.0
40,Administrative/Registry Data,Theoretical and Structural Models,3.0
41,Panel/Longitudinal Surveys,Theoretical and Structural Models,3.0
42,Linked Administrative Data,Theoretical and Structural Models,3.0
43,National Survey Data,Theoretical and Structural Models,3.0
44,"Demographic Differences in Mobility (Race, Gender, etc.)",Theoretical and Structural Models,3.0
45,Multigenerational Measures,Measurement and Methodological Advances,3.0
46,Archival/Historical Data,Measurement and Methodological Advances,3.0
47,Decomposition / Structural Approaches,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
48,Others_Measure,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
49,Multigenerational Measures,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
50,Archival/Historical Data,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
51,Administrative/Registry Data,"Demographic Differences in Mobility (Race, Gender, etc.)",3.0
