,kind,node,score
0,RqType,Intergenerational Wealth Mobility and Inheritance,10.0
1,DataType,No dataset,9.0
2,Measure,Regression‐based Measures,6.0
3,Measure,Decomposition / Structural Approaches,5.0
4,Measure,Transition Matrix / Probability Measures,4.0
5,DataType,Administrative/Registry Data,4.0
6,DataType,Panel/Longitudinal Surveys,4.0
7,Measure,Absolute Mobility Measures,3.0
8,Measure,Others_Measure,3.0
9,RqType,Theoretical and Structural Models,3.0
10,RqType,Empirical Estimates and Determinants,3.0
11,DataType,Archival/Historical Data,2.0
12,DataType,Others_DataType,2.0
13,DataType,Linked Administrative Data,2.0
14,RqType,Measurement and Methodological Advances,2.0
15,RqType,"Policy, Institutional, and Geographic Impacts",2.0
16,Measure,Multigenerational Measures,0.0
17,Measure,Non‐parametric Approaches,0.0
18,Measure,Rank‐based Measures,0.0
19,DataType,National Survey Data,0.0
20,DataType,International Panel Data,0.0
21,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",0.0
22,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.0
23,DataType,Pseudo-Panel/Household Budget Survey,0.0
24,DataType,Natural/Experimental Data,0.0
25,DataType,Opportunity Atlas,0.0
26,RqType,Perceptions of Mobility and Attitudes,0.0
27,RqType,Others_RqType,0.0
28,DataType,University/Institution Data,0.0
29,DataType,Big Data,0.0
