,kind,node,score
0,RqType,Intergenerational Wealth Mobility and Inheritance,11.0
1,Measure,Regression‐based Measures,8.0
2,DataType,No dataset,8.0
3,DataType,Panel/Longitudinal Surveys,8.0
4,RqType,Empirical Estimates and Determinants,8.0
5,Measure,Transition Matrix / Probability Measures,6.0
6,DataType,National Survey Data,5.0
7,Measure,Absolute Mobility Measures,4.0
8,RqType,Measurement and Methodological Advances,4.0
9,Measure,Decomposition / Structural Approaches,3.0
10,Measure,Others_Measure,3.0
11,Measure,Multigenerational Measures,2.0
12,Measure,Non‐parametric Approaches,2.0
13,DataType,Archival/Historical Data,2.0
14,DataType,Administrative/Registry Data,2.0
15,DataType,Linked Administrative Data,2.0
16,RqType,Theoretical and Structural Models,2.0
17,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",2.0
18,Measure,Rank‐based Measures,0.0
19,DataType,Others_DataType,0.0
20,DataType,International Panel Data,0.0
21,RqType,"Policy, Institutional, and Geographic Impacts",0.0
22,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",0.0
23,DataType,Pseudo-Panel/Household Budget Survey,0.0
24,DataType,Natural/Experimental Data,0.0
25,DataType,Opportunity Atlas,0.0
26,RqType,Perceptions of Mobility and Attitudes,0.0
27,RqType,Others_RqType,0.0
28,DataType,University/Institution Data,0.0
29,DataType,Big Data,0.0
