,kind,node,strength
0,Measure,Regression‐based Measures,206.0
1,RqType,Intergenerational Wealth Mobility and Inheritance,130.0
2,RqType,Empirical Estimates and Determinants,112.0
3,DataType,Panel/Longitudinal Surveys,96.0
4,DataType,No dataset,70.0
5,DataType,Administrative/Registry Data,58.0
6,Measure,Decomposition / Structural Approaches,48.0
7,DataType,National Survey Data,48.0
8,DataType,Linked Administrative Data,42.0
9,RqType,Measurement and Methodological Advances,42.0
10,RqType,"Policy, Institutional, and Geographic Impacts",38.0
11,Measure,Others_Measure,30.0
12,Measure,Absolute Mobility Measures,28.0
13,Measure,Rank‐based Measures,22.0
14,DataType,Archival/Historical Data,20.0
15,Measure,Transition Matrix / Probability Measures,18.0
16,RqType,Theoretical and Structural Models,16.0
17,DataType,Others_DataType,12.0
18,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",10.0
19,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",10.0
20,Measure,Non‐parametric Approaches,8.0
21,DataType,International Panel Data,8.0
22,RqType,Perceptions of Mobility and Attitudes,8.0
23,Measure,Multigenerational Measures,6.0
24,DataType,Natural/Experimental Data,6.0
25,DataType,University/Institution Data,4.0
26,DataType,Opportunity Atlas,2.0
27,DataType,Pseudo-Panel/Household Budget Survey,0.0
28,RqType,Others_RqType,0.0
29,DataType,Big Data,0.0
