level,metric,period1,period2,tau_mean,tau_median,tau_min,tau_max,tau_sd,R,tau_obs,p_mc_greater
node,degree,-2000,2001-2005,0.3643827276325724,0.36308568290292526,0.08921722983855179,0.6225317562548817,0.10741442916727009,200,0.5385057961806337,0.10945273631840796
node,degree,2001-2005,2006-2010,0.7318507347209356,0.7393061582291787,0.4599280237912737,0.8852539741692846,0.07217662028346501,200,0.7509674938740044,0.835820895522388
node,degree,2006-2010,2011-2015,0.6767838089356697,0.6748789517373844,0.4968815901856307,0.8353245747226441,0.06759207052225616,200,0.5795740815468743,0.14925373134328357
node,degree,2011-2015,2016-2020,0.7162327385163957,0.7138165734562645,0.563383774210973,0.8430977628544711,0.057277714464612994,200,0.7109801721558935,0.945273631840796
node,degree,2016-2020,2021-2025,0.6895500044039251,0.6932355242539516,0.5487410553184192,0.8161444095272661,0.04851801571209262,200,0.7446808510638298,0.27860696517412936
node,strength,-2000,2001-2005,0.3854576667590451,0.3854576667590452,0.3854576667590452,0.3854576667590452,1.1130090340862554e-16,200,0.3854576667590452,1.0
node,strength,2001-2005,2006-2010,0.7977484519151864,0.7977484519151863,0.7977484519151863,0.7977484519151863,1.1130090340862554e-16,200,0.7977484519151863,1.0
node,strength,2006-2010,2011-2015,0.7882551121982398,0.78825511219824,0.78825511219824,0.78825511219824,1.1130090340862554e-16,200,0.78825511219824,1.0
node,strength,2011-2015,2016-2020,0.8287865639961639,0.8287865639961639,0.8287865639961639,0.8287865639961639,0.0,200,0.8287865639961639,1.0
node,strength,2016-2020,2021-2025,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.0,200,0.7743821886422612,1.0
node,betweenness,-2000,2001-2005,0.3515172834299025,0.3605108637093699,-0.14679516868351475,0.7090909090909091,0.16443706713411751,200,0.6361942179900353,0.07462686567164178
node,betweenness,2001-2005,2006-2010,0.6734801088337546,0.6799999999999998,0.31848108410087606,0.973333333333333,0.12860495029575025,200,0.7581753965757455,0.5323383084577115
node,betweenness,2006-2010,2011-2015,0.7002137737761142,0.7011472005724296,0.38140307619093633,0.9999999999999998,0.1272487122598098,200,0.5574175147179049,0.25870646766169153
node,betweenness,2011-2015,2016-2020,0.6884551455749714,0.6953208031947743,0.36177685108681884,0.9818181818181818,0.1282045629885621,200,0.543961138140183,0.23880597014925373
node,betweenness,2016-2020,2021-2025,0.6290264284132341,0.6259154785874876,0.2943062378138826,0.9666666666666667,0.11623341243693645,200,0.7281113804357788,0.3781094527363184
node,node_count,-2000,2001-2005,0.3854576667590451,0.3854576667590452,0.3854576667590452,0.3854576667590452,1.1130090340862554e-16,200,0.3854576667590452,1.0
node,node_count,2001-2005,2006-2010,0.7977484519151864,0.7977484519151863,0.7977484519151863,0.7977484519151863,1.1130090340862554e-16,200,0.7977484519151863,1.0
node,node_count,2006-2010,2011-2015,0.7882551121982398,0.78825511219824,0.78825511219824,0.78825511219824,1.1130090340862554e-16,200,0.78825511219824,1.0
node,node_count,2011-2015,2016-2020,0.8287865639961639,0.8287865639961639,0.8287865639961639,0.8287865639961639,0.0,200,0.8287865639961639,1.0
node,node_count,2016-2020,2021-2025,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.7743821886422612,0.0,200,0.7743821886422612,1.0
edge,pair_count,-2000,2001-2005,0.27835576752493607,0.2678357920027901,-0.49999999999999994,1.0,0.272876766446169,200,0.21216451100145925,0.78
