period,n1_type,n1_name,n2_type,n2_name,n3_type,n3_name,mean_null_triangle_count,obs_triangle_count,sd_null_triangle_count,z_triangle_count
-2000,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.665,1.0,0.823074998072747,0.4070102977060557
-2000,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.644,2.0,0.7974333200336564,1.7004556568350675
-2000,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.678,1.0,0.8240115260085839,0.39077123297016314
-2000,DataType,Archival/Historical Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.731,1.0,0.8563716321623297,0.31411596309043743
-2000,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.662,2.0,0.8260983225006806,1.6196619258949019
-2000,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.656,1.0,0.8150633891473278,0.4220530630873666
-2000,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.644,1.0,0.8061723847378511,0.4415928984168356
-2000,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.62,4.0,0.8026482693211543,4.211059973827216
-2000,DataType,No dataset,Measure,Others_Measure,RqType,Measurement and Methodological Advances,0.633,1.0,0.7777634061306278,0.47186586191528945
-2000,DataType,No dataset,Measure,Others_Measure,RqType,Theoretical and Structural Models,0.636,1.0,0.8088004439651094,0.45004920894393385
-2000,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.643,2.0,0.82476131773455,1.645324496700937
-2000,DataType,No dataset,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.632,1.0,0.8032566347197022,0.4581350269561287
-2000,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.666,1.0,0.8019271083378384,0.4164967071537023
