period,n1_type,n1_name,n2_type,n2_name,n3_type,n3_name,mean_null,obs,sd_null,z
,,,,,,,triangle_count,triangle_count,triangle_count,triangle_count
-2000,DataType,Administrative/Registry Data,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,0.635,1.0,0.7379007300695575,0.4946464817369047
-2000,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.765,2.0,0.7567286111643816,1.63202498462388
-2000,DataType,Administrative/Registry Data,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.215,1.0,0.44696070223984313,1.756306530006215
-2000,DataType,Archival/Historical Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.045,1.0,0.20782433633689135,4.595226992337932
-2000,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.4,2.0,0.5581736189974619,2.866491617561158
-2000,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Intergenerational Wealth Mobility and Inheritance,1.945,1.0,1.1127290007660124,-0.8492633869967025
-2000,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,"Policy, Institutional, and Geographic Impacts",0.145,1.0,0.3529844046834771,2.4222033286900673
-2000,DataType,No dataset,Measure,Decomposition / Structural Approaches,RqType,Theoretical and Structural Models,0.76,4.0,0.7314884666790189,4.4293247912844125
-2000,DataType,No dataset,Measure,Others,RqType,Measurement and Methodological Advances,0.035,1.0,0.1842409390393201,5.237706695546383
-2000,DataType,No dataset,Measure,Others,RqType,Theoretical and Structural Models,0.19,1.0,0.4058615750356916,1.9957543404515896
-2000,DataType,No dataset,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.935,2.0,0.7639983424960315,1.3939820818466395
-2000,DataType,No dataset,Measure,Regression‐based Measures,RqType,Intergenerational Wealth Mobility and Inheritance,2.415,1.0,1.122083041382764,-1.2610474874090147
-2000,DataType,No dataset,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.825,1.0,0.7328439816956523,0.23879571146246645
-2000,DataType,Others,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.055,1.0,0.22855235921889458,4.134719953141819
-2000,DataType,Panel/Longitudinal Surveys,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.185,2.0,0.4492036504726892,4.0404836383010405
-2000,DataType,Panel/Longitudinal Surveys,Measure,Transition Matrix / Probability Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.225,1.0,0.4304666160548207,1.8003719013167383
2001-2005,DataType,Administrative/Registry Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.26,1.0,0.4397349590046876,1.682831862344862
2001-2005,DataType,Archival/Historical Data,Measure,Absolute Mobility Measures,RqType,Intergenerational Wealth Mobility and Inheritance,0.035,1.0,0.18424093903932007,5.237706695546384
2001-2005,DataType,Linked Administrative Data,Measure,Regression‐based Measures,RqType,Empirical Estimates and Determinants,0.455,2.0,0.5828150365546267,2.6509268002648527
