,kind,node,score
0,RqType,Intergenerational Wealth Mobility and Inheritance,84.0
1,Measure,Regression‐based Measures,79.0
2,RqType,Empirical Estimates and Determinants,71.0
3,DataType,No dataset,60.0
4,DataType,Panel/Longitudinal Surveys,59.0
5,Measure,Others_Measure,46.0
6,Measure,Transition Matrix / Probability Measures,45.0
7,Measure,Decomposition / Structural Approaches,44.0
8,RqType,Measurement and Methodological Advances,44.0
9,DataType,Administrative/Registry Data,42.0
10,DataType,Linked Administrative Data,42.0
11,Measure,Absolute Mobility Measures,40.0
12,DataType,National Survey Data,39.0
13,RqType,"Policy, Institutional, and Geographic Impacts",36.0
14,Measure,Rank‐based Measures,32.0
15,DataType,Others_DataType,30.0
16,RqType,Theoretical and Structural Models,23.0
17,RqType,"Demographic Differences in Mobility (Race, Gender, etc.)",22.0
18,DataType,Archival/Historical Data,19.0
19,Measure,Non‐parametric Approaches,16.0
20,RqType,"Mobility and Non-Income Outcomes (Health, Wellbeing, etc.)",16.0
21,DataType,International Panel Data,15.0
22,Measure,Multigenerational Measures,14.0
23,DataType,Natural/Experimental Data,13.0
24,DataType,Opportunity Atlas,11.0
25,RqType,Perceptions of Mobility and Attitudes,10.0
26,DataType,University/Institution Data,5.0
27,DataType,Pseudo-Panel/Household Budget Survey,4.0
28,DataType,Big Data,3.0
29,RqType,Others_RqType,2.0
